Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90	QuastReferenceSequence	ToolName	QuastType	SRAssemblerUsed
KGMAR-2020-440_Unicyclercontigs	71	32	24	23	23	19	5379869	5368383	5346517	5341256	5341256	5207483	38	559877	5372503	5293138	57.42	57.49	400429	400429	94203	95517	354214.3	359525.4	6	6	15	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6 + 0 part	132127	99.003	1.0	0.0	0.0	0.0	559877.0	5240376.0	400429	400429	94203	95517	352835.5	358125.9	6	6	15	14	KGMAR-2020-440__chr	unicycler	Chromosome	unicycler
KGMAR-2019-2186_Unicyclercontigs	94	28	21	20	20	18	5256371	5237587	5219265	5211147	5211147	5150891	36	616273	5243065	5306834	57.43	57.39	452095	365606	113235	113235	385853.6	381217.0	5	6	14	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0 + 0 part	0	98.798	1.0	0.0	0.34	0.06	616273.0	5243065.0	452095	365606	113235	113235	385853.6	381217.0	5	6	14	14	KGMAR-2019-2186__chr	unicycler	Chromosome	unicycler
2018-01-1439_Unicyclercontigs	83	40	33	26	22	17	5508523	5495780	5482231	5433235	5375075	5191707	48	866062	5501286	5280837	57.19	57.55	437614	480251	99276	106937	478135.3	498095.1	5	4	14	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11 + 2 part	272032	99.002	1.0	0.0	0.88	0.06	866062.0	5229254.0	437614	480251	66013	99276	474585.1	494396.7	5	4	15	13	2018-01-1439__chr	unicycler	Chromosome	unicycler
2018-01-2085_Unicyclercontigs	90	45	35	31	27	24	5371138	5356164	5333703	5310294	5229576	5132488	55	645073	5363978	5299008	57.35	57.51	337764	337764	72858	85851	330589.2	334642.5	6	6	20	19	2.0	2.0	958745.0	1.0	0.0	0.0	0.0	6 + 2 part	126417	98.837	1.0	0.0	0.04	0.02	545366.0	5237371.0	287609	287609	72858	85851	288092.8	291625.0	7	7	21	20	2018-01-2085__chr	unicycler	Chromosome	unicycler
2018-01-389_Unicyclercontigs	68	26	23	23	22	20	5279731	5267237	5260137	5260137	5239583	5179254	33	661673	5272312	5327507	57.51	57.48	380351	380351	88278	88278	368160.1	364345.8	6	6	15	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0 + 0 part	0	98.956	1.0	0.0	0.53	0.09	661585.0	5271892.0	380351	380351	88278	88278	368079.8	364266.4	6	6	15	15	2018-01-389__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-2959-1_Unicyclercontigs	60	24	22	20	18	14	5224068	5211659	5206172	5195057	5163423	5038000	35	760545	5218717	5202254	57.48	57.51	644030	644030	128964	128964	524218.8	525877.7	4	4	10	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5 + 0 part	61701	99.121	1.0	0.0	0.02	0.06	760545.0	5157016.0	644030	644030	128964	128964	523652.1	525309.3	4	4	10	10	KGVET-2020-01-2959-1__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-3513-1_Unicyclercontigs	135	36	28	27	20	18	5300790	5274845	5258289	5250142	5145949	5085660	44	992177	5280128	5351251	57.46	57.42	369238	369238	103620	100470	453173.6	447150.5	5	5	15	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0 + 0 part	0	98.676	1.0	0.0	0.0	0.04	992177.0	5280128.0	369238	369238	103620	100470	453173.6	447150.5	5	5	15	16	KGVET-2020-01-3513-1__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-202-1_Unicyclercontigs	52	18	15	14	14	12	5085628	5076378	5066211	5060748	5060748	5000495	23	1017779	5079945	5128607	57.79	57.77	537504	537504	142497	142497	586183.8	580621.9	4	4	9	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1 + 0 part	5463	98.949	1.0	0.0	0.47	0.16	1017779.0	5074329.0	537354	537354	142497	142497	586146.1	580584.5	4	4	9	9	KGVET-2020-01-202-1__chr	unicycler	Chromosome	unicycler
2018-01-4107_Unicyclercontigs	221	55	34	31	29	24	5341823	5290459	5240155	5223706	5178503	5029457	80	473836	5309341	5295991	57.25	57.38	350098	350098	72858	85851	283546.1	284260.8	7	7	21	20	0.0	0.0	0.0	0.0	0.0	0.0	3.0	11 + 3 part	87842	98.493	1.001	0.0	5.82	0.33	473836.0	5220889.0	350098	350098	72858	85851	283279.2	283993.3	7	7	21	20	2018-01-4107__chr	unicycler	Chromosome	unicycler
KGMAR-2020-428_Unicyclercontigs	171	76	44	37	27	20	5506159	5480215	5403820	5345156	5188902	4929345	88	980018	5488825	5180779	57.14	57.54	332783	332783	47676	95139	372299.6	394436.3	6	6	21	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33 + 9 part	374811	98.703	1.0	0.0	1.02	0.02	980018.0	5114014.0	332783	332783	38226	86319	369642.4	391621.1	6	6	22	17	KGMAR-2020-428__chr	unicycler	Chromosome	unicycler
KGMAR-2016-563_Unicyclercontigs	150	69	53	45	33	25	5390983	5366733	5329169	5275986	5082229	4800956	80	513400	5375509	5319059	57.34	57.43	245728	259887	46702	50721	238850.7	241385.5	9	8	26	25	1.0	1.0	513400.0	0.0	0.0	0.0	0.0	20 + 2 part	134147	98.524	1.0	0.0	0.31	0.04	405256.0	5241122.0	245728	245728	46702	50721	215075.0	217357.6	9	9	27	26	KGMAR-2016-563__chr	unicycler	Chromosome	unicycler
2018-01-1584_Unicyclercontigs	97	42	31	27	27	23	5301827	5287129	5258498	5237262	5237262	5091740	48	579451	5291690	5228166	57.4	57.57	349930	349930	73284	85851	322207.4	326122.4	6	6	19	18	1.0	1.0	579451.0	0.0	0.0	0.0	0.0	9 + 1 part	123680	98.853	1.0	0.0	0.04	0.04	542621.0	5167920.0	285894	285894	73284	85851	300933.5	304590.0	7	7	20	19	2018-01-1584__chr	unicycler	Chromosome	unicycler
2018-01-2734_Unicyclercontigs	122	37	27	26	24	18	5449957	5425166	5406105	5399851	5364890	5153426	52	779425	5435252	5283357	57.32	57.49	325279	341411	121707	127034	393574.1	404889.2	6	5	15	14	3.0	2.0	1321260.0	0.0	0.0	0.0	0.0	16 + 1 part	205227	98.977	1.0	0.0	0.65	0.04	752990.0	5229650.0	325279	325279	86302	121707	381734.7	392709.4	6	6	16	14	2018-01-2734__chr	unicycler	Chromosome	unicycler
KGMAR-2016-1178_Unicyclercontigs	186	97	66	56	43	35	5363309	5334453	5254027	5180974	4965560	4677504	114	535245	5345630	5235913	57.42	57.59	141217	141217	44972	46821	185734.3	189626.3	11	11	38	36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29 + 5 part	203637	98.186	1.0	0.0	1.13	0.04	535245.0	5141701.0	141217	141217	34261	46821	185059.3	188937.2	11	11	39	36	KGMAR-2016-1178__chr	unicycler	Chromosome	unicycler
2018-01-880_Unicyclercontigs	83	30	23	22	22	17	5278322	5263596	5246195	5240732	5240732	5073980	34	913204	5266673	5265240	57.49	57.51	477621	477621	99297	99297	509347.3	509486.0	4	4	13	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2 + 0 part	59634	98.898	1.0	0.0	0.21	0.02	913204.0	5207039.0	477621	477621	99297	99297	508784.5	508923.0	4	4	13	13	2018-01-880__chr	unicycler	Chromosome	unicycler
KGMAR-2016-1198_Unicyclercontigs	180	66	46	39	30	23	5421131	5382913	5329763	5279223	5130410	4923086	92	605130	5401343	5245077	57.25	57.4	275219	328054	57689	86319	298632.6	307529.8	7	6	22	20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33 + 2 part	229474	98.603	1.0	0.0	0.64	0.02	605130.0	5171869.0	275219	328054	57689	86319	297939.4	306815.9	7	6	22	20	KGMAR-2016-1198__chr	unicycler	Chromosome	unicycler
KGMAR-2016-1397_Unicyclercontigs	245	112	77	68	49	29	5375457	5335263	5250610	5184566	4875395	4109794	135	614618	5350784	5143580	57.32	57.5	133138	138511	29699	34885	184520.6	191953.8	12	11	47	42	0.0	0.0	0.0	0.0	0.0	0.0	2.0	31 + 7 part	328793	97.572	1.001	0.0	2.39	0.12	614618.0	5021990.0	133138	138511	21641	34204	183341.6	190727.3	12	11	48	42	KGMAR-2016-1397__chr	unicycler	Chromosome	unicycler
2018-01-3465_Unicyclercontigs	140	47	39	37	29	18	5312636	5288080	5264531	5250735	5096708	4726847	58	710799	5296122	5241774	57.42	57.53	394831	394831	39943	53324	358921.7	362643.1	6	6	19	18	2.0	1.0	295751.0	0.0	0.0	0.0	0.0	13 + 0 part	120560	98.744	1.0	0.0	0.04	0.04	710799.0	5175542.0	394831	394831	37895	53324	351761.9	355409.1	6	6	21	19	2018-01-3465__chr	unicycler	Chromosome	unicycler
KGVET-2019-01-2264_Unicyclercontigs	90	38	32	30	29	23	5202640	5188816	5176298	5161375	5143248	4929686	41	576778	5191130	5251937	57.49	57.44	348143	348143	72643	63828	313409.6	309780.9	6	6	19	20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0 + 0 part	0	98.863	1.0	0.0	0.0	0.12	576778.0	5191130.0	348143	348143	72643	63828	313409.6	309780.9	6	6	19	20	KGVET-2019-01-2264__chr	unicycler	Chromosome	unicycler
KGVET-2019-01-3472-4_Unicyclercontigs	59	26	20	17	17	14	5235788	5225804	5210549	5193233	5193233	5099574	32	941765	5229818	5179523	57.42	57.55	474689	474689	220976	220976	524918.6	530015.7	4	4	10	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4 + 0 part	98500	99.071	1.0	0.0	0.0	0.04	941765.0	5131318.0	474689	474689	220976	220976	524134.9	529224.4	4	4	10	10	KGVET-2019-01-3472-4__chr	unicycler	Chromosome	unicycler
KGMAR-2016-319_Unicyclercontigs	158	45	31	29	27	21	5424474	5391700	5354634	5337518	5302965	5106941	63	761708	5403817	5273997	57.36	57.5	280522	286218	99244	105781	381322.4	390708.7	6	5	18	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10 + 4 part	197404	98.686	1.0	0.0	0.65	0.02	761708.0	5206413.0	280522	286218	99244	105781	378222.5	387532.5	6	5	18	17	KGMAR-2016-319__chr	unicycler	Chromosome	unicycler
KGMAR-2019-1459_Unicyclercontigs	240	99	73	60	51	32	5606783	5559884	5499628	5408423	5245978	4530828	133	338738	5583177	5325836	57.02	57.36	146057	147592	34297	43315	153120.6	160519.3	14	13	44	38	0.0	0.0	0.0	0.0	0.0	0.0	1.0	38 + 5 part	360016	98.009	1.001	0.0	1.68	0.1	338738.0	5223152.0	146057	147592	26813	37086	151161.6	158465.6	14	13	46	39	KGMAR-2019-1459__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-3043-2_Unicyclercontigs	49	20	16	15	15	13	5062233	5054057	5040722	5034713	5034713	4974390	24	1352604	5056489	5105113	57.79	57.75	465440	465440	316444	316444	648845.8	642665.8	4	4	9	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0 + 0 part	0	99.048	1.0	0.0	0.0	0.0	1352604.0	5056489.0	465440	465440	316444	316444	648845.8	642665.8	4	4	9	9	KGVET-2020-01-3043-2__chr	unicycler	Chromosome	unicycler
KGMAR-2019-1434_Unicyclercontigs	252	107	72	57	47	34	5747426	5695538	5619593	5512116	5340701	4891087	141	412671	5718449	5603882	56.68	56.87	127859	146628	34235	37095	173280.0	176822.6	13	12	41	38	1.0	1.0	986.0	0.0	0.0	0.0	0.0	28 + 10 part	216013	98.065	1.001	0.0	4.11	0.38	412671.0	5501980.0	127859	146628	34053	35888	172691.0	176221.5	13	12	41	38	KGMAR-2019-1434__chr	unicycler	Chromosome	unicycler
2018-01-714_Unicyclercontigs	36	15	12	12	11	9	5043622	5038196	5031270	5031270	5010782	4950459	17	1515238	5039392	5081823	57.81	57.77	700080	700080	324012	324012	860185.0	853002.8	3	3	7	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0 + 0 part	0	99.164	1.0	0.0	0.0	0.0	1515233.0	5039351.0	700080	700080	324012	324012	860175.3	852993.2	3	3	7	7	2018-01-714__chr	unicycler	Chromosome	unicycler
KGMAR-2016-1200_Unicyclercontigs	101	41	30	28	24	22	5440752	5426112	5398483	5385504	5315361	5254898	47	975718	5430310	5312007	57.43	57.55	327789	327789	99244	100452	400210.5	409123.5	6	6	17	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11 + 1 part	181076	98.809	1.0	0.0	0.19	0.02	975718.0	5249234.0	327789	327789	99244	100452	398648.2	407526.4	6	6	17	16	KGMAR-2016-1200__chr	unicycler	Chromosome	unicycler
KGMAR-2019-1497_Unicyclercontigs	158	60	34	29	24	19	5529580	5501548	5443258	5410164	5329115	5172890	76	919080	5512976	5270579	57.22	57.49	340509	340509	98819	110508	398651.2	416985.4	6	6	16	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30 + 2 part	308573	98.73	1.0	0.0	0.56	0.02	919080.0	5204226.0	340509	340509	57721	99205	395308.2	413488.7	6	6	17	14	KGMAR-2019-1497__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-2496-3_Unicyclercontigs	50	25	19	18	18	16	5436487	5430959	5418024	5411649	5411649	5351342	27	1282507	5432080	5287267	57.11	57.53	443135	443135	193151	193151	601554.9	618030.9	4	4	11	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2 + 0 part	195011	99.051	1.0	0.0	0.0	0.02	1282507.0	5237069.0	443135	443135	92949	99482	594686.3	610974.1	4	4	12	11	KGVET-2020-01-2496-3__chr	unicycler	Chromosome	unicycler
KGVET-2018-04-44577_Unicyclercontigs	85	34	22	22	19	17	5126427	5113571	5083128	5083128	5018252	4957928	39	729873	5116415	5144053	57.62	57.63	371120	371120	170166	108865	377783.2	375753.4	6	6	13	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4 + 0 part	28942	98.9	1.0	0.0	0.0	0.0	729873.0	5087473.0	371120	371120	170166	108865	377701.0	375671.7	6	6	13	14	KGVET-2018-04-44577__chr	unicycler	Chromosome	unicycler
KGMAR-2016-1400_Unicyclercontigs	177	82	63	54	43	32	5191866	5169064	5127806	5061889	4877330	4512260	90	382523	5174495	5088943	57.47	57.59	155566	155566	37465	39447	163811.1	166565.0	12	12	36	34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15 + 5 part	183031	98.074	1.0	0.0	0.3	0.0	382523.0	4991464.0	155566	155566	37465	39447	163175.3	165918.5	12	12	36	34	KGMAR-2016-1400__chr	unicycler	Chromosome	unicycler
2018-01-1024_Unicyclercontigs	89	39	24	21	20	15	5291707	5279397	5249677	5232733	5213646	5055179	43	1268720	5281849	5123193	57.31	57.65	470771	605078	94327	95306	615951.7	635026.6	4	3	11	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17 + 0 part	208698	99.023	1.0	0.0	0.0	0.0	1268720.0	5073151.0	470771	605078	94327	95306	614640.6	633674.9	4	3	11	10	2018-01-1024__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-3515_Unicyclercontigs	104	34	26	21	19	16	5401158	5379842	5359055	5322146	5299117	5212130	45	827380	5387400	5283334	57.16	57.47	483575	483575	99196	102900	471492.9	480779.9	5	5	12	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13 + 1 part	161513	98.929	1.0	0.0	0.13	0.1	827380.0	5225287.0	483575	483575	99196	102900	470000.4	479258.1	5	5	12	11	KGVET-2020-01-3515__chr	unicycler	Chromosome	unicycler
2018-01-1001_Unicyclercontigs	82	38	31	29	29	23	5495017	5480477	5464184	5453090	5453090	5236100	47	545574	5487304	5310593	57.01	57.33	337942	349971	86234	99424	317617.1	328185.8	7	6	19	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10 + 0 part	234284	98.924	1.0	0.0	0.0	0.06	545574.0	5253020.0	337942	349971	72858	86234	314735.2	325208.0	7	6	20	18	2018-01-1001__chr	unicycler	Chromosome	unicycler
2018-01-2730_Unicyclercontigs	112	46	37	30	24	21	5523897	5506728	5482063	5433711	5332330	5245029	51	871179	5509988	5239870	57.21	57.56	367260	367260	103594	113000	365606.5	384453.7	6	6	18	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18 + 1 part	330132	98.849	1.0	0.0	0.19	0.0	871179.0	5179856.0	367260	367260	100471	113000	362001.2	380662.6	6	6	18	16	2018-01-2730__chr	unicycler	Chromosome	unicycler
KGMAR-2019-400-2_Unicyclercontigs	126	59	40	34	26	20	5436395	5416530	5366586	5322597	5195140	4994111	70	981752	5424004	5306170	57.26	57.42	348839	356385	55668	61828	406548.5	415576.7	6	5	18	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23 + 2 part	185504	98.72	1.0	0.0	0.02	0.0	981752.0	5238500.0	348839	356385	55668	61828	405787.1	414798.4	6	5	18	17	KGMAR-2019-400-2__chr	unicycler	Chromosome	unicycler
KGMAR-2016-1076_Unicyclercontigs	216	90	37	27	20	16	5494135	5449184	5333703	5262844	5151978	5027380	119	746427	5470272	5243831	57.27	57.52	468452	468452	77577	93026	417290.0	435309.6	5	5	15	13	0.0	0.0	0.0	0.0	0.0	0.0	1.0	81 + 4 part	274980	99.036	1.0	0.0	0.83	0.02	746427.0	5194796.0	468452	468452	77577	93026	416886.5	434888.6	5	5	15	13	KGMAR-2016-1076__chr	unicycler	Chromosome	unicycler
KGMAR-2019-1417-2_Unicyclercontigs	86	41	31	30	23	18	5261779	5246847	5219471	5213671	5082163	4930087	49	553276	5252196	5143265	57.44	57.56	362212	362212	94033	95489	335095.1	342192.2	6	6	16	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5 + 0 part	169620	98.82	1.0	0.0	0.0	0.0	553276.0	5082576.0	362212	362212	86425	94033	332995.2	340047.8	6	6	16	15	KGMAR-2019-1417-2__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-3421-1_Unicyclercontigs	99	42	29	25	21	16	5357355	5343551	5307117	5281573	5220411	5047544	47	1883874	5346612	5235890	57.35	57.52	447015	447015	89475	95653	843163.2	860993.4	3	3	13	12	1.0	1.0	150615.0	0.0	0.0	0.0	0.0	19 + 1 part	163362	99.017	1.0	0.0	1.31	0.15	1883874.0	5183250.0	447015	447015	80945	86524	840406.2	858178.0	3	3	14	13	KGVET-2020-01-3421-1__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-3721-3_Unicyclercontigs	82	34	23	22	20	18	5420148	5406513	5378511	5369400	5334799	5274477	40	805420	5410975	5269207	57.4	57.5	369691	394012	100214	154833	420102.9	431405.7	6	5	13	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5 + 1 part	198165	98.929	1.0	0.0	0.13	0.04	805420.0	5212810.0	369691	394012	99196	154833	417645.9	428882.6	6	5	13	12	KGVET-2020-01-3721-3__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-2800-1_Unicyclercontigs	108	36	28	27	26	22	5220449	5202535	5181776	5172947	5152319	5010630	43	913277	5207485	5277303	57.57	57.55	332226	332226	100890	96580	388987.7	383841.4	5	5	18	19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0 + 0 part	0	98.679	1.0	0.0	0.0	0.04	913277.0	5207485.0	332226	332226	100890	96580	388987.7	383841.4	5	5	18	19	KGVET-2020-01-2800-1__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-2209-1_Unicyclercontigs	142	53	40	36	29	22	5445073	5421478	5390660	5360422	5245608	4991207	64	463536	5428476	5308300	57.08	57.34	265748	265748	72644	86413	266622.6	272658.8	8	8	21	19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16 + 2 part	186860	98.728	1.0	0.0	0.63	0.04	463536.0	5241614.0	265748	265748	72644	86413	265887.6	271907.1	8	8	21	19	KGVET-2020-01-2209-1__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-2067-1_Unicyclercontigs	105	34	22	21	20	18	5312216	5290279	5263307	5258140	5243937	5183292	47	780363	5299294	5364693	57.43	57.39	448926	448926	113813	113813	442843.9	437445.4	5	5	14	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1 + 0 part	3972	98.714	1.0	0.0	0.32	0.06	780363.0	5295271.0	448926	448926	113813	113813	442836.8	437438.4	5	5	14	14	KGVET-2020-01-2067-1__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-2328-1_Unicyclercontigs	67	25	19	18	17	15	5432451	5421710	5407440	5398498	5386037	5325614	29	978420	5424635	5476043	57.46	57.43	448173	448173	228240	228240	481575.5	477054.6	5	5	12	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0 + 0 part	0	99.063	1.0	0.0	0.0	0.02	978420.0	5424635.0	448173	448173	228240	228240	481575.5	477054.6	5	5	12	12	KGVET-2020-01-2328-1__chr	unicycler	Chromosome	unicycler
KGVET-2020-01-2158-1_Unicyclercontigs	124	48	35	31	28	22	5447411	5426162	5396756	5366518	5322006	5104429	59	463536	5433312	5308542	57.09	57.34	283271	283271	83807	86413	277028.1	283539.2	8	8	19	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13 + 2 part	188354	98.791	1.0	0.0	0.72	0.08	463536.0	5244956.0	283271	283271	83807	86413	275891.3	282375.7	8	8	19	18	KGVET-2020-01-2158-1__chr	unicycler	Chromosome	unicycler
