#name	length	SampleID	AssemblyType
KGVET-2020-01-236-2__pl_4 length=1527 circular=true	1527	KGVET-2020-01-236-2	CompleteAssembly
2018-01-710__chr length=5210957 circular=true	5210957	2018-01-710	CompleteAssembly
2018-01-710__pl_1 length=34614 circular=true	34614	2018-01-710	CompleteAssembly
2018-01-710__pl_2 length=5773 circular=true	6073	2018-01-710	CompleteAssembly
2018-01-710__pl_3 length=5540 circular=true	5540	2018-01-710	CompleteAssembly
KGMAR-2019-1417-2__chr length=5143265 circular=true	5143265	KGMAR-2019-1417-2	CompleteAssembly
KGMAR-2019-1417-2__pl_1 length=177060 circular=true	177060	KGMAR-2019-1417-2	CompleteAssembly
KGVETS-2019-01-4118__chr length=5199032 circular=true	5199032	KGVETS-2019-01-4118	CompleteAssembly
KGVETS-2019-01-4118__pl_1 length=151087 circular=true	151087	KGVETS-2019-01-4118	CompleteAssembly
KGVET-2020-01-202-1__chr length=5128607 circular=true	5128607	KGVET-2020-01-202-1	CompleteAssembly
KGVET-2020-01-202-1__pl_1 length=5463 circular=true	5463	KGVET-2020-01-202-1	CompleteAssembly
KGVET-2020-01-2800-1__chr length=5277303 circular=true	5277303	KGVET-2020-01-2800-1	CompleteAssembly
KGMAR-2016-1200__chr length=5312007 circular=true accession=CP085033.1	5312007	KGMAR-2016-1200	CompleteAssembly
KGMAR-2016-1200__pl_1 length=187807 circular=true accession=CP085034.1	187807	KGMAR-2016-1200	CompleteAssembly
KGMAR-2016-1200__pl_2 length=2667 circular=true accession=CP085035.1	2667	KGMAR-2016-1200	CompleteAssembly
2018-01-3094__chr length=5238019 circular=true	5238019	2018-01-3094	CompleteAssembly
2018-01-3094__pl_1 length=108402 circular=true	108402	2018-01-3094	CompleteAssembly
2018-01-3094__pl_2 length=54204 circular=true	54204	2018-01-3094	CompleteAssembly
2018-01-3094__pl_3 length=42923 circular=true	42923	2018-01-3094	CompleteAssembly
2018-01-3094__pl_4 length=9294 circular=true	9294	2018-01-3094	CompleteAssembly
2018-01-3094__pl_5 length=5631 circular=true	5631	2018-01-3094	CompleteAssembly
2018-01-3094__pl_6 length=5463 circular=true	5463	2018-01-3094	CompleteAssembly
2018-01-3094__pl_7 length=3053 circular=true	3053	2018-01-3094	CompleteAssembly
KGMAR-2020-440__chr length=5293138 circular=true	5293138	KGMAR-2020-440	CompleteAssembly
KGMAR-2020-440__pl_1 length=132386 circular=true	132386	KGMAR-2020-440	CompleteAssembly
KGMAR-2020-440__pl_2 length=4813 circular=true	4813	KGMAR-2020-440	CompleteAssembly
2018-01-389__chr length=5327507 circular=true	5327507	2018-01-389	CompleteAssembly
2018-01-4639__chr length=5207973 circular=true	5207981	2018-01-4639	CompleteAssembly
2018-01-4639__pl_1 length=261162 circular=true	261211	2018-01-4639	CompleteAssembly
2018-01-4639__pl_2 length=188279 circular=true	188280	2018-01-4639	CompleteAssembly
2018-01-4639__pl_3 length=96910 circular=true	96910	2018-01-4639	CompleteAssembly
2018-01-711__chr length=5214509 circular=true	5214509	2018-01-711	CompleteAssembly
2018-01-711__pl_1 length=5631 circular=true	5631	2018-01-711	CompleteAssembly
2018-01-711__pl_2 length=3749 circular=true	3749	2018-01-711	CompleteAssembly
2018-01-711__pl_3 length=3068 circular=true	3068	2018-01-711	CompleteAssembly
2018-01-711__pl_4 length=1506 circular=true	1506	2018-01-711	CompleteAssembly
2018-01-2730__chr length=5239870 circular=true	5239870	2018-01-2730	CompleteAssembly
2018-01-2730__pl_1 length=148650 circular=true	148650	2018-01-2730	CompleteAssembly
2018-01-2730__pl_2 length=109458 circular=true	109458	2018-01-2730	CompleteAssembly
2018-01-2730__pl_3 length=77109 circular=true	77109	2018-01-2730	CompleteAssembly
2018-01-2730__pl_4 length=5631 circular=true	5631	2018-01-2730	CompleteAssembly
KGVET-2019-01-2264__chr length=5251937 circular=true	5251937	KGVET-2019-01-2264	CompleteAssembly
KGVETS-2019-01-1382__chr length=5378254 circular=true	5378254	KGVETS-2019-01-1382	CompleteAssembly
KGVETS-2019-01-1382__pl_1 length=175479 circular=true	175479	KGVETS-2019-01-1382	CompleteAssembly
KGVETS-2019-01-1382__pl_2 length=33709 circular=true	33709	KGVETS-2019-01-1382	CompleteAssembly
KGVETS-2019-01-1382__pl_3 length=10058 circular=true	10058	KGVETS-2019-01-1382	CompleteAssembly
KGVETS-2019-01-1382__pl_4 length=1546 circular=true	1546	KGVETS-2019-01-1382	CompleteAssembly
KGVETS-2019-01-1380__chr length=5694896 circular=true	5694896	KGVETS-2019-01-1380	CompleteAssembly
KGVETS-2019-01-1380__pl_1 length=157153 circular=true	157153	KGVETS-2019-01-1380	CompleteAssembly
KGVET-2019-01-3472-4__chr length=5179523 circular=true	5179523	KGVET-2019-01-3472-4	CompleteAssembly
KGVET-2019-01-3472-4__pl_1 length=33288 circular=true	33288	KGVET-2019-01-3472-4	CompleteAssembly
KGVET-2019-01-3472-4__pl_2 length=5631 circular=true	5631	KGVET-2019-01-3472-4	CompleteAssembly
KGVET-2019-01-3472-4__pl_3 length=5463 circular=true	5463	KGVET-2019-01-3472-4	CompleteAssembly
KGVETS-2019-01-1336__chr length=5222809 circular=true accession=JAMCDJ010000001.1	5222809	KGVETS-2019-01-1336	CompleteAssembly
KGVETS-2019-01-1336__pl_1 length=168896 circular=true accession=JAMCDJ010000002.1	168896	KGVETS-2019-01-1336	CompleteAssembly
KGVETS-2019-01-1336__pl_2 length=110722 circular=true accession=JAMCDJ010000003.1	110722	KGVETS-2019-01-1336	CompleteAssembly
KGVETS-2019-01-1336__pl_3 length=1551 circular=true accession=JAMCDJ010000004.1	1551	KGVETS-2019-01-1336	CompleteAssembly
2018-01-2640__chr length=5272379 circular=true	5272379	2018-01-2640	CompleteAssembly
2018-01-2640__pl_1 length=148652 circular=true	148652	2018-01-2640	CompleteAssembly
2018-01-2640__pl_2 length=109452 circular=true	109452	2018-01-2640	CompleteAssembly
2018-01-2640__pl_3 length=82868 circular=true	82868	2018-01-2640	CompleteAssembly
2018-01-2640__pl_4 length=5631 circular=true	5631	2018-01-2640	CompleteAssembly
2018-01-2640__pl_5 length=5463 circular=true	5463	2018-01-2640	CompleteAssembly
KP_NORM_BLD_110772__chr length=5282656 circular=true	5282656	KP_NORM_BLD_110772	CompleteAssembly
KP_NORM_BLD_110772__pl_1 length=129565 circular=true	129565	KP_NORM_BLD_110772	CompleteAssembly
KP_NORM_BLD_110772__pl_2 length=10206 circular=true	10206	KP_NORM_BLD_110772	CompleteAssembly
KGVET-2020-01-2328-1__chr length=5476043 circular=true	5476043	KGVET-2020-01-2328-1	CompleteAssembly
KGMAR-2016-319__chr length=5273997 circular=true accession=CP085101.1	5273997	KGMAR-2016-319	CompleteAssembly
KGMAR-2016-319__pl_1 length=215261 circular=true accession=CP085102.1	215261	KGMAR-2016-319	CompleteAssembly
KGVETS-2019-01-1378__chr length=5358389 circular=true	5358389	KGVETS-2019-01-1378	CompleteAssembly
KGVETS-2019-01-1378__pl_1 length=134614 circular=true	134614	KGVETS-2019-01-1378	CompleteAssembly
KGVETS-2019-01-1378__pl_2 length=109444 circular=true	109444	KGVETS-2019-01-1378	CompleteAssembly
KGMAR-2020-428__chr length=5180779 circular=true	5180779	KGMAR-2020-428	CompleteAssembly
KGMAR-2020-428__pl_1 length=224996 circular=true	224996	KGMAR-2020-428	CompleteAssembly
KGMAR-2020-428__pl_2 length=115157 circular=true	115157	KGMAR-2020-428	CompleteAssembly
KGMAR-2020-428__pl_3 length=68699 circular=true	68699	KGMAR-2020-428	CompleteAssembly
KGMAR-2020-428__pl_4 length=4165 circular=true	4165	KGMAR-2020-428	CompleteAssembly
KGMAR-2020-428__pl_5 length=3549 circular=true	3549	KGMAR-2020-428	CompleteAssembly
KGMAR-2020-428__pl_6 length=2733 circular=true	2733	KGMAR-2020-428	CompleteAssembly
KGMAR-2016-1396__chr length=5192658 circular=true	5192658	KGMAR-2016-1396	CompleteAssembly
KGMAR-2016-1396__pl_1 length=244519 circular=true	244519	KGMAR-2016-1396	CompleteAssembly
KGMAR-2016-1396__pl_2 length=36633 circular=true	36633	KGMAR-2016-1396	CompleteAssembly
KGMAR-2016-1396__pl_3 length=12117 circular=true	12117	KGMAR-2016-1396	CompleteAssembly
KGMAR-2016-1396__pl_4 length=4809 circular=true	4809	KGMAR-2016-1396	CompleteAssembly
KGMAR-2016-1396__pl_5 length=1917 circular=true	1917	KGMAR-2016-1396	CompleteAssembly
KGMAR-2016-1400__chr length=5088943 circular=true accession=CP065034.1	5088943	KGMAR-2016-1400	CompleteAssembly
KGMAR-2016-1400__pl_1 length=191744 circular=true accession=CP065035.1	191744	KGMAR-2016-1400	CompleteAssembly
KGVET-2020-01-468-1__chr length=5301068 circular=true	5301068	KGVET-2020-01-468-1	CompleteAssembly
KGVET-2020-01-468-1__pl_1 length=151580 circular=true	151580	KGVET-2020-01-468-1	CompleteAssembly
KGVET-2020-01-468-1__pl_2 length=84144 circular=true	84144	KGVET-2020-01-468-1	CompleteAssembly
KGVET-2020-01-468-1__pl_3 length=5311 circular=true	5311	KGVET-2020-01-468-1	CompleteAssembly
KGVET-2020-01-3421-1__chr length=5235890 circular=true	5235890	KGVET-2020-01-3421-1	CompleteAssembly
KGVET-2020-01-3421-1__pl_1 length=153877 circular=true	153877	KGVET-2020-01-3421-1	CompleteAssembly
KGVET-2020-01-3421-1__pl_2 length=5874 circular=true	5874	KGVET-2020-01-3421-1	CompleteAssembly
KGVET-2020-01-3421-1__pl_3 length=4091 circular=true	4091	KGVET-2020-01-3421-1	CompleteAssembly
KGVET-2020-01-3421-1__pl_4 length=4074 circular=true	4074	KGVET-2020-01-3421-1	CompleteAssembly
KGVET-2020-01-3421-1__pl_5 length=1843 circular=true	1843	KGVET-2020-01-3421-1	CompleteAssembly
KGVET-2020-01-3421-1__pl_6 length=1306 circular=true	1306	KGVET-2020-01-3421-1	CompleteAssembly
KGMAR-2016-1397__chr length=5143580 circular=true	5143580	KGMAR-2016-1397	CompleteAssembly
KGMAR-2016-1397__pl_1 length=273289 circular=true	273289	KGMAR-2016-1397	CompleteAssembly
KGMAR-2016-1397__pl_2 length=104401 circular=true	104401	KGMAR-2016-1397	CompleteAssembly
KGMAR-2016-1397__pl_3 length=4464 circular=true	4464	KGMAR-2016-1397	CompleteAssembly
KGMAR-2016-1397__pl_4 length=3549 circular=true	3549	KGMAR-2016-1397	CompleteAssembly
KGMAR-2016-1397__pl_5 length=2671 circular=true	2671	KGMAR-2016-1397	CompleteAssembly
KGVET-2020-01-4249-1__chr length=5216222 circular=true	5216222	KGVET-2020-01-4249-1	CompleteAssembly
KGVET-2020-01-4249-1__pl_1 length=109963 circular=true	109963	KGVET-2020-01-4249-1	CompleteAssembly
KGVET-2020-01-4249-1__pl_2 length=54935 circular=true	54935	KGVET-2020-01-4249-1	CompleteAssembly
KGVET-2020-01-4249-1__pl_3 length=5631 circular=true	5631	KGVET-2020-01-4249-1	CompleteAssembly
KGVET-2020-01-4249-1__pl_4 length=5463 circular=true	5463	KGVET-2020-01-4249-1	CompleteAssembly
KGMAR-2019-1764__chr length=5197806 circular=true accession=CP085099.1	5197806	KGMAR-2019-1764	CompleteAssembly
KGMAR-2019-1764__pl_1 length=137603 circular=true accession=CP085100.1	137603	KGMAR-2019-1764	CompleteAssembly
KGVET-2020-01-4327__chr length=5307558 circular=true	5307558	KGVET-2020-01-4327	CompleteAssembly
2018-01-2782__chr length=5250366 circular=true	5250366	2018-01-2782	CompleteAssembly
KGMAR-2019-1459__chr length=5325836 circular=true	5325836	KGMAR-2019-1459	CompleteAssembly
KGMAR-2019-1459__pl_1 length=248591 circular=true	248591	KGMAR-2019-1459	CompleteAssembly
KGMAR-2019-1459__pl_2 length=87189 circular=true	87189	KGMAR-2019-1459	CompleteAssembly
KGMAR-2019-1459__pl_3 length=73392 circular=true	73392	KGMAR-2019-1459	CompleteAssembly
KGMAR-2019-1459__pl_4 length=5924 circular=true	5924	KGMAR-2019-1459	CompleteAssembly
KGMAR-2019-1459__pl_5 length=4217 circular=true	4217	KGMAR-2019-1459	CompleteAssembly
KGMAR-2019-604__chr length=5335640 circular=true	5335640	KGMAR-2019-604	CompleteAssembly
KGMAR-2019-604__pl_1 length=40428 circular=true	40428	KGMAR-2019-604	CompleteAssembly
KGVET-2020-01-3515__chr length=5283334 circular=true	5283334	KGVET-2020-01-3515	CompleteAssembly
KGVET-2020-01-3515__pl_1 length=237856 circular=true	237856	KGVET-2020-01-3515	CompleteAssembly
2018-01-2734__chr length=5283357 circular=true	5283357	2018-01-2734	CompleteAssembly
2018-01-2734__pl_1 length=142039 circular=true	142039	2018-01-2734	CompleteAssembly
2018-01-2734__pl_2 length=77941 circular=true	77941	2018-01-2734	CompleteAssembly
2018-01-2485__chr length=5314429 circular=true	5314429	2018-01-2485	CompleteAssembly
2018-01-2485__pl_1 length=208334 circular=true	208334	2018-01-2485	CompleteAssembly
2018-01-2485__pl_2 length=9294 circular=true	9294	2018-01-2485	CompleteAssembly
2018-01-2485__pl_3 length=5631 circular=true	5631	2018-01-2485	CompleteAssembly
2018-01-2485__pl_4 length=5463 circular=true	5463	2018-01-2485	CompleteAssembly
