Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# unaligned contigs	Unaligned length	# N's per 100 kbp	QuastReferenceSequence	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	Genome fraction (%)	Duplication ratio	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90	ToolName	QuastType	SRAssemblerUsed
KGVET-2020-01-3775-3.plasmid	2	2	1	0	0	0	11067	11067	6872	0	0	0	2	6872	11067	5285398	49.55	57.47	6872	-	4195	-	5857.3	12.3	1	-	2	-	2 + 0 part	11067	0.0	KGVET-2020-01-3775-3__chr																								Platon	Chromosome	spades
KGMAR-2016-1400.plasmid	11	11	10	6	1	0	145330	145330	142932	115967	27473	0	11	27473	145330	5088943	51.2	57.59	18366	-	6679	-	17462.6	498.7	4	-	8	-	1 + 10 part	142287	0.0	KGMAR-2016-1400__chr	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.054	1.113	1084.46	65.72	933.0	3043.0	-	-	-	-	10.0	0.3	-	-	-	-	Platon	Chromosome	spades
KGVET-2020-01-2496-3.plasmid	1	1	0	0	0	0	2024	2024	0	0	0	0	1	2024	2024	5287267	57.61	57.53	2024	-	2024	-	2024.0	0.8	1	-	1	-	0 + 0 part	0	0.0	KGVET-2020-01-2496-3__chr	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.038	1.0	0.0	0.0	2024.0	2024.0	2024	-	2024	-	2024.0	0.8	1	-	1	-	Platon	Chromosome	spades
KGMAR-2016-319.plasmid	8	8	3	3	3	1	133768	133768	117782	117782	117782	51887	8	51887	133768	5273997	52.53	57.5	34776	-	4718	-	36868.9	935.1	2	-	4	-	5 + 2 part	131372	0.0	KGMAR-2016-319__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	1.0	667.78	41.74	1211.0	2396.0	-	-	-	-	19.5	0.5	-	-	-	-	Platon	Chromosome	spades
KGMAR-2016-1198.plasmid	23	23	12	8	2	0	218123	218123	185091	154187	58427	0	23	29976	218123	5245077	51.82	57.4	13918	-	4555	-	17210.2	715.7	5	-	15	-	4 + 18 part	213209	0.0	KGMAR-2016-1198__chr	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.066	1.414	1363.45	40.7	1064.0	4914.0	-	-	-	-	11.3	0.5	-	-	-	-	Platon	Chromosome	spades
KGVET-2018-04-44577.plasmid	3	3	0	0	0	0	9625	9625	0	0	0	0	3	4394	9625	5144053	47.82	57.63	2852	-	2379	-	3439.0	6.4	2	-	3	-	3 + 0 part	9625	0.0	KGVET-2018-04-44577__chr																								Platon	Chromosome	spades
2018-01-778.plasmid	3	3	2	2	2	2	132253	132253	129112	129112	129112	129112	3	74316	132253	5234161	52.42	57.55	74316	-	54796	-	64537.9	1630.7	1	-	2	-	3 + 0 part	132253	0.0	2018-01-778__chr																								Platon	Chromosome	spades
2018-01-2640.plasmid	11	11	10	7	4	2	324770	324770	321706	304111	256843	192580	11	109585	324770	5272379	50.98	57.53	82995	-	17101	-	67458.0	4155.3	2	-	6	-	10 + 1 part	324477	0.0	2018-01-2640__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	1.0	3412.97	0.0	293.0	293.0	-	-	-	-	0.3	0.0	-	-	-	-	Platon	Chromosome	spades
KGMAR-2016-1397.plasmid	27	27	13	9	2	0	272220	272220	230476	202698	76284	0	27	44218	272220	5143580	51.94	57.5	19506	-	4155	-	20896.3	1105.9	5	-	17	-	9 + 16 part	265798	0.0	KGMAR-2016-1397__chr	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.115	1.086	576.14	31.14	1369.0	6422.0	-	-	-	-	17.6	0.9	-	-	-	-	Platon	Chromosome	spades
2018-01-4735.plasmid	4	4	3	0	0	0	24328	24328	20769	0	0	0	4	9421	24328	5286513	50.88	57.45	5758	-	3559	-	6816.2	31.4	2	-	4	-	4 + 0 part	24328	0.0	2018-01-4735__chr																								Platon	Chromosome	spades
KGMAR-2019-1792.plasmid	18	18	9	7	3	1	217588	217588	199297	180621	123293	57267	18	57267	217588	5303093	52.5	57.51	25287	-	8827	-	30630.3	1256.8	3	-	9	-	10 + 7 part	214659	0.0	KGMAR-2019-1792__chr	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.055	1.0	307.27	0.0	1066.0	2929.0	-	-	-	-	7.6	0.3	-	-	-	-	Platon	Chromosome	spades
2018-01-710.plasmid	3	3	3	1	1	0	46308	46308	46308	34741	34741	0	3	34741	46308	5210957	48.57	57.41	34741	-	5667	-	27508.5	244.5	1	-	3	-	3 + 0 part	46308	0.0	2018-01-710__chr																								Platon	Chromosome	spades
2018-01-2860.plasmid	4	4	3	1	1	1	68734	68734	65238	54270	54270	54270	4	54270	68734	5223344	51.92	57.47	54270	-	5378	-	43903.0	577.7	1	-	3	-	4 + 0 part	68734	0.0	2018-01-2860__chr																								Platon	Chromosome	spades
KGMAR-2016-733.plasmid	44	44	17	9	1	0	260156	260156	202901	150665	27143	0	44	27143	260156	5426328	51.38	57.24	11730	-	2372	-	12639.4	606.0	8	-	28	-	26 + 17 part	255800	0.0	KGMAR-2016-733__chr	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.076	1.05	252.47	0.0	1125.0	4357.0	-	-	-	-	7.1	0.3	-	-	-	-	Platon	Chromosome	spades
KGMAR-2019-1459.plasmid	28	28	16	8	4	2	339649	339649	312596	256979	190954	110674	28	59475	339649	5325836	51.01	57.36	36711	-	5258	-	32713.9	2086.3	4	-	15	-	8 + 17 part	310619	0.0	KGMAR-2019-1459__chr	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.533	1.023	93.01	3.44	21173.0	29030.0	-	-	-	-	1337.6	85.3	-	-	-	-	Platon	Chromosome	spades
2018-01-2353.plasmid	5	5	4	4	3	2	203861	203861	198867	198867	176995	143704	5	79990	203861	5254528	44.52	57.63	63714	-	21872	-	59204.5	2297.0	2	-	4	-	5 + 0 part	203861	0.0	2018-01-2353__chr																								Platon	Chromosome	spades
KGMAR-2016-1396.plasmid	17	17	11	5	2	0	185987	185987	167889	122840	73264	0	17	45542	185987	5192658	51.96	57.55	21493	-	5165	-	22215.3	795.7	3	-	11	-	5 + 10 part	180398	0.0	KGMAR-2016-1396__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.082	1.32	769.37	17.89	1667.0	5589.0	-	-	-	-	33.9	1.2	-	-	-	-	Platon	Chromosome	spades
KGVET-2020-01-3721-3.plasmid	5	5	5	4	2	2	200322	200322	200322	191116	156221	156221	5	100466	200322	5269207	53.63	57.5	100466	-	14665	-	69443.7	2640.1	1	-	4	-	4 + 1 part	200117	0.0	KGVET-2020-01-3721-3__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	1.0	1951.22	0.0	205.0	205.0	-	-	-	-	0.2	0.0	-	-	-	-	Platon	Chromosome	spades
KP_NORM_BLD_12934.plasmid	2	2	2	2	2	1	190139	190139	190139	190139	190139	155604	2	155604	190139	5465346	51.49	57.65	155604	-	34535	-	133614.2	4648.4	1	-	2	-	0 + 1 part	155407	0.0	KP_NORM_BLD_12934__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.635	1.0	8.64	0.0	34535.0	34732.0	-	-	-	-	6272.8	218.2	-	-	-	-	Platon	Chromosome	spades
KGVETS-2019-01-3127.plasmid	13	13	11	9	6	1	291438	291438	285643	275001	228606	50649	13	50649	291438	5201600	50.31	57.61	32483	-	13884	-	34309.2	1922.3	4	-	8	-	11 + 2 part	291184	0.0	KGVETS-2019-01-3127__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	1.0	0.0	0.0	127.0	254.0	-	-	-	-	0.1	0.0	-	-	-	-	Platon	Chromosome	spades
KGMAR-2016-1200.plasmid	10	10	4	3	2	2	160846	160846	143360	137577	124995	124995	10	71930	160846	5312007	52.53	57.55	53065	-	4718	-	51237.8	1551.5	2	-	5	-	6 + 3 part	158658	0.0	KGMAR-2016-1200__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	1.131	457.04	0.0	1337.0	2188.0	-	-	-	-	13.5	0.4	-	-	-	-	Platon	Chromosome	spades
KGMAR-2019-1417-2.plasmid	2	2	2	2	1	0	46422	46422	46422	46422	30212	0	2	30212	46422	5143265	47.49	57.56	30212	-	16210	-	25322.7	228.6	1	-	2	-	0 + 2 part	46028	0.0	KGMAR-2019-1417-2__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	1.0	507.61	0.0	266.0	394.0	-	-	-	-	1.9	0.0	-	-	-	-	Platon	Chromosome	spades
2018-01-711.plasmid	4	4	1	0	0	0	16325	16325	5758	0	0	0	4	5758	16325	5214509	48.86	57.64	3876	-	3195	-	4325.1	13.5	2	-	4	-	4 + 0 part	16325	0.0	2018-01-711__chr																								Platon	Chromosome	spades
2018-01-3218.plasmid	4	4	1	1	1	0	33789	33789	25996	25996	25996	0	4	25996	33789	5282242	50.84	57.43	25996	-	4499	-	20760.0	132.8	1	-	2	-	0 + 2 part	27105	0.0	2018-01-3218__chr	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.095	1.323	1674.21	211.16	1621.0	6630.0	-	-	-	-	262.9	1.7	-	-	-	-	Platon	Chromosome	spades
KGVETS-2019-01-2870.plasmid	25	25	13	6	3	1	282905	282905	243084	190292	136998	57440	25	57440	282905	5172574	45.34	57.62	22404	-	4345	-	28929.8	1582.3	4	-	16	-	25 + 0 part	282905	0.0	KGVETS-2019-01-2870__chr																								Platon	Chromosome	spades
KGVETS-2019-01-4118.plasmid	3	3	2	2	2	2	127054	127054	124319	124319	124319	124319	3	65191	127054	5199032	50.84	57.73	65191	-	59128	-	61025.0	1491.3	1	-	2	-	3 + 0 part	127054	0.0	KGVETS-2019-01-4118__chr																								Platon	Chromosome	spades
KGVET-2020-01-2158-1.plasmid	8	8	7	4	2	1	155502	155502	152032	131263	100052	61091	8	61091	155502	5308542	49.74	57.34	38961	-	9421	-	38174.6	1118.2	2	-	5	-	6 + 2 part	155248	0.0	KGVET-2020-01-2158-1__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	1.0	0.0	0.0	127.0	254.0	-	-	-	-	0.2	0.0	-	-	-	-	Platon	Chromosome	spades
KGVET-2019-01-3619.plasmid	29	29	12	8	3	1	264859	264859	223394	193198	116598	52733	29	52733	264859	5206778	51.89	57.47	23747	-	3188	-	24598.1	1251.3	4	-	16	-	17 + 10 part	259770	0.0	KGVET-2019-01-3619__chr	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.086	1.143	196.5	58.95	1599.0	5089.0	-	-	-	-	18.2	0.9	-	-	-	-	Platon	Chromosome	spades
KGVET-2020-01-2959-1.plasmid	3	3	2	1	1	1	61222	61222	59959	54201	54201	54201	3	54201	61222	5202254	52.21	57.51	54201	-	5758	-	48552.8	571.4	1	-	2	-	3 + 0 part	61222	0.0	KGVET-2020-01-2959-1__chr																								Platon	Chromosome	spades
KGVET-2020-01-2067-1.plasmid	18	18	0	0	0	0	40577	40577	0	0	0	0	18	4099	40577	5364693	51.61	57.39	2821	-	1101	-	2768.9	20.9	6	-	15	-	18 + 0 part	40577	0.0	KGVET-2020-01-2067-1__chr																								Platon	Chromosome	spades
KGVET-2020-01-2318-1.plasmid	1	1	1	1	1	1	195914	195914	195914	195914	195914	195914	1	195914	195914	5328021	44.73	57.46	195914	-	195914	-	195914.0	7203.9	1	-	1	-	1 + 0 part	195914	0.0	KGVET-2020-01-2318-1__chr																								Platon	Chromosome	spades
NK_H21_005.plasmid	24	24	14	5	1	0	193246	193246	165991	99971	33467	0	24	33467	193246	5272962	50.72	57.53	11245	-	4172	-	14975.4	548.8	5	-	16	-	4 + 18 part	186004	0.0	NK_H21_005__chr	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.13	1.056	455.55	13.8	1616.0	7244.0	-	-	-	-	29.7	1.1	-	-	-	-	Platon	Chromosome	spades
KGMAR-2019-1766.plasmid	38	38	11	6	0	0	188936	188936	116951	81913	0	0	38	20063	188936	5079953	50.63	57.72	8275	-	2333	-	8840.5	328.8	8	-	26	-	16 + 21 part	181271	0.0	KGMAR-2019-1766__chr	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.128	1.179	991.52	26.09	1383.0	7665.0	-	-	-	-	24.8	0.9	-	-	-	-	Platon	Chromosome	spades
KGVETS-2019-01-4639.plasmid	5	5	5	4	3	3	185967	185967	185967	178960	168068	168068	5	62958	185967	5250843	51.11	57.65	54361	-	50749	-	51955.6	1840.1	2	-	3	-	3 + 2 part	185713	0.0	KGVETS-2019-01-4639__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	1.0	0.0	0.0	127.0	254.0	-	-	-	-	0.2	0.0	-	-	-	-	Platon	Chromosome	spades
KGVET-2019-01-3472-4.plasmid	4	4	4	2	2	1	99007	99007	99007	87659	87659	54244	4	54244	99007	5179523	48.38	57.55	54244	-	5758	-	41647.3	796.1	1	-	3	-	4 + 0 part	99007	0.0	KGVET-2019-01-3472-4__chr																								Platon	Chromosome	spades
2018-01-880.plasmid	2	2	2	1	1	1	59887	59887	59887	54297	54297	54297	2	54297	59887	5265240	52.29	57.51	54297	-	54297	-	49750.6	565.9	1	-	1	-	2 + 0 part	59887	0.0	2018-01-880__chr																								Platon	Chromosome	spades
2018-01-1584.plasmid	9	9	6	2	2	1	122375	122375	112978	90732	90732	54261	9	54261	122375	5228166	48.46	57.57	36471	-	5323	-	36191.9	847.1	2	-	6	-	5 + 4 part	121866	0.0	2018-01-1584__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	1.996	0.0	0.0	128.0	509.0	-	-	-	-	0.5	0.0	-	-	-	-	Platon	Chromosome	spades
KGVET-2020-01-2677-1.plasmid	5	5	4	2	2	2	127524	127524	124836	113025	113025	113025	5	58068	127524	5287320	47.32	57.48	54957	-	6221	-	50730.4	1223.6	2	-	3	-	5 + 0 part	127524	0.0	KGVET-2020-01-2677-1__chr																								Platon	Chromosome	spades
KGVETS-2019-01-4937.plasmid	9	9	5	4	3	1	254756	254756	245495	238488	215592	133536	9	133536	254756	5219391	50.0	57.55	133536	-	22896	-	86082.2	4201.6	1	-	4	-	4 + 4 part	249401	0.0	KGVETS-2019-01-4937__chr	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.095	1.077	2166.2	18.67	2344.0	5355.0	-	-	-	-	35.3	1.7	-	-	-	-	Platon	Chromosome	spades
KGVETS-2019-01-4848.plasmid	11	11	8	5	1	0	151830	151830	145582	122045	40519	0	11	40519	151830	5269972	47.79	57.49	19906	-	8458	-	23176.7	667.7	3	-	7	-	11 + 0 part	151830	0.0	KGVETS-2019-01-4848__chr																								Platon	Chromosome	spades
KGVET-2020-01-236-2.plasmid	4	4	3	0	0	0	22423	22423	20769	0	0	0	4	9421	22423	5329169	50.81	57.4	5758	-	5590	-	6952.4	29.3	2	-	3	-	4 + 0 part	22423	0.0	KGVET-2020-01-236-2__chr																								Platon	Chromosome	spades
2018-01-714.plasmid	13	13	9	7	2	2	234641	234641	223794	211748	133685	133685	13	68817	234641	5081823	44.93	57.77	64868	-	10128	-	44297.9	2045.4	2	-	7	-	11 + 2 part	234387	0.0	2018-01-714__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	1.0	0.0	0.0	127.0	254.0	-	-	-	-	0.1	0.0	-	-	-	-	Platon	Chromosome	spades
KGVETS-2019-01-587.plasmid	12	12	6	5	3	1	234291	234291	220618	212160	178821	109828	12	109828	234291	5241878	49.51	57.53	42387	-	14330	-	65047.2	2907.4	2	-	5	-	9 + 2 part	232438	0.0	KGVETS-2019-01-587__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	1.159	0.0	0.0	1599.0	1853.0	-	-	-	-	11.1	0.5	-	-	-	-	Platon	Chromosome	spades
KGVETS-2019-01-902.plasmid	8	8	6	3	1	0	100845	100845	97097	75311	42728	0	8	42728	100845	5422152	49.35	57.34	18944	-	7459	-	25187.3	468.5	2	-	5	-	7 + 1 part	100137	0.0	KGVETS-2019-01-902__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	1.0	988.7	0.0	708.0	708.0	-	-	-	-	5.0	0.1	-	-	-	-	Platon	Chromosome	spades
KGVETS-2019-01-897.plasmid	3	3	1	1	1	1	136888	136888	133586	133586	133586	133586	3	133586	136888	5252719	50.95	57.5	133586	-	133586	-	130405.3	3398.4	1	-	1	-	3 + 0 part	136888	0.0	KGVETS-2019-01-897__chr																								Platon	Chromosome	spades
KGVETS-2019-01-604.plasmid	3	3	3	2	1	1	110859	110859	110859	102858	88211	88211	3	88211	110859	5258435	48.83	57.48	88211	-	14647	-	72702.5	1532.7	1	-	2	-	3 + 0 part	110859	0.0	KGVETS-2019-01-604__chr																								Platon	Chromosome	spades
2018-01-3465.plasmid	10	10	6	4	1	0	101071	101071	90889	76106	34086	0	10	34086	101071	5241774	51.35	57.53	14153	-	4427	-	18814.8	362.8	3	-	7	-	6 + 4 part	100563	0.0	2018-01-3465__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	1.0	0.0	0.0	127.0	508.0	-	-	-	-	0.6	0.0	-	-	-	-	Platon	Chromosome	spades
2018-01-2734.plasmid	7	7	4	2	2	2	212195	212195	206382	193200	193200	193200	7	130094	212195	5283357	51.84	57.49	130094	-	63106	-	99001.6	3976.2	1	-	2	-	6 + 1 part	211805	0.0	2018-01-2734__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	1.0	4358.97	0.0	390.0	390.0	-	-	-	-	0.7	0.0	-	-	-	-	Platon	Chromosome	spades
KGMAR-2019-1764.plasmid	5	5	2	2	2	1	135322	135322	127034	127034	127034	82286	5	82286	135322	5197806	49.28	57.54	82286	-	44748	-	65028.7	1693.0	1	-	2	-	5 + 0 part	135322	0.0	KGMAR-2019-1764__chr																								Platon	Chromosome	spades
KP_NORM_BLD_110772.plasmid	2	2	2	2	2	1	133438	133438	133438	133438	133438	89013	2	89013	133438	5282656	49.32	57.54	89013	-	44425	-	74168.5	1873.5	1	-	2	-	1 + 1 part	133333	0.0	KP_NORM_BLD_110772__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	1.0	4761.9	0.0	105.0	105.0	-	-	-	-	0.1	0.0	-	-	-	-	Platon	Chromosome	spades
KP_NORM_BLD_111588.plasmid	12	12	6	3	2	1	153188	153188	137347	114604	102639	63336	12	63336	153188	5265303	52.34	57.56	39303	-	4718	-	38681.4	1125.4	2	-	7	-	10 + 2 part	152542	0.0	KP_NORM_BLD_111588__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	1.08	1547.99	0.0	435.0	646.0	-	-	-	-	1.5	0.0	-	-	-	-	Platon	Chromosome	spades
KP_NORM_URN_106487.plasmid	18	18	9	7	3	1	228480	228480	207041	193071	139135	76544	18	76544	228480	5745911	52.51	57.34	29738	-	5821	-	38225.5	1520.0	3	-	9	-	0 + 4 part	89567	0.0	KP_NORM_URN_106487__chr	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.415	1.001	1.44	0.0	32853.0	138913.0	8149	-	-	-	12096.7	481.0	6	-	-	-	Platon	Chromosome	spades
KP_NORM_BLD_111598.plasmid	16	16	12	4	2	1	252753	252753	241214	177284	148916	107867	16	107867	252753	5426082	51.44	57.57	41049	-	6141	-	56574.3	2635.3	2	-	10	-	3 + 11 part	246382	0.0	KP_NORM_BLD_111598__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.109	1.075	62.78	0.0	3088.0	6371.0	-	-	-	-	49.0	2.3	-	-	-	-	Platon	Chromosome	spades
KGVET-2020-01-3421-1.plasmid	10	10	5	2	1	0	100444	100444	85414	63647	44547	0	10	44547	100444	5235890	51.95	57.52	19100	-	4201	-	25499.4	489.2	2	-	7	-	10 + 0 part	100444	0.0	KGVET-2020-01-3421-1__chr																								Platon	Chromosome	spades
2018-01-4107.plasmid	10	10	5	2	2	0	96192	96192	75745	55237	55237	0	10	29577	96192	5295991	47.56	57.38	25660	-	4024	-	18367.1	333.6	2	-	8	-	4 + 6 part	88170	0.0	2018-01-4107__chr	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.125	1.216	1171.78	137.12	4857.0	8022.0	-	-	-	-	275.9	5.0	-	-	-	-	Platon	Chromosome	spades
KGVET-2019-01-792.plasmid	21	21	12	7	3	1	227041	227041	202566	162426	117600	64076	21	64076	227041	5622595	50.58	57.44	26425	-	4987	-	28426.5	1147.9	3	-	13	-	4 + 16 part	222918	0.0	KGVET-2019-01-792__chr	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.054	1.366	751.88	0.0	1334.0	4123.0	-	-	-	-	10.8	0.4	-	-	-	-	Platon	Chromosome	spades
KP_NORM_BLD_112596.plasmid	9	9	6	6	3	0	191226	191226	183494	183494	131778	0	9	48874	191226	5216146	51.04	57.59	40754	-	14425	-	35501.4	1301.5	3	-	6	-	1 + 7 part	188129	0.0	KP_NORM_BLD_112596__chr	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.055	1.086	871.81	0.0	1331.0	3097.0	-	-	-	-	11.8	0.4	-	-	-	-	Platon	Chromosome	spades
KP_NORM_BLD_112603.plasmid	13	13	9	6	2	0	159097	159097	148767	124803	55173	0	13	27755	159097	5385730	52.1	57.47	17243	-	5890	-	18718.1	552.9	4	-	9	-	3 + 8 part	152899	0.0	KP_NORM_BLD_112603__chr	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.113	1.021	371.09	16.13	2406.0	6198.0	-	-	-	-	55.8	1.6	-	-	-	-	Platon	Chromosome	spades
2018-01-2085.plasmid	6	6	5	2	2	2	127653	127653	123825	105588	105588	105588	6	53202	127653	5299008	48.97	57.51	52386	-	5758	-	44662.2	1075.9	2	-	4	-	4 + 2 part	127316	0.0	2018-01-2085__chr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	1.003	296.74	296.74	210.0	337.0	-	-	-	-	0.5	0.0	-	-	-	-	Platon	Chromosome	spades
