#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq	SampleID
2018-01-2485__pl_3	1	5631	9145	5631	100	285.771	35.6	50.9	2018-01-2485
2018-01-2485__pl_4	1	5463	2175	5463	100	101.197	35.4	57.9	2018-01-2485
KGVETS-2019-01-476__chr	1	5377605	2078529	5377605	100	81.8482	35.7	55.6	KGVETS-2019-01-476
KGVETS-2019-01-476__pl_1	1	34786	18400	34786	100	112.569	35.8	55.6	KGVETS-2019-01-476
KGVETS-2019-01-476__pl_2	1	9294	8833	9294	100	201.736	35.8	56.4	KGVETS-2019-01-476
KGVETS-2019-01-4639__chr	1	5250843	1647869	5250843	100	85.919	32.4	58.4	KGVETS-2019-01-4639
KGVETS-2019-01-4639__pl_1	1	134615	40303	134615	100	82.1307	32.8	57.8	KGVETS-2019-01-4639
KGVETS-2019-01-4637__chr	1	5353997	2637009	5351523	99.9538	107.996	35.7	56.1	KGVETS-2019-01-4637
KGVETS-2019-01-4637__pl_1	1	151171	98142	151171	100	141.841	36	54.4	KGVETS-2019-01-4637
KGVETS-2019-01-4637__pl_2	1	10077	7707	10077	100	171.14	35.6	56.9	KGVETS-2019-01-4637
KGMAR-2016-319__chr	1	5273997	2104971	5273997	100	81.0461	34.9	55.6	KGMAR-2016-319
KGMAR-2016-319__pl_1	1	215261	106704	215261	100	99.8414	35.1	52.8	KGMAR-2016-319
KGVET-2020-01-2496-3__chr	1	5287267	1809791	5287267	100	85.8907	34.4	57.5	KGVET-2020-01-2496-3
KGVET-2020-01-2496-3__pl_1	1	194910	26173	194910	100	33.4505	35	57.8	KGVET-2020-01-2496-3
KGMAR-2019-1764__chr	1	5197806	1500791	5197806	100	68.5312	35.7	56.6	KGMAR-2019-1764
KGMAR-2019-1764__pl_1	1	137603	25226	137603	100	43.0162	36.1	55.5	KGMAR-2019-1764
KGMAR-2016-1397__chr	1	5143580	1308943	5143580	100	57.0944	34.7	55.6	KGMAR-2016-1397
KGMAR-2016-1397__pl_1	1	273289	90985	273289	100	74.3712	34.9	52.2	KGMAR-2016-1397
KGMAR-2016-1397__pl_2	1	104401	32226	104401	100	69.2861	34.9	50.9	KGMAR-2016-1397
KGMAR-2016-1397__pl_3	1	4464	6135	4464	100	313.649	34.8	56.6	KGMAR-2016-1397
KGMAR-2016-1397__pl_4	1	3549	4867	3549	100	307.707	35.1	56	KGMAR-2016-1397
KGMAR-2016-1397__pl_5	1	2671	9708	2671	100	803.861	33.5	57	KGMAR-2016-1397
KGVETS-2019-01-901__chr	1	5190271	1713612	5189939	99.9936	69.1663	35.8	55.8	KGVETS-2019-01-901
KGVETS-2019-01-901__pl_1	1	141237	35740	141237	100	52.6743	36	55.4	KGVETS-2019-01-901
KGVETS-2019-01-902__chr	1	5422152	1914877	5422152	100	73.9455	35.4	55.8	KGVETS-2019-01-902
KGVETS-2019-01-902__pl_1	1	189484	75366	189484	100	82.3149	35.7	53.6	KGVETS-2019-01-902
2018-01-3465__chr	1	5241774	1015658	5241774	100	40.5543	34.5	55.9	2018-01-3465
2018-01-3465__pl_1	1	124139	25021	124139	100	41.7247	34.8	52.7	2018-01-3465
2018-01-3465__pl_2	1	5631	3606	5631	100	133.889	34.8	56.4	2018-01-3465
2018-01-3465__pl_3	1	1552	4906	1552	100	614.556	34.9	55.1	2018-01-3465
KP_NORM_BLD_1032__chr	1	5470676	1588980	5469477	99.9781	68.2226	34.4	56.4	KP_NORM_BLD_1032
KP_NORM_BLD_1032__pl_1	1	204396	76906	204396	100	87.1047	34.7	55.7	KP_NORM_BLD_1032
KP_NORM_BLD_1032__pl_2	1	5251	7649	5251	100	304.043	35.2	55.9	KP_NORM_BLD_1032
KP_NORM_BLD_1032__pl_3	1	4000	15813	4000	100	806.755	35.4	55.7	KP_NORM_BLD_1032
KP_NORM_BLD_1032__pl_4	1	2495	23441	2495	100	1897.16	34.9	55.7	KP_NORM_BLD_1032
KGVETS-2019-01-4848__chr	1	5269972	1473991	5269972	100	66.624	35.6	56.8	KGVETS-2019-01-4848
KGVETS-2019-01-4848__pl_1	1	193286	71915	193284	99.999	88.2384	36	53.2	KGVETS-2019-01-4848
KGVETS-2019-01-4848__pl_2	1	109590	27618	109590	100	60.2372	36.1	57.1	KGVETS-2019-01-4848
KGVETS-2019-01-4848__pl_3	1	40392	7480	40392	100	43.3809	36.4	56.8	KGVETS-2019-01-4848
KGVETS-2019-01-4848__pl_4	1	5722	7815	5722	100	328.871	35.8	48.3	KGVETS-2019-01-4848
KGVETS-2019-01-4937__chr	1	5219391	3072234	5219391	100	122.52	36.1	55.7	KGVETS-2019-01-4937
KGVETS-2019-01-4937__pl_1	1	147121	97613	147121	100	137.283	36.4	55.4	KGVETS-2019-01-4937
KGVETS-2019-01-4937__pl_2	1	109914	110489	109914	100	207.803	36.4	54.8	KGVETS-2019-01-4937
KGVETS-2019-01-4548__chr	1	5269972	2130087	5269972	100	84.3813	35.9	55.8	KGVETS-2019-01-4548
KGVETS-2019-01-4548__pl_1	1	193286	100955	193285	99.9995	108.685	36.2	52.1	KGVETS-2019-01-4548
KGVETS-2019-01-4548__pl_2	1	109590	37929	109590	100	71.9959	36.3	56	KGVETS-2019-01-4548
KGVETS-2019-01-4548__pl_3	1	40392	11029	40392	100	56.1171	36.5	55.9	KGVETS-2019-01-4548
KGVETS-2019-01-4548__pl_4	1	5722	11595	5722	100	438.931	36.1	48.2	KGVETS-2019-01-4548
KGVETS-2019-01-4908__chr	1	5215663	1395329	5215663	100	64.0311	35.5	56.7	KGVETS-2019-01-4908
KGVETS-2019-01-4908__pl_1	1	106199	25724	106199	100	57.8388	35.9	57.3	KGVETS-2019-01-4908
KGVETS-2019-01-4908__pl_2	1	5266	7184	5266	100	316.789	35.7	55.7	KGVETS-2019-01-4908
KGVETS-2019-01-4908__pl_3	1	4315	7038	4315	100	393.633	36.1	57.1	KGVETS-2019-01-4908
KGVETS-2019-01-4908__pl_4	1	1888	11829	1888	100	1438.63	35.6	56.3	KGVETS-2019-01-4908
KGVETS-2019-01-4407__chr	1	5261907	1288629	5261907	100	57.5141	35.7	56.7	KGVETS-2019-01-4407
KGVETS-2019-01-4407__pl_1	1	155816	43018	155816	100	64.6593	36.1	55.1	KGVETS-2019-01-4407
KGVETS-2019-01-4407__pl_2	1	109461	39965	109461	100	85.6143	36.2	56.8	KGVETS-2019-01-4407
KGVETS-2019-01-4407__pl_3	1	54172	58631	54172	100	252.187	36	56.9	KGVETS-2019-01-4407
KGVETS-2019-01-5108__chr	1	5190342	1585957	5190342	100	71.6544	35.6	56.6	KGVETS-2019-01-5108
KGVETS-2019-01-5108__pl_1	1	191910	75819	191910	100	92.2165	36	54.6	KGVETS-2019-01-5108
KGVETS-2019-01-604__chr	1	5258435	1548046	5258435	100	60.6689	35.8	55.7	KGVETS-2019-01-604
KGVETS-2019-01-604__pl_1	1	110478	17555	110478	100	32.3942	36.2	56.1	KGVETS-2019-01-604
KGVETS-2019-01-897__chr	1	5252719	2049603	5252719	100	80.0552	35.8	55.5	KGVETS-2019-01-897
KGVETS-2019-01-897__pl_1	1	168907	97386	168907	100	117.672	36.1	54.9	KGVETS-2019-01-897
KGVETS-2019-01-897__pl_2	1	1877	18147	1877	100	1970.58	34.9	56.1	KGVETS-2019-01-897
KGVETS-2019-01-587__chr	1	5241878	1906388	5241878	100	75.7578	35.7	55.7	KGVETS-2019-01-587
KGVETS-2019-01-587__pl_1	1	191896	84005	191896	100	90.4608	36	53.3	KGVETS-2019-01-587
KGVETS-2019-01-587__pl_2	1	109699	34965	109699	100	65.7008	36.1	56.1	KGVETS-2019-01-587
KGVETS-2019-01-587__pl_3	1	1941	8687	1941	100	917.055	35.7	55.6	KGVETS-2019-01-587
KGVETS-2019-01-3127__chr	1	5201600	1654270	5201600	100	63.1611	35.9	55.6	KGVETS-2019-01-3127
KGVETS-2019-01-3127__pl_1	1	135713	37388	135713	100	54.1922	36.1	55	KGVETS-2019-01-3127
KGVETS-2019-01-3127__pl_2	1	111192	32862	111192	100	57.6472	36.2	55.5	KGVETS-2019-01-3127
KGVETS-2019-01-2201__chr	1	5423540	1119847	5423540	100	43.8191	35.2	55.7	KGVETS-2019-01-2201
KP_NORM_BLD_113321__chr	1	5246005	765716	5245811	99.9963	28.5977	35.2	55.2	KP_NORM_BLD_113321
KP_NORM_BLD_113321__pl_1	1	187834	24700	187834	100	25.6342	35.7	50	KP_NORM_BLD_113321
KGVETS-2019-01-376__chr	1	5348407	1577886	5348407	100	61.7113	35.8	55.8	KGVETS-2019-01-376
KGVETS-2019-01-376__pl_1	1	191895	68054	191895	100	73.6142	36	53.7	KGVETS-2019-01-376
KGVETS-2019-01-4380__chr	1	5311047	2406375	5311047	100	97.1232	35.9	55.9	KGVETS-2019-01-4380
KGVETS-2019-01-4380__pl_1	1	155817	78636	155817	100	108.255	36.2	54.1	KGVETS-2019-01-4380
KGVETS-2019-01-4380__pl_2	1	9294	9178	9294	100	214.481	35.9	56.7	KGVETS-2019-01-4380
KGVET-2020-01-2846-1__chr	1	5402258	2788480	5402258	100	126.774	34.7	57.2	KGVET-2020-01-2846-1
KGVET-2020-01-2318-1__chr	1	5328021	1224968	5328021	100	64.8414	34.1	58.5	KGVET-2020-01-2318-1
KGVET-2020-01-2318-1__pl_1	1	197410	18636	197410	100	26.4108	34.8	59	KGVET-2020-01-2318-1
KGVETS-2019-01-2116__chr	1	5571553	1307051	5571553	100	49.4207	35.2	55.9	KGVETS-2019-01-2116
KGVETS-2019-01-2116__pl_1	1	160222	39110	160222	100	51.1558	35.3	55.6	KGVETS-2019-01-2116
KGVETS-2019-01-3185__chr	1	5336402	1205242	5336402	100	49.1829	35.9	55.8	KGVETS-2019-01-3185
