reference-ID	query-ID	distance	p-value	shared-hashes	SampleID
NK_H15_056__chr.fasta	NK_H15_056__completeAssembly.fasta	0.000896554	0	96338/100000	NK_H15_056
NK_H15_056__chr.fasta	NK_H15_056__pl_1.fasta	0.301525	0	89/100000	NK_H15_056
NK_H15_056__chr.fasta	NK_H15_056__pl_2.fasta	0.321901	4.0456e-234	58/100000	NK_H15_056
NK_H15_056__chr.fasta	NK_H15_056__pl_3.fasta	1	1	0/100000	NK_H15_056
KGVETS-2019-01-5108__chr.fasta	KGVETS-2019-01-5108__allPlasmids.fasta	1	1	0/100000	KGVETS-2019-01-5108
KGVETS-2019-01-5108__chr.fasta	KGVETS-2019-01-5108__chr.fasta	0	0	100000/100000	KGVETS-2019-01-5108
KGVETS-2019-01-5108__chr.fasta	KGVETS-2019-01-5108__completeAssembly.fasta	0.000850548	0	96521/100000	KGVETS-2019-01-5108
KGVETS-2019-01-5108__chr.fasta	KGVETS-2019-01-5108__pl_1.fasta	1	1	0/100000	KGVETS-2019-01-5108
KP_NORM_BLD_114453__chr.fasta	KP_NORM_BLD_114453__allPlasmids.fasta	0.462914	1.19757e-08	3/100000	KP_NORM_BLD_114453
KP_NORM_BLD_114453__chr.fasta	KP_NORM_BLD_114453__chr.fasta	0	0	100000/100000	KP_NORM_BLD_114453
KP_NORM_BLD_114453__chr.fasta	KP_NORM_BLD_114453__completeAssembly.fasta	0.000811433	0	96677/100000	KP_NORM_BLD_114453
KP_NORM_BLD_114453__chr.fasta	KP_NORM_BLD_114453__pl_1.fasta	0.462914	1.19757e-08	3/100000	KP_NORM_BLD_114453
KGVET-2020-01-3513-1__chr.fasta	KGVET-2020-01-3513-1__chr.fasta	0	0	100000/100000	KGVET-2020-01-3513-1
KGVET-2020-01-3513-1__chr.fasta	KGVET-2020-01-3513-1__completeAssembly.fasta	0	0	100000/100000	KGVET-2020-01-3513-1
KGVET-2018-04-44577__chr.fasta	KGVET-2018-04-44577__allPlasmids.fasta	1	1	0/100000	KGVET-2018-04-44577
KGVET-2018-04-44577__chr.fasta	KGVET-2018-04-44577__chr.fasta	0	0	100000/100000	KGVET-2018-04-44577
KGVET-2018-04-44577__chr.fasta	KGVET-2018-04-44577__completeAssembly.fasta	0.00014014	0	99414/100000	KGVET-2018-04-44577
KGVET-2018-04-44577__chr.fasta	KGVET-2018-04-44577__pl_1.fasta	1	1	0/100000	KGVET-2018-04-44577
KGVET-2018-04-44577__chr.fasta	KGVET-2018-04-44577__pl_2.fasta	1	1	0/100000	KGVET-2018-04-44577
KGVET-2020-01-2661__chr.fasta	KGVET-2020-01-2661__allPlasmids.fasta	0.273629	0	160/100000	KGVET-2020-01-2661
KGVET-2020-01-2661__chr.fasta	KGVET-2020-01-2661__chr.fasta	0	0	100000/100000	KGVET-2020-01-2661
KGVET-2020-01-2661__chr.fasta	KGVET-2020-01-2661__completeAssembly.fasta	0.0006388	0	97370/100000	KGVET-2020-01-2661
KGVET-2020-01-2661__chr.fasta	KGVET-2020-01-2661__pl_1.fasta	0.273038	0	162/100000	KGVET-2020-01-2661
KGVET-2020-01-2661__chr.fasta	KGVET-2020-01-2661__pl_2.fasta	1	1	0/100000	KGVET-2020-01-2661
KGVET-2020-01-126__chr.fasta	KGVET-2020-01-126__chr.fasta	0	0	100000/100000	KGVET-2020-01-126
KGVET-2020-01-126__chr.fasta	KGVET-2020-01-126__completeAssembly.fasta	0	0	100000/100000	KGVET-2020-01-126
KP_NORM_BLD_2008_54823__chr.fasta	KP_NORM_BLD_2008_54823__allPlasmids.fasta	0.263022	0	200/100000	KP_NORM_BLD_2008_54823
KP_NORM_BLD_2008_54823__chr.fasta	KP_NORM_BLD_2008_54823__chr.fasta	0	0	100000/100000	KP_NORM_BLD_2008_54823
KP_NORM_BLD_2008_54823__chr.fasta	KP_NORM_BLD_2008_54823__completeAssembly.fasta	0.0014535	0	94163/100000	KP_NORM_BLD_2008_54823
KP_NORM_BLD_2008_54823__chr.fasta	KP_NORM_BLD_2008_54823__pl_1.fasta	0.280662	0	138/100000	KP_NORM_BLD_2008_54823
KP_NORM_BLD_2008_54823__chr.fasta	KP_NORM_BLD_2008_54823__pl_2.fasta	0.383207	1.34584e-55	16/100000	KP_NORM_BLD_2008_54823
KP_NORM_BLD_2008_54823__chr.fasta	KP_NORM_BLD_2008_54823__pl_3.fasta	0.305423	0	82/100000	KP_NORM_BLD_2008_54823
KP_NORM_BLD_2008_54823__chr.fasta	KP_NORM_BLD_2008_54823__pl_4.fasta	0.389565	1.03316e-60	14/100000	KP_NORM_BLD_2008_54823
KGVET-2020-01-2496-3__chr.fasta	KGVET-2020-01-2496-3__allPlasmids.fasta	0.429909	8.4358e-18	6/100000	KGVET-2020-01-2496-3
KGVET-2020-01-2496-3__chr.fasta	KGVET-2020-01-2496-3__chr.fasta	0	0	100000/100000	KGVET-2020-01-2496-3
KGVET-2020-01-2496-3__chr.fasta	KGVET-2020-01-2496-3__completeAssembly.fasta	0.000887494	0	96374/100000	KGVET-2020-01-2496-3
KGVET-2020-01-2496-3__chr.fasta	KGVET-2020-01-2496-3__pl_1.fasta	0.429909	8.4358e-18	6/100000	KGVET-2020-01-2496-3
KGMAR-2016-563__chr.fasta	KGMAR-2016-563__allPlasmids.fasta	0.310955	1.04231e-286	73/100000	KGMAR-2016-563
KGMAR-2016-563__chr.fasta	KGMAR-2016-563__chr.fasta	0	0	100000/100000	KGMAR-2016-563
KGMAR-2016-563__chr.fasta	KGMAR-2016-563__completeAssembly.fasta	0.000607115	0	97498/100000	KGMAR-2016-563
KGMAR-2016-563__chr.fasta	KGMAR-2016-563__pl_1.fasta	0.313636	1.75081e-283	69/100000	KGMAR-2016-563
KGMAR-2016-563__chr.fasta	KGMAR-2016-563__pl_2.fasta	0.347322	1.84475e-139	34/100000	KGMAR-2016-563
KGMAR-2016-563__chr.fasta	KGMAR-2016-563__pl_3.fasta	1	1	0/100000	KGMAR-2016-563
KGMAR-2016-563__chr.fasta	KGMAR-2016-563__pl_4.fasta	1	1	0/100000	KGMAR-2016-563
KGVET-2018-01-3794__chr.fasta	KGVET-2018-01-3794__chr.fasta	0	0	100000/100000	KGVET-2018-01-3794
KGVET-2018-01-3794__chr.fasta	KGVET-2018-01-3794__completeAssembly.fasta	0	0	100000/100000	KGVET-2018-01-3794
KGVET-2020-01-2328-1__chr.fasta	KGVET-2020-01-2328-1__chr.fasta	0	0	100000/100000	KGVET-2020-01-2328-1
KGVET-2020-01-2328-1__chr.fasta	KGVET-2020-01-2328-1__completeAssembly.fasta	0	0	100000/100000	KGVET-2020-01-2328-1
KGVET-2020-01-2959-1__chr.fasta	KGVET-2020-01-2959-1__allPlasmids.fasta	1	1	0/100000	KGVET-2020-01-2959-1
KGVET-2020-01-2959-1__chr.fasta	KGVET-2020-01-2959-1__chr.fasta	0	0	100000/100000	KGVET-2020-01-2959-1
KGVET-2020-01-2959-1__chr.fasta	KGVET-2020-01-2959-1__completeAssembly.fasta	0.000269653	0	98877/100000	KGVET-2020-01-2959-1
KGVET-2020-01-2959-1__chr.fasta	KGVET-2020-01-2959-1__pl_1.fasta	1	1	0/100000	KGVET-2020-01-2959-1
KGVET-2020-01-2959-1__chr.fasta	KGVET-2020-01-2959-1__pl_2.fasta	1	1	0/100000	KGVET-2020-01-2959-1
2018-01-2782__chr.fasta	2018-01-2782__chr.fasta	0	0	100000/100000	2018-01-2782
2018-01-2782__chr.fasta	2018-01-2782__completeAssembly.fasta	0	0	100000/100000	2018-01-2782
2018-01-4107__chr.fasta	2018-01-4107__allPlasmids.fasta	0.351719	4.36821e-123	31/100000	2018-01-4107
2018-01-4107__chr.fasta	2018-01-4107__chr.fasta	0	0	100000/100000	2018-01-4107
2018-01-4107__chr.fasta	2018-01-4107__completeAssembly.fasta	0.0002682	0	98883/100000	2018-01-4107
2018-01-4107__chr.fasta	2018-01-4107__pl_1.fasta	0.351719	2.35205e-127	31/100000	2018-01-4107
2018-01-4107__chr.fasta	2018-01-4107__pl_2.fasta	1	1	0/100000	2018-01-4107
2018-01-4107__chr.fasta	2018-01-4107__pl_3.fasta	1	1	0/100000	2018-01-4107
2018-01-4107__chr.fasta	2018-01-4107__pl_4.fasta	1	1	0/100000	2018-01-4107
2018-01-4107__chr.fasta	2018-01-4107__pl_5.fasta	1	1	0/100000	2018-01-4107
2018-01-4107__chr.fasta	2018-01-4107__pl_6.fasta	1	1	0/100000	2018-01-4107
KGVETS-2019-01-1760__chr.fasta	KGVETS-2019-01-1760__allPlasmids.fasta	1	1	0/100000	KGVETS-2019-01-1760
KGVETS-2019-01-1760__chr.fasta	KGVETS-2019-01-1760__chr.fasta	0	0	100000/100000	KGVETS-2019-01-1760
KGVETS-2019-01-1760__chr.fasta	KGVETS-2019-01-1760__completeAssembly.fasta	0.000947741	0	96135/100000	KGVETS-2019-01-1760
KGVETS-2019-01-1760__chr.fasta	KGVETS-2019-01-1760__pl_1.fasta	1	1	0/100000	KGVETS-2019-01-1760
KGVETS-2019-01-1760__chr.fasta	KGVETS-2019-01-1760__pl_2.fasta	1	1	0/100000	KGVETS-2019-01-1760
KGVETS-2019-01-1760__chr.fasta	KGVETS-2019-01-1760__pl_3.fasta	1	1	0/100000	KGVETS-2019-01-1760
2018-01-3218__chr.fasta	2018-01-3218__chr.fasta	0	0	100000/100000	2018-01-3218
2018-01-3218__chr.fasta	2018-01-3218__completeAssembly.fasta	0	0	100000/100000	2018-01-3218
KGVET-2020-01-4188-1__chr.fasta	KGVET-2020-01-4188-1__chr.fasta	0	0	100000/100000	KGVET-2020-01-4188-1
KGVET-2020-01-4188-1__chr.fasta	KGVET-2020-01-4188-1__completeAssembly.fasta	0	0	100000/100000	KGVET-2020-01-4188-1
KGVET-2020-01-2209-1__chr.fasta	KGVET-2020-01-2209-1__allPlasmids.fasta	0.293209	0	106/100000	KGVET-2020-01-2209-1
KGVET-2020-01-2209-1__chr.fasta	KGVET-2020-01-2209-1__chr.fasta	0	0	100000/100000	KGVET-2020-01-2209-1
KGVET-2020-01-2209-1__chr.fasta	KGVET-2020-01-2209-1__completeAssembly.fasta	0.000852055	0	96515/100000	KGVET-2020-01-2209-1
KGVET-2020-01-2209-1__chr.fasta	KGVET-2020-01-2209-1__pl_1.fasta	0.293209	0	106/100000	KGVET-2020-01-2209-1
KGVET-2020-01-2209-1__chr.fasta	KGVET-2020-01-2209-1__pl_2.fasta	1	1	0/100000	KGVET-2020-01-2209-1
KGVET-2020-01-2209-1__chr.fasta	KGVET-2020-01-2209-1__pl_3.fasta	1	1	0/100000	KGVET-2020-01-2209-1
KGVET-2020-01-2209-1__chr.fasta	KGVET-2020-01-2209-1__pl_4.fasta	1	1	0/100000	KGVET-2020-01-2209-1
KGVET-2020-01-2209-1__chr.fasta	KGVET-2020-01-2209-1__pl_5.fasta	1	1	0/100000	KGVET-2020-01-2209-1
KGVET-2020-01-2209-1__chr.fasta	KGVET-2020-01-2209-1__pl_6.fasta	1	1	0/100000	KGVET-2020-01-2209-1
KGVET-2020-01-1661__chr.fasta	KGVET-2020-01-1661__allPlasmids.fasta	0.24824	0	273/100000	KGVET-2020-01-1661
KGVET-2020-01-1661__chr.fasta	KGVET-2020-01-1661__chr.fasta	0	0	100000/100000	KGVET-2020-01-1661
KGVET-2020-01-1661__chr.fasta	KGVET-2020-01-1661__completeAssembly.fasta	0.00123718	0	94999/100000	KGVET-2020-01-1661
KGVET-2020-01-1661__chr.fasta	KGVET-2020-01-1661__pl_1.fasta	0.256175	0	231/100000	KGVET-2020-01-1661
KGVET-2020-01-1661__chr.fasta	KGVET-2020-01-1661__pl_2.fasta	0.300468	0	91/100000	KGVET-2020-01-1661
KGVET-2020-01-1661__chr.fasta	KGVET-2020-01-1661__pl_3.fasta	1	1	0/100000	KGVET-2020-01-1661
KGVETS-2019-01-1961__chr.fasta	KGVETS-2019-01-1961__allPlasmids.fasta	0.482221	1.88729e-05	2/100000	KGVETS-2019-01-1961
KGVETS-2019-01-1961__chr.fasta	KGVETS-2019-01-1961__chr.fasta	0	0	100000/100000	KGVETS-2019-01-1961
KGVETS-2019-01-1961__chr.fasta	KGVETS-2019-01-1961__completeAssembly.fasta	0.00127579	0	94849/100000	KGVETS-2019-01-1961
KGVETS-2019-01-1961__chr.fasta	KGVETS-2019-01-1961__pl_1.fasta	0.482221	4.96365e-06	2/100000	KGVETS-2019-01-1961
KGVETS-2019-01-1961__chr.fasta	KGVETS-2019-01-1961__pl_2.fasta	1	1	0/100000	KGVETS-2019-01-1961
KGVETS-2019-01-1961__chr.fasta	KGVETS-2019-01-1961__pl_3.fasta	1	1	0/100000	KGVETS-2019-01-1961
KGMAR-2016-319__chr.fasta	KGMAR-2016-319__allPlasmids.fasta	0.263499	0	198/100000	KGMAR-2016-319
KGMAR-2016-319__chr.fasta	KGMAR-2016-319__chr.fasta	0	0	100000/100000	KGMAR-2016-319
KGMAR-2016-319__chr.fasta	KGMAR-2016-319__completeAssembly.fasta	0.000908139	0	96292/100000	KGMAR-2016-319
KGMAR-2016-319__chr.fasta	KGMAR-2016-319__pl_1.fasta	0.263499	0	198/100000	KGMAR-2016-319
KGVET-2019-01-792__chr.fasta	KGVET-2019-01-792__allPlasmids.fasta	0.29059	0	112/100000	KGVET-2019-01-792
KGVET-2019-01-792__chr.fasta	KGVET-2019-01-792__chr.fasta	0	0	100000/100000	KGVET-2019-01-792
KGVET-2019-01-792__chr.fasta	KGVET-2019-01-792__completeAssembly.fasta	0.00122203	0	95058/100000	KGVET-2019-01-792
KGVET-2019-01-792__chr.fasta	KGVET-2019-01-792__pl_1.fasta	0.29232	0	108/100000	KGVET-2019-01-792
KGVET-2019-01-792__chr.fasta	KGVET-2019-01-792__pl_2.fasta	0.302607	0	87/100000	KGVET-2019-01-792
KGVET-2019-01-792__chr.fasta	KGVET-2019-01-792__pl_3.fasta	1	1	0/100000	KGVET-2019-01-792
KGVET-2019-01-792__chr.fasta	KGVET-2019-01-792__pl_4.fasta	1	1	0/100000	KGVET-2019-01-792
T7-213__chr.fasta	T7-213__allPlasmids.fasta	1	1	0/100000	T7-213
T7-213__chr.fasta	T7-213__chr.fasta	0	0	100000/100000	T7-213
T7-213__chr.fasta	T7-213__completeAssembly.fasta	0.000258759	0	98922/100000	T7-213
T7-213__chr.fasta	T7-213__pl_1.fasta	1	1	0/100000	T7-213
KGVET-2019-01-3619__chr.fasta	KGVET-2019-01-3619__allPlasmids.fasta	0.236309	0	351/100000	KGVET-2019-01-3619
KGVET-2019-01-3619__chr.fasta	KGVET-2019-01-3619__chr.fasta	0	0	100000/100000	KGVET-2019-01-3619
KGVET-2019-01-3619__chr.fasta	KGVET-2019-01-3619__completeAssembly.fasta	0.00154701	0	93805/100000	KGVET-2019-01-3619
KGVET-2019-01-3619__chr.fasta	KGVET-2019-01-3619__pl_1.fasta	0.259585	0	215/100000	KGVET-2019-01-3619
KGVET-2019-01-3619__chr.fasta	KGVET-2019-01-3619__pl_2.fasta	0.260478	0	211/100000	KGVET-2019-01-3619
KGVET-2019-01-3619__chr.fasta	KGVET-2019-01-3619__pl_3.fasta	1	1	0/100000	KGVET-2019-01-3619
KGVET-2019-01-3619__chr.fasta	KGVET-2019-01-3619__pl_4.fasta	1	1	0/100000	KGVET-2019-01-3619
KGVET-2019-01-3619__chr.fasta	KGVET-2019-01-3619__pl_5.fasta	1	1	0/100000	KGVET-2019-01-3619
KGVET-2019-01-3619__chr.fasta	KGVET-2019-01-3619__pl_6.fasta	1	1	0/100000	KGVET-2019-01-3619
KGVET-2019-01-3619__chr.fasta	KGVET-2019-01-3619__pl_7.fasta	1	1	0/100000	KGVET-2019-01-3619
KGVETS-2019-01-3127__chr.fasta	KGVETS-2019-01-3127__allPlasmids.fasta	0.37026	3.98332e-68	21/100000	KGVETS-2019-01-3127
KGVETS-2019-01-3127__chr.fasta	KGVETS-2019-01-3127__chr.fasta	0	0	100000/100000	KGVETS-2019-01-3127
KGVETS-2019-01-3127__chr.fasta	KGVETS-2019-01-3127__completeAssembly.fasta	0.00113315	0	95405/100000	KGVETS-2019-01-3127
KGVETS-2019-01-3127__chr.fasta	KGVETS-2019-01-3127__pl_1.fasta	0.368046	2.92989e-77	22/100000	KGVETS-2019-01-3127
KGVETS-2019-01-3127__chr.fasta	KGVETS-2019-01-3127__pl_2.fasta	1	1	0/100000	KGVETS-2019-01-3127
2018-01-880__chr.fasta	2018-01-880__allPlasmids.fasta	1	1	0/100000	2018-01-880
2018-01-880__chr.fasta	2018-01-880__chr.fasta	0	0	100000/100000	2018-01-880
2018-01-880__chr.fasta	2018-01-880__completeAssembly.fasta	2.54967e-05	0	99893/100000	2018-01-880
2018-01-880__chr.fasta	2018-01-880__pl_1.fasta	1	1	0/100000	2018-01-880
2018-01-1439__chr.fasta	2018-01-1439__allPlasmids.fasta	0.348743	8.35625e-111	33/100000	2018-01-1439
2018-01-1439__chr.fasta	2018-01-1439__chr.fasta	0	0	100000/100000	2018-01-1439
2018-01-1439__chr.fasta	2018-01-1439__completeAssembly.fasta	0.0012228	0	95055/100000	2018-01-1439
2018-01-1439__chr.fasta	2018-01-1439__pl_1.fasta	0.348743	4.92795e-119	33/100000	2018-01-1439
2018-01-1439__chr.fasta	2018-01-1439__pl_2.fasta	1	1	0/100000	2018-01-1439
2018-01-1439__chr.fasta	2018-01-1439__pl_3.fasta	1	1	0/100000	2018-01-1439
2018-01-1439__chr.fasta	2018-01-1439__pl_4.fasta	1	1	0/100000	2018-01-1439
2018-01-1439__chr.fasta	2018-01-1439__pl_5.fasta	1	1	0/100000	2018-01-1439
KGVET-2019-01-3472-4__chr.fasta	KGVET-2019-01-3472-4__allPlasmids.fasta	1	1	0/100000	KGVET-2019-01-3472-4
KGVET-2019-01-3472-4__chr.fasta	KGVET-2019-01-3472-4__chr.fasta	0	0	100000/100000	KGVET-2019-01-3472-4
KGVET-2019-01-3472-4__chr.fasta	KGVET-2019-01-3472-4__completeAssembly.fasta	0.000200063	0	99165/100000	KGVET-2019-01-3472-4
KGVET-2019-01-3472-4__chr.fasta	KGVET-2019-01-3472-4__pl_1.fasta	1	1	0/100000	KGVET-2019-01-3472-4
KGVET-2019-01-3472-4__chr.fasta	KGVET-2019-01-3472-4__pl_2.fasta	1	1	0/100000	KGVET-2019-01-3472-4
KGVET-2019-01-3472-4__chr.fasta	KGVET-2019-01-3472-4__pl_3.fasta	1	1	0/100000	KGVET-2019-01-3472-4
KGVETS-2019-01-2870__chr.fasta	KGVETS-2019-01-2870__allPlasmids.fasta	0.41621	4.82092e-21	8/100000	KGVETS-2019-01-2870
KGVETS-2019-01-2870__chr.fasta	KGVETS-2019-01-2870__chr.fasta	0	0	100000/100000	KGVETS-2019-01-2870
KGVETS-2019-01-2870__chr.fasta	KGVETS-2019-01-2870__completeAssembly.fasta	0.0022137	0	91310/100000	KGVETS-2019-01-2870
KGVETS-2019-01-2870__chr.fasta	KGVETS-2019-01-2870__pl_1.fasta	0.41621	3.7421e-23	8/100000	KGVETS-2019-01-2870
KGVETS-2019-01-2870__chr.fasta	KGVETS-2019-01-2870__pl_2.fasta	1	1	0/100000	KGVETS-2019-01-2870
KGVETS-2019-01-2870__chr.fasta	KGVETS-2019-01-2870__pl_3.fasta	1	1	0/100000	KGVETS-2019-01-2870
KGVETS-2019-01-2870__chr.fasta	KGVETS-2019-01-2870__pl_4.fasta	1	1	0/100000	KGVETS-2019-01-2870
KGVETS-2019-01-2870__chr.fasta	KGVETS-2019-01-2870__pl_5.fasta	1	1	0/100000	KGVETS-2019-01-2870
KGVETS-2019-01-2870__chr.fasta	KGVETS-2019-01-2870__pl_6.fasta	1	1	0/100000	KGVETS-2019-01-2870
KGVETS-2019-01-2870__chr.fasta	KGVETS-2019-01-2870__pl_7.fasta	1	1	0/100000	KGVETS-2019-01-2870
2018-01-1024__chr.fasta	2018-01-1024__allPlasmids.fasta	0.33841	9.73437e-146	41/100000	2018-01-1024
2018-01-1024__chr.fasta	2018-01-1024__chr.fasta	0	0	100000/100000	2018-01-1024
2018-01-1024__chr.fasta	2018-01-1024__completeAssembly.fasta	0.000960626	0	96084/100000	2018-01-1024
2018-01-1024__chr.fasta	2018-01-1024__pl_1.fasta	0.336143	7.14898e-163	43/100000	2018-01-1024
2018-01-1024__chr.fasta	2018-01-1024__pl_2.fasta	1	1	0/100000	2018-01-1024
2018-01-1024__chr.fasta	2018-01-1024__pl_3.fasta	1	1	0/100000	2018-01-1024
2018-01-1024__chr.fasta	2018-01-1024__pl_4.fasta	1	1	0/100000	2018-01-1024
2018-01-1024__chr.fasta	2018-01-1024__pl_5.fasta	1	1	0/100000	2018-01-1024
2018-01-1024__chr.fasta	2018-01-1024__pl_6.fasta	1	1	0/100000	2018-01-1024
2018-01-1024__chr.fasta	2018-01-1024__pl_7.fasta	1	1	0/100000	2018-01-1024
2018-01-1024__chr.fasta	2018-01-1024__pl_8.fasta	1	1	0/100000	2018-01-1024
KGVETS-2019-01-3162__chr.fasta	KGVETS-2019-01-3162__allPlasmids.fasta	0.336143	8.79133e-149	43/100000	KGVETS-2019-01-3162
KGVETS-2019-01-3162__chr.fasta	KGVETS-2019-01-3162__chr.fasta	0	0	100000/100000	KGVETS-2019-01-3162
