#name	length	SampleID	AssemblyType
KGMAR-2019-1434__pl_4 length=12281 circular=true	12281	KGMAR-2019-1434	CompleteAssembly
KGMAR-2019-1434__pl_5 length=10145 circular=true	10145	KGMAR-2019-1434	CompleteAssembly
KGMAR-2019-1434__pl_6 length=8113 circular=true	8113	KGMAR-2019-1434	CompleteAssembly
KGMAR-2019-1434__pl_7 length=5080 circular=true	5080	KGMAR-2019-1434	CompleteAssembly
KGMAR-2019-1434__pl_8 length=3851 circular=true	3851	KGMAR-2019-1434	CompleteAssembly
2018-01-2353__chr length=5254528 circular=true	5254528	2018-01-2353	CompleteAssembly
2018-01-2353__pl_1 length=205342 circular=true	205342	2018-01-2353	CompleteAssembly
2018-01-2353__pl_2 length=4867 circular=true	4867	2018-01-2353	CompleteAssembly
KGVET-2018-04-44577__chr length=5144053 circular=true	5144053	KGVET-2018-04-44577	CompleteAssembly
KGVET-2018-04-44577__pl_1 length=25445 circular=true	25445	KGVET-2018-04-44577	CompleteAssembly
KGVET-2018-04-44577__pl_2 length=4267 circular=true	4267	KGVET-2018-04-44577	CompleteAssembly
KGVET-2020-01-3043-2__chr length=5105113 circular=true	5105113	KGVET-2020-01-3043-2	CompleteAssembly
KGVET-2020-01-2158-1__chr length=5308542 circular=true	5308542	KGVET-2020-01-2158-1	CompleteAssembly
KGVET-2020-01-2158-1__pl_1 length=177995 circular=true	177995	KGVET-2020-01-2158-1	CompleteAssembly
KGVET-2020-01-2158-1__pl_2 length=9294 circular=true	9294	KGVET-2020-01-2158-1	CompleteAssembly
KGVET-2020-01-2158-1__pl_3 length=5631 circular=true	5631	KGVET-2020-01-2158-1	CompleteAssembly
KGVET-2020-01-2158-1__pl_4 length=5463 circular=true	5463	KGVET-2020-01-2158-1	CompleteAssembly
KGVET-2020-01-2158-1__pl_5 length=1843 circular=true	1843	KGVET-2020-01-2158-1	CompleteAssembly
KGVET-2020-01-2158-1__pl_6 length=1506 circular=true	1506	KGVET-2020-01-2158-1	CompleteAssembly
KGVET-2020-01-2158-1__pl_7 length=1335 circular=true	1335	KGVET-2020-01-2158-1	CompleteAssembly
KGMAR-2016-319__chr length=5273997 circular=true accession=CP085101.1	5273997	KGMAR-2016-319	CompleteAssembly
KGMAR-2016-319__pl_1 length=215261 circular=true accession=CP085102.1	215261	KGMAR-2016-319	CompleteAssembly
2018-01-389__chr length=5327507 circular=true	5327507	2018-01-389	CompleteAssembly
2018-01-3218__chr length=5282242 circular=true	5282242	2018-01-3218	CompleteAssembly
2018-01-2734__chr length=5283357 circular=true	5283357	2018-01-2734	CompleteAssembly
2018-01-2734__pl_1 length=142039 circular=true	142039	2018-01-2734	CompleteAssembly
2018-01-2734__pl_2 length=77941 circular=true	77941	2018-01-2734	CompleteAssembly
2018-01-4735__chr length=5286513 circular=true	5286513	2018-01-4735	CompleteAssembly
2018-01-4735__pl_1 length=9294 circular=true	9294	2018-01-4735	CompleteAssembly
2018-01-4735__pl_2 length=5631 circular=true	5631	2018-01-4735	CompleteAssembly
2018-01-4735__pl_3 length=5463 circular=true	5463	2018-01-4735	CompleteAssembly
2018-01-4735__pl_4 length=1527 circular=true	1527	2018-01-4735	CompleteAssembly
KGMAR-2019-1764__chr length=5197806 circular=true accession=CP085099.1	5197806	KGMAR-2019-1764	CompleteAssembly
KGMAR-2019-1764__pl_1 length=137603 circular=true accession=CP085100.1	137603	KGMAR-2019-1764	CompleteAssembly
2018-01-710__chr length=5210957 circular=true	5210957	2018-01-710	CompleteAssembly
2018-01-710__pl_1 length=34614 circular=true	34614	2018-01-710	CompleteAssembly
2018-01-710__pl_2 length=5773 circular=true	6073	2018-01-710	CompleteAssembly
2018-01-710__pl_3 length=5540 circular=true	5540	2018-01-710	CompleteAssembly
2018-01-4203__chr length=5242521 circular=true	5242521	2018-01-4203	CompleteAssembly
KGVET-2020-01-3421-1__chr length=5235890 circular=true	5235890	KGVET-2020-01-3421-1	CompleteAssembly
KGVET-2020-01-3421-1__pl_1 length=153877 circular=true	153877	KGVET-2020-01-3421-1	CompleteAssembly
KGVET-2020-01-3421-1__pl_2 length=5874 circular=true	5874	KGVET-2020-01-3421-1	CompleteAssembly
KGVET-2020-01-3421-1__pl_3 length=4091 circular=true	4091	KGVET-2020-01-3421-1	CompleteAssembly
KGVET-2020-01-3421-1__pl_4 length=4074 circular=true	4074	KGVET-2020-01-3421-1	CompleteAssembly
KGVET-2020-01-3421-1__pl_5 length=1843 circular=true	1843	KGVET-2020-01-3421-1	CompleteAssembly
KGVET-2020-01-3421-1__pl_6 length=1306 circular=true	1306	KGVET-2020-01-3421-1	CompleteAssembly
KGMAR-2016-1200__chr length=5312007 circular=true accession=CP085033.1	5312007	KGMAR-2016-1200	CompleteAssembly
KGMAR-2016-1200__pl_1 length=187807 circular=true accession=CP085034.1	187807	KGMAR-2016-1200	CompleteAssembly
KGMAR-2016-1200__pl_2 length=2667 circular=true accession=CP085035.1	2667	KGMAR-2016-1200	CompleteAssembly
KGVETS-2019-01-2870__chr length=5172574 circular=true	5172574	KGVETS-2019-01-2870	CompleteAssembly
KGVETS-2019-01-2870__pl_1 length=274370 circular=true	274370	KGVETS-2019-01-2870	CompleteAssembly
KGVETS-2019-01-2870__pl_2 length=232019 circular=true	232019	KGVETS-2019-01-2870	CompleteAssembly
KGVETS-2019-01-2870__pl_3 length=5263 circular=true	5263	KGVETS-2019-01-2870	CompleteAssembly
KGVETS-2019-01-2870__pl_4 length=4678 circular=true	4678	KGVETS-2019-01-2870	CompleteAssembly
KGVETS-2019-01-2870__pl_5 length=4055 circular=true	4055	KGVETS-2019-01-2870	CompleteAssembly
KGVETS-2019-01-2870__pl_6 length=3967 circular=true	3967	KGVETS-2019-01-2870	CompleteAssembly
KGVETS-2019-01-2870__pl_7 length=2924 circular=true	2924	KGVETS-2019-01-2870	CompleteAssembly
2018-01-1584__chr length=5228166 circular=true	5228166	2018-01-1584	CompleteAssembly
2018-01-1584__pl_1 length=54170 circular=true	54170	2018-01-1584	CompleteAssembly
2018-01-1584__pl_2 length=51081 circular=true	51081	2018-01-1584	CompleteAssembly
2018-01-1584__pl_3 length=5463 circular=true	5463	2018-01-1584	CompleteAssembly
2018-01-1584__pl_4 length=2255 circular=true	2255	2018-01-1584	CompleteAssembly
KGVET-2020-01-236-2__chr length=5329169 circular=true	5329169	KGVET-2020-01-236-2	CompleteAssembly
KGVET-2020-01-236-2__pl_1 length=9294 circular=true	9294	KGVET-2020-01-236-2	CompleteAssembly
KGVET-2020-01-236-2__pl_2 length=5631 circular=true	5631	KGVET-2020-01-236-2	CompleteAssembly
KGVET-2020-01-236-2__pl_3 length=5463 circular=true	5463	KGVET-2020-01-236-2	CompleteAssembly
KGVET-2020-01-236-2__pl_4 length=1527 circular=true	1527	KGVET-2020-01-236-2	CompleteAssembly
KGMAR-2016-1397__chr length=5143580 circular=true	5143580	KGMAR-2016-1397	CompleteAssembly
KGMAR-2016-1397__pl_1 length=273289 circular=true	273289	KGMAR-2016-1397	CompleteAssembly
KGMAR-2016-1397__pl_2 length=104401 circular=true	104401	KGMAR-2016-1397	CompleteAssembly
KGMAR-2016-1397__pl_3 length=4464 circular=true	4464	KGMAR-2016-1397	CompleteAssembly
KGMAR-2016-1397__pl_4 length=3549 circular=true	3549	KGMAR-2016-1397	CompleteAssembly
KGMAR-2016-1397__pl_5 length=2671 circular=true	2671	KGMAR-2016-1397	CompleteAssembly
2018-01-2085__chr length=5299008 circular=true	5299008	2018-01-2085	CompleteAssembly
2018-01-2085__pl_1 length=106344 circular=true	106344	2018-01-2085	CompleteAssembly
2018-01-2085__pl_2 length=6810 circular=true	6810	2018-01-2085	CompleteAssembly
2018-01-2085__pl_3 length=5631 circular=true	5631	2018-01-2085	CompleteAssembly
2018-01-2085__pl_4 length=5463 circular=true	5463	2018-01-2085	CompleteAssembly
2018-01-4639__chr length=5207973 circular=true	5207981	2018-01-4639	CompleteAssembly
2018-01-4639__pl_1 length=261162 circular=true	261211	2018-01-4639	CompleteAssembly
2018-01-4639__pl_2 length=188279 circular=true	188280	2018-01-4639	CompleteAssembly
2018-01-4639__pl_3 length=96910 circular=true	96910	2018-01-4639	CompleteAssembly
KGMAR-2016-1396__chr length=5192658 circular=true	5192658	KGMAR-2016-1396	CompleteAssembly
KGMAR-2016-1396__pl_1 length=244519 circular=true	244519	KGMAR-2016-1396	CompleteAssembly
KGMAR-2016-1396__pl_2 length=36633 circular=true	36633	KGMAR-2016-1396	CompleteAssembly
KGMAR-2016-1396__pl_3 length=12117 circular=true	12117	KGMAR-2016-1396	CompleteAssembly
KGMAR-2016-1396__pl_4 length=4809 circular=true	4809	KGMAR-2016-1396	CompleteAssembly
KGMAR-2016-1396__pl_5 length=1917 circular=true	1917	KGMAR-2016-1396	CompleteAssembly
KGVET-2020-01-2318-1__chr length=5328021 circular=true	5328021	KGVET-2020-01-2318-1	CompleteAssembly
KGVET-2020-01-2318-1__pl_1 length=197410 circular=true	197410	KGVET-2020-01-2318-1	CompleteAssembly
KGVET-2020-01-2800-1__chr length=5277303 circular=true	5277303	KGVET-2020-01-2800-1	CompleteAssembly
2018-01-2782__chr length=5250366 circular=true	5250366	2018-01-2782	CompleteAssembly
KGVET-2019-01-792__chr length=5622595 circular=true	5622595	KGVET-2019-01-792	CompleteAssembly
KGVET-2019-01-792__pl_1 length=208800 circular=true	208800	KGVET-2019-01-792	CompleteAssembly
KGVET-2019-01-792__pl_2 length=100633 circular=true	100633	KGVET-2019-01-792	CompleteAssembly
KGVET-2019-01-792__pl_3 length=5840 circular=true	5840	KGVET-2019-01-792	CompleteAssembly
KGVET-2019-01-792__pl_4 length=4163 circular=true	4163	KGVET-2019-01-792	CompleteAssembly
KGMAR-2019-1497__chr length=5270579 circular=true	5270579	KGMAR-2019-1497	CompleteAssembly
KGMAR-2019-1497__pl_1 length=196095 circular=true	196095	KGMAR-2019-1497	CompleteAssembly
KGMAR-2019-1497__pl_2 length=110499 circular=true	110499	KGMAR-2019-1497	CompleteAssembly
KGMAR-2019-1497__pl_3 length=17017 circular=true	17017	KGMAR-2019-1497	CompleteAssembly
KGMAR-2019-1497__pl_4 length=6213 circular=true	6213	KGMAR-2019-1497	CompleteAssembly
KGMAR-2019-1497__pl_5 length=3788 circular=true	3788	KGMAR-2019-1497	CompleteAssembly
KGMAR-2019-1497__pl_6 length=1900 circular=true	1900	KGMAR-2019-1497	CompleteAssembly
KGMAR-2016-733__chr length=5426327 circular=true	5426328	KGMAR-2016-733	CompleteAssembly
KGMAR-2016-733__pl_1 length=233786 circular=true	233786	KGMAR-2016-733	CompleteAssembly
KGMAR-2016-733__pl_2 length=81510 circular=true	81511	KGMAR-2016-733	CompleteAssembly
KGMAR-2016-733__pl_3 length=70466 circular=true	70467	KGMAR-2016-733	CompleteAssembly
KGMAR-2016-733__pl_4 length=5925 circular=true	5925	KGMAR-2016-733	CompleteAssembly
KGMAR-2016-733__pl_5 length=5893 circular=true	5893	KGMAR-2016-733	CompleteAssembly
KGMAR-2016-733__pl_6 length=5840 circular=true	5840	KGMAR-2016-733	CompleteAssembly
2018-01-707__chr length=5315788 circular=true	5315792	2018-01-707	CompleteAssembly
2018-01-707__pl_1 length=208334 circular=true	208334	2018-01-707	CompleteAssembly
2018-01-707__pl_2 length=9294 circular=true	9294	2018-01-707	CompleteAssembly
2018-01-707__pl_3 length=5631 circular=true	5631	2018-01-707	CompleteAssembly
2018-01-707__pl_4 length=5463 circular=true	5463	2018-01-707	CompleteAssembly
2018-01-707__pl_5 length=1552 circular=true	1552	2018-01-707	CompleteAssembly
2018-01-707__pl_6 length=1506 circular=true	1506	2018-01-707	CompleteAssembly
2018-01-880__chr length=5265240 circular=true	5265240	2018-01-880	CompleteAssembly
2018-01-880__pl_1 length=5463 circular=true	5463	2018-01-880	CompleteAssembly
2018-01-1439__chr length=5280837 circular=true	5280837	2018-01-1439	CompleteAssembly
2018-01-1439__pl_1 length=154959 circular=true	154959	2018-01-1439	CompleteAssembly
2018-01-1439__pl_2 length=109457 circular=true	109457	2018-01-1439	CompleteAssembly
2018-01-1439__pl_3 length=9294 circular=true	9294	2018-01-1439	CompleteAssembly
2018-01-1439__pl_4 length=5631 circular=true	5631	2018-01-1439	CompleteAssembly
2018-01-1439__pl_5 length=2255 circular=true	2255	2018-01-1439	CompleteAssembly
KGVET-2020-01-2209-1__chr length=5308300 circular=true	5308300	KGVET-2020-01-2209-1	CompleteAssembly
KGVET-2020-01-2209-1__pl_1 length=177995 circular=true	177995	KGVET-2020-01-2209-1	CompleteAssembly
KGVET-2020-01-2209-1__pl_2 length=9294 circular=true	9294	KGVET-2020-01-2209-1	CompleteAssembly
KGVET-2020-01-2209-1__pl_3 length=5631 circular=true	5631	KGVET-2020-01-2209-1	CompleteAssembly
KGVET-2020-01-2209-1__pl_4 length=5463 circular=true	5463	KGVET-2020-01-2209-1	CompleteAssembly
KGVET-2020-01-2209-1__pl_5 length=3349 circular=true	3349	KGVET-2020-01-2209-1	CompleteAssembly
KGVET-2020-01-2209-1__pl_6 length=1306 circular=true	1306	KGVET-2020-01-2209-1	CompleteAssembly
KGMAR-2016-1198__chr length=5245077 circular=true accession=CP085097.1	5245077	KGMAR-2016-1198	CompleteAssembly
KGMAR-2016-1198__pl_1 length=265616 circular=true accession=CP085098.2	265616	KGMAR-2016-1198	CompleteAssembly
KGMAR-2019-2186__chr length=5306834 circular=true	5306834	KGMAR-2019-2186	CompleteAssembly
KGMAR-2020-440__chr length=5293138 circular=true	5293138	KGMAR-2020-440	CompleteAssembly
KGMAR-2020-440__pl_1 length=132386 circular=true	132386	KGMAR-2020-440	CompleteAssembly
KGMAR-2020-440__pl_2 length=4813 circular=true	4813	KGMAR-2020-440	CompleteAssembly
KGVET-2020-01-2959-1__chr length=5202254 circular=true	5202254	KGVET-2020-01-2959-1	CompleteAssembly
KGVET-2020-01-2959-1__pl_1 length=54204 circular=true	54204	KGVET-2020-01-2959-1	CompleteAssembly
KGVET-2020-01-2959-1__pl_2 length=5631 circular=true	5631	KGVET-2020-01-2959-1	CompleteAssembly
KGVET-2019-01-2264__chr length=5251937 circular=true	5251937	KGVET-2019-01-2264	CompleteAssembly
KGMAR-2019-604__chr length=5335640 circular=true	5335640	KGMAR-2019-604	CompleteAssembly
KGMAR-2019-604__pl_1 length=40428 circular=true	40428	KGMAR-2019-604	CompleteAssembly
KGVET-2020-01-2067-1__chr length=5364906 circular=true	5364693	KGVET-2020-01-2067-1	CompleteAssembly
KGVET-2020-01-2067-1__pl_1 length=3972 circular=true	3972	KGVET-2020-01-2067-1	CompleteAssembly
KGVET-2020-01-2328-1__chr length=5476043 circular=true	5476043	KGVET-2020-01-2328-1	CompleteAssembly
KGVETS-2019-01-901__chr length=5190271 circular=true	5190271	KGVETS-2019-01-901	CompleteAssembly
KGVETS-2019-01-901__pl_1 length=141237 circular=true	141237	KGVETS-2019-01-901	CompleteAssembly
KGVETS-2019-01-897__chr length=5252719 circular=true accession=JAMCCZ010000001.1	5252719	KGVETS-2019-01-897	CompleteAssembly
KGVETS-2019-01-897__pl_1 length=168907 circular=true accession=JAMCCZ010000002.1	168907	KGVETS-2019-01-897	CompleteAssembly
KGVETS-2019-01-897__pl_2 length=1877 circular=true accession=JAMCCZ010000003.1	1877	KGVETS-2019-01-897	CompleteAssembly
KGVETS-2019-01-604__chr length=5258435 circular=true	5258435	KGVETS-2019-01-604	CompleteAssembly
KGVETS-2019-01-604__pl_1 length=110478 circular=true	110478	KGVETS-2019-01-604	CompleteAssembly
KGVETS-2019-01-587__chr length=5241878 circular=true	5241878	KGVETS-2019-01-587	CompleteAssembly
KGVETS-2019-01-587__pl_1 length=191896 circular=true	191896	KGVETS-2019-01-587	CompleteAssembly
KGVETS-2019-01-587__pl_2 length=109699 circular=true	109699	KGVETS-2019-01-587	CompleteAssembly
KGVETS-2019-01-587__pl_3 length=1941 circular=true	1941	KGVETS-2019-01-587	CompleteAssembly
KGVETS-2019-01-5108__chr length=5190342 circular=true	5190342	KGVETS-2019-01-5108	CompleteAssembly
KGVETS-2019-01-5108__pl_1 length=191910 circular=true	191910	KGVETS-2019-01-5108	CompleteAssembly
KGVETS-2019-01-4937__chr length=5219391 circular=true accession=JAMCDA010000001.1	5219391	KGVETS-2019-01-4937	CompleteAssembly
KGVETS-2019-01-4937__pl_1 length=147121 circular=true accession=JAMCDA010000002.1	147121	KGVETS-2019-01-4937	CompleteAssembly
KGVETS-2019-01-4937__pl_2 length=109914 circular=true accession=JAMCDA010000003.1	109914	KGVETS-2019-01-4937	CompleteAssembly
KGVETS-2019-01-4908__chr length=5215663 circular=true	5215663	KGVETS-2019-01-4908	CompleteAssembly
KGVETS-2019-01-4908__pl_1 length=106199 circular=true	106199	KGVETS-2019-01-4908	CompleteAssembly
KGVETS-2019-01-4908__pl_2 length=5266 circular=true	5266	KGVETS-2019-01-4908	CompleteAssembly
KGVETS-2019-01-4908__pl_3 length=4315 circular=true	4315	KGVETS-2019-01-4908	CompleteAssembly
KGVETS-2019-01-4908__pl_4 length=1888 circular=true	1888	KGVETS-2019-01-4908	CompleteAssembly
KGVETS-2019-01-4848__chr length=5269972 circular=true	5269972	KGVETS-2019-01-4848	CompleteAssembly
KGVETS-2019-01-4848__pl_1 length=193286 circular=true	193286	KGVETS-2019-01-4848	CompleteAssembly
KGVETS-2019-01-4848__pl_2 length=109590 circular=true	109590	KGVETS-2019-01-4848	CompleteAssembly
KGVETS-2019-01-4848__pl_3 length=40392 circular=true	40392	KGVETS-2019-01-4848	CompleteAssembly
KGVETS-2019-01-4848__pl_4 length=5722 circular=true	5722	KGVETS-2019-01-4848	CompleteAssembly
KGVETS-2019-01-476__chr length=5377605 circular=true	5377605	KGVETS-2019-01-476	CompleteAssembly
KGVETS-2019-01-476__pl_1 length=34786 circular=true	34786	KGVETS-2019-01-476	CompleteAssembly
KGVETS-2019-01-476__pl_2 length=9294 circular=true	9294	KGVETS-2019-01-476	CompleteAssembly
KGVETS-2019-01-4637__chr length=5353997 circular=true accession=JAMCDB010000001.1	5353997	KGVETS-2019-01-4637	CompleteAssembly
KGVETS-2019-01-4637__pl_1 length=151171 circular=true accession=JAMCDB010000002.1	151171	KGVETS-2019-01-4637	CompleteAssembly
KGVETS-2019-01-4637__pl_2 length=10077 circular=true accession=JAMCDB010000003.1	10077	KGVETS-2019-01-4637	CompleteAssembly
KGVETS-2019-01-4548__chr length=5269972 circular=true	5269972	KGVETS-2019-01-4548	CompleteAssembly
KGVETS-2019-01-4548__pl_1 length=193286 circular=true	193286	KGVETS-2019-01-4548	CompleteAssembly
KGVETS-2019-01-4548__pl_2 length=109590 circular=true	109590	KGVETS-2019-01-4548	CompleteAssembly
KGVETS-2019-01-4548__pl_3 length=40392 circular=true	40392	KGVETS-2019-01-4548	CompleteAssembly
KGVETS-2019-01-4548__pl_4 length=5722 circular=true	5722	KGVETS-2019-01-4548	CompleteAssembly
KGVETS-2019-01-4639__chr length=5250843 circular=true	5250843	KGVETS-2019-01-4639	CompleteAssembly
KGVETS-2019-01-4639__pl_1 length=134615 circular=true	134615	KGVETS-2019-01-4639	CompleteAssembly
KGVETS-2019-01-4407__chr length=5261907 circular=true	5261907	KGVETS-2019-01-4407	CompleteAssembly
KGVETS-2019-01-4407__pl_1 length=155816 circular=true	155816	KGVETS-2019-01-4407	CompleteAssembly
KGVETS-2019-01-4407__pl_2 length=109461 circular=true	109461	KGVETS-2019-01-4407	CompleteAssembly
KGVETS-2019-01-4407__pl_3 length=54172 circular=true	54172	KGVETS-2019-01-4407	CompleteAssembly
KGVETS-2019-01-4380__chr length=5311047 circular=true accession=JAMCDC010000001.1	5311047	KGVETS-2019-01-4380	CompleteAssembly
KGVETS-2019-01-4380__pl_1 length=155817 circular=true accession=JAMCDC010000002.1	155817	KGVETS-2019-01-4380	CompleteAssembly
KGVETS-2019-01-4380__pl_2 length=9294 circular=true accession=JAMCDC010000003.1	9294	KGVETS-2019-01-4380	CompleteAssembly
KGVETS-2019-01-4118__chr length=5199032 circular=true	5199032	KGVETS-2019-01-4118	CompleteAssembly
KGVETS-2019-01-4118__pl_1 length=151087 circular=true	151087	KGVETS-2019-01-4118	CompleteAssembly
KGVETS-2019-01-3793__chr length=5318074 circular=true	5318074	KGVETS-2019-01-3793	CompleteAssembly
KGVETS-2019-01-3793__pl_1 length=155822 circular=true	155822	KGVETS-2019-01-3793	CompleteAssembly
KGVETS-2019-01-376__chr length=5348407 circular=true	5348407	KGVETS-2019-01-376	CompleteAssembly
KGVETS-2019-01-376__pl_1 length=191895 circular=true	191895	KGVETS-2019-01-376	CompleteAssembly
KGVETS-2019-01-326__chr length=5228899 circular=true accession=JAMCDD010000001.1	5228899	KGVETS-2019-01-326	CompleteAssembly
KGVETS-2019-01-326__pl_1 length=188202 circular=true accession=JAMCDD010000002.1	188202	KGVETS-2019-01-326	CompleteAssembly
KGVETS-2019-01-3162__chr length=5240090 circular=true accession=JAMCDF010000001.1	5240090	KGVETS-2019-01-3162	CompleteAssembly
KGVETS-2019-01-3162__pl_1 length=164800 circular=true accession=JAMCDF010000002.1	164800	KGVETS-2019-01-3162	CompleteAssembly
KGVETS-2019-01-3162__pl_2 length=107283 circular=true accession=JAMCDF010000003.1	107283	KGVETS-2019-01-3162	CompleteAssembly
KGVETS-2019-01-3162__pl_3 length=10077 circular=true accession=JAMCDF010000004.1	10077	KGVETS-2019-01-3162	CompleteAssembly
KGVETS-2019-01-3187__chr length=5304093 circular=true	5304093	KGVETS-2019-01-3187	CompleteAssembly
KGVETS-2019-01-3187__pl_1 length=134614 circular=true	134614	KGVETS-2019-01-3187	CompleteAssembly
KGVETS-2019-01-3185__chr length=5336402 circular=true accession=JAMCDE010000001.1	5336402	KGVETS-2019-01-3185	CompleteAssembly
KGVETS-2019-01-3185__pl_1 length=210134 circular=true accession=JAMCDE010000002.1	210134	KGVETS-2019-01-3185	CompleteAssembly
KGVETS-2019-01-3185__pl_2 length=108158 circular=true accession=JAMCDE010000003.1	108158	KGVETS-2019-01-3185	CompleteAssembly
KGVETS-2019-01-3185__pl_3 length=54735 circular=true accession=JAMCDE010000004.1	54735	KGVETS-2019-01-3185	CompleteAssembly
KGVETS-2019-01-3185__pl_4 length=9294 circular=true accession=JAMCDE010000005.1	9294	KGVETS-2019-01-3185	CompleteAssembly
KGVETS-2019-01-2303__chr length=5222258 circular=true	5222258	KGVETS-2019-01-2303	CompleteAssembly
KGVETS-2019-01-2303__pl_1 length=162526 circular=true	162526	KGVETS-2019-01-2303	CompleteAssembly
KGVETS-2019-01-3127__chr length=5201600 circular=true	5201600	KGVETS-2019-01-3127	CompleteAssembly
KGVETS-2019-01-3127__pl_1 length=135713 circular=true	135713	KGVETS-2019-01-3127	CompleteAssembly
