Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90	QuastReferenceSequence	ToolName	QuastType	SRAssemblerUsed
KGVET-2020-01-2496-3_SPAdescontigs	85	24	19	18	18	16	5460827	5440208	5429257	5422729	5422729	5361731	29	1282741	5443144	5287267	57.1	57.53	491829	691550	99763	208876	628918.9	647460.4	4	3	11	10	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0 + 1 part	194853	99.234	1.0	0.0	0.29	0.04	1282741.0	5248174.0	491829	491829	93203	95942	586382.2	603669.6	4	4	13	12	KGVET-2020-01-2496-3__chr	spades	Chromosome	spades
KGVET-2018-04-44577_SPAdescontigs	112	31	21	21	19	16	5156374	5126910	5101772	5101772	5060567	4972484	49	734227	5137638	5144053	57.59	57.63	371374	371374	174600	174600	387581.6	387098.3	6	6	13	13	1.0	1.0	174600.0	0.0	0.0	0.0	0.0	15 + 0 part	35812	99.157	1.0	0.0	0.04	0.04	734227.0	5101826.0	371374	371374	170321	170321	387214.9	386732.0	6	6	13	13	KGVET-2018-04-44577__chr	spades	Chromosome	spades
KGMAR-2016-319_SPAdescontigs	191	50	34	32	29	23	5469163	5416907	5376431	5358973	5302573	5099572	74	687982	5433100	5273997	57.36	57.5	237027	248027	86587	99645	325134.2	334942.6	7	6	21	19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7 + 5 part	200286	99.095	1.001	0.0	2.48	0.11	687982.0	5232615.0	233825	248027	86587	99645	321967.7	331680.6	7	6	21	19	KGMAR-2016-319__chr	spades	Chromosome	spades
KGMAR-2016-1198_SPAdescontigs	241	76	49	41	31	24	5480582	5416369	5353150	5293872	5118713	4909327	107	604152	5437761	5245077	57.22	57.4	275473	275473	51487	74615	288114.0	298698.2	7	7	24	21	0.0	0.0	0.0	1.0	0.0	0.0	2.0	21 + 21 part	242135	98.921	1.001	0.0	2.39	0.08	604152.0	5195154.0	275473	275473	51487	74615	287390.8	297948.5	7	7	24	21	KGMAR-2016-1198__chr	spades	Chromosome	spades
2018-01-2640_SPAdescontigs	124	36	32	28	24	20	5600078	5573194	5562504	5536303	5475333	5350024	45	1504222	5578228	5272379	57.17	57.53	351845	376502	96456	109585	593088.1	627492.9	5	4	17	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17 + 1 part	349515	99.162	1.0	0.0	0.27	0.1	1504222.0	5228713.0	351845	376502	86770	106362	589113.4	623287.7	5	4	17	14	2018-01-2640__chr	spades	Chromosome	spades
KGMAR-2016-1397_SPAdescontigs	296	118	79	70	48	29	5440894	5378486	5283522	5218339	4861622	4119890	146	615003	5398212	5143580	57.27	57.5	133400	139488	26321	38114	183524.2	192609.5	12	11	48	41	1.0	1.0	793.0	0.0	0.0	0.0	7.0	20 + 24 part	343981	98.075	1.002	0.0	3.4	0.16	615003.0	5054191.0	133400	139488	16500	35458	182306.3	191331.3	12	11	50	41	KGMAR-2016-1397__chr	spades	Chromosome	spades
2018-01-778_SPAdescontigs	553	22	17	17	17	15	5560524	5325236	5313930	5313930	5313930	5253099	43	1766004	5336479	5234161	57.45	57.55	962750	962750	95829	204895	883714.6	900989.6	2	2	10	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4 + 0 part	132782	99.27	1.0	0.0	0.65	0.04	1766004.0	5198324.0	962750	962750	95829	204895	882114.5	899358.2	2	2	10	9	2018-01-778__chr	spades	Chromosome	spades
2018-01-4735_SPAdescontigs	129	25	19	16	15	13	5300432	5267975	5251715	5230946	5219353	5158307	30	1780541	5270796	5286513	57.46	57.45	580102	580102	125064	125064	890448.6	887801.3	3	3	9	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7 + 0 part	25889	99.22	1.0	0.0	0.0	0.11	1780541.0	5244795.0	580102	580102	125064	125064	890416.8	887769.6	3	3	9	9	2018-01-4735__chr	spades	Chromosome	spades
KGVET-2020-01-2328-1_SPAdescontigs	144	21	16	16	15	13	5483423	5434746	5423990	5423990	5411275	5349735	53	982572	5456393	5476043	57.41	57.43	494649	494649	285573	285573	538379.9	536448.0	5	5	10	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29 + 0 part	20311	99.251	1.0	0.0	0.39	0.02	982572.0	5435812.0	494649	494649	285573	285573	538336.7	536404.9	5	5	10	10	KGVET-2020-01-2328-1__chr	spades	Chromosome	spades
KGMAR-2019-2186_SPAdescontigs	184	25	21	19	19	17	5315836	5257576	5248884	5233858	5233858	5172896	49	616472	5271674	5306834	57.41	57.39	453119	453119	117031	117031	403537.6	400864.0	5	5	13	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15 + 1 part	8694	99.144	1.0	0.0	0.67	0.06	616472.0	5262494.0	453119	453119	117031	117031	403536.6	400863.0	5	5	13	13	KGMAR-2019-2186__chr	spades	Chromosome	spades
KGVETS-2019-01-1761_SPAdescontigs	407	83	59	56	45	36	5600543	5510458	5462572	5445945	5280576	4972709	112	404475	5529869	5420965	57.16	57.34	138789	138789	45958	52699	176771.4	180322.6	12	12	37	35	1.0	1.0	26545.0	0.0	0.0	0.0	0.0	11 + 1 part	170670	98.777	1.001	0.0	0.71	0.13	404475.0	5359062.0	138789	138789	34707	45958	173703.5	177193.1	12	12	39	36	KGVETS-2019-01-1761__chr	spades	Chromosome	spades
KGMAR-2019-1792_SPAdescontigs	189	79	53	47	37	25	5535926	5496544	5448108	5401235	5239482	4811754	95	874686	5506983	5303093	57.31	57.51	235637	235637	39384	51327	320097.3	332404.2	7	7	29	25	0.0	0.0	0.0	0.0	0.0	0.0	1.0	24 + 9 part	253627	98.973	1.001	0.0	0.51	0.04	874686.0	5253128.0	235637	235637	36098	46857	318797.2	331054.1	7	7	29	25	KGMAR-2019-1792__chr	spades	Chromosome	spades
KGMAR-2016-733_SPAdescontigs	406	116	67	55	38	27	5774004	5675414	5551650	5470114	5193391	4785934	155	710413	5702258	5426328	56.98	57.24	173670	205216	30969	42159	245473.1	257955.5	9	8	36	30	2.0	1.0	37726.0	0.0	0.0	0.0	3.0	56 + 22 part	341401	98.655	1.001	0.0	1.23	0.04	710413.0	5360285.0	173670	205216	26359	42159	244645.8	257086.1	9	8	37	30	KGMAR-2016-733__chr	spades	Chromosome	spades
KGMAR-2019-1459_SPAdescontigs	294	106	75	62	52	34	5670924	5609108	5540134	5448400	5271701	4597689	132	339409	5626072	5325836	57.0	57.36	146362	147846	34547	43569	151310.6	159840.5	14	13	46	39	0.0	0.0	0.0	0.0	0.0	0.0	5.0	18 + 24 part	369819	98.513	1.002	0.0	2.26	0.11	339409.0	5256181.0	146362	147846	26307	41672	149287.0	157702.8	14	13	48	39	KGMAR-2019-1459__chr	spades	Chromosome	spades
2018-01-710_SPAdescontigs	706	24	19	15	15	13	5518582	5218011	5211428	5186912	5186912	5112221	45	925076	5229328	5210957	57.35	57.41	476356	476356	191158	191158	560933.8	562911.4	4	4	10	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6 + 0 part	47842	99.292	1.0	0.0	0.71	0.14	924981.0	5176048.0	476356	476356	191102	191102	560639.9	562616.4	4	4	10	10	2018-01-710__chr	spades	Chromosome	spades
2018-01-2860_SPAdescontigs	132	28	23	21	20	17	5278631	5236952	5221623	5210655	5187276	5098591	53	1180281	5252386	5223344	57.42	57.47	378350	378350	104390	104390	512930.2	515782.1	5	5	13	13	0.0	0.0	0.0	1.0	0.0	0.0	0.0	13 + 1 part	74882	99.095	1.0	0.0	0.71	0.04	1180281.0	5177320.0	378350	378350	104390	104390	512077.5	514924.7	5	5	13	13	2018-01-2860__chr	spades	Chromosome	spades
KGMAR-2016-1396_SPAdescontigs	233	85	59	51	41	30	5441311	5385851	5322657	5261079	5105163	4741984	110	453856	5401805	5192658	57.31	57.55	145921	179297	36843	53112	198326.0	206314.0	10	9	33	29	0.0	0.0	0.0	0.0	0.0	0.0	1.0	19 + 15 part	264753	98.742	1.002	0.0	3.02	0.06	453856.0	5136976.0	145921	179297	34640	53112	197249.0	205193.6	10	9	34	29	KGMAR-2016-1396__chr	spades	Chromosome	spades
KGVET-2020-01-3514_SPAdescontigs	106	22	18	17	16	12	5326843	5298965	5284907	5277455	5256524	5132510	35	1546585	5307149	5351057	57.31	57.29	735310	735310	117045	117045	817200.1	810494.6	3	3	9	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0 + 0 part	0	99.157	1.0	0.0	0.19	0.02	1546585.0	5306824.0	735310	735310	117045	117045	817200.1	810494.6	3	3	9	9	KGVET-2020-01-3514__chr	spades	Chromosome	spades
2018-01-2353_SPAdescontigs	2949	35	27	27	22	18	6743123	5409757	5390341	5390341	5290278	5162009	157	664202	5473171	5254528	57.07	57.63	365617	365617	99451	117290	357341.8	372210.9	6	6	16	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17 + 0 part	213894	99.031	1.003	0.0	1.97	0.04	664036.0	5218276.0	365617	365617	99451	117290	355021.5	369794.0	6	6	16	14	2018-01-2353__chr	spades	Chromosome	spades
KGVET-2020-01-3721-3_SPAdescontigs	133	32	24	22	20	17	5452338	5421728	5403064	5387019	5352124	5244683	37	806482	5425268	5269207	57.39	57.5	402752	402752	100466	155087	421818.8	434312.0	5	5	13	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4 + 1 part	200117	99.145	1.0	0.0	0.34	0.02	806482.0	5225151.0	402752	402752	99447	155087	419254.7	431672.0	5	5	13	12	KGVET-2020-01-3721-3__chr	spades	Chromosome	spades
KGVETS-2019-01-2870_SPAdescontigs	191	55	39	28	21	14	5673467	5631959	5578541	5496304	5360859	5122102	71	850680	5642699	5172574	56.78	57.62	416346	479501	57440	207580	479408.7	522981.3	5	4	14	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50 + 0 part	508180	99.257	1.0	0.0	0.0	0.02	850680.0	5134519.0	416346	479501	35068	207580	477020.5	520375.9	5	4	14	10	KGVETS-2019-01-2870__chr	spades	Chromosome	spades
KGVETS-2019-01-3127_SPAdescontigs	352	99	80	76	59	37	5520656	5458983	5415684	5392756	5104931	4355039	111	345144	5466343	5201600	57.25	57.61	117096	118537	30488	35989	139049.2	146126.3	15	14	53	45	1.0	1.0	226445.0	0.0	0.0	0.0	0.0	16 + 2 part	298606	99.196	1.002	0.0	0.12	0.04	345144.0	5167737.0	116000	117096	24805	32823	132586.9	139335.1	16	15	56	47	KGVETS-2019-01-3127__chr	spades	Chromosome	spades
KGMAR-2016-1200_SPAdescontigs	137	43	30	28	24	22	5477129	5445796	5415165	5401679	5330305	5269126	54	976341	5452484	5312007	57.43	57.55	328100	328100	95844	99493	416343.3	427353.5	5	5	17	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11 + 5 part	185741	99.111	1.0	0.0	0.3	0.02	976341.0	5266743.0	328100	328100	95844	99493	414769.3	425737.9	5	5	17	16	KGMAR-2016-1200__chr	spades	Chromosome	spades
KGMAR-2019-1417-2_SPAdescontigs	104	38	32	30	24	19	5285382	5264557	5247661	5236632	5125969	4971893	47	553530	5270049	5143265	57.42	57.56	335488	354171	94326	95973	327364.0	335433.7	7	6	17	15	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1 + 5 part	170910	99.092	1.0	0.0	0.04	0.0	553530.0	5098704.0	335488	354171	86811	95973	325248.5	333266.1	7	6	17	15	KGMAR-2019-1417-2__chr	spades	Chromosome	spades
KGVET-2019-01-3619_SPAdescontigs	336	82	47	41	30	22	5597747	5497070	5415947	5371641	5203125	4951056	134	745606	5531552	5206778	57.17	57.47	304777	347960	38516	86606	322729.8	342860.2	7	6	23	18	1.0	1.0	591.0	0.0	0.0	0.0	4.0	57 + 16 part	362685	99.091	1.002	0.0	2.86	0.06	745606.0	5168264.0	304777	347960	31694	86606	321312.2	341354.2	7	6	24	18	KGVET-2019-01-3619__chr	spades	Chromosome	spades
KGVET-2020-01-2158-1_SPAdescontigs	263	49	37	33	29	23	5539903	5449368	5422695	5396798	5338053	5118088	77	465061	5465638	5308542	57.08	57.34	283384	283384	84059	86800	270567.8	278574.7	8	8	20	19	0.0	0.0	0.0	0.0	0.0	0.0	1.0	23 + 6 part	199524	99.084	1.001	0.0	2.32	0.08	465061.0	5265917.0	283384	283384	84059	86800	269398.3	277370.6	8	8	20	19	KGVET-2020-01-2158-1__chr	spades	Chromosome	spades
2018-01-3218_SPAdescontigs	136	41	20	19	19	15	5318219	5276075	5238366	5232768	5232768	5094015	74	1412090	5298762	5282242	57.41	57.43	474282	474282	100171	100171	636842.6	638834.3	4	4	12	12	0.0	0.0	0.0	2.0	0.0	0.0	2.0	14 + 3 part	36552	99.271	1.003	0.0	10.74	0.7	1412090.0	5261859.0	474282	474282	100171	100171	636710.0	638701.3	4	4	12	12	2018-01-3218__chr	spades	Chromosome	spades
KGVETS-2019-01-4118_SPAdescontigs	91	28	21	21	20	17	5324148	5302692	5283403	5283403	5265405	5172888	35	1181187	5307026	5199032	57.55	57.73	709583	709583	95658	99547	605692.4	618273.8	3	3	12	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5 + 0 part	148286	99.216	1.0	0.0	0.14	0.0	1181187.0	5158740.0	709583	709583	95658	99547	604168.4	616718.1	3	3	12	11	KGVETS-2019-01-4118__chr	spades	Chromosome	spades
KGMAR-2016-1076_SPAdescontigs	247	94	39	28	20	17	5550448	5491522	5365601	5288582	5164569	5072549	126	750733	5513550	5243831	57.24	57.52	357769	369679	78027	138269	396868.1	417281.2	6	5	16	13	1.0	1.0	676258.0	0.0	0.0	0.0	2.0	77 + 13 part	302044	99.222	1.001	0.0	2.5	0.0	747947.0	5207892.0	357769	369679	78027	93401	387743.1	407686.9	6	5	16	14	KGMAR-2016-1076__chr	spades	Chromosome	spades
KGMAR-2019-1766_SPAdescontigs	667	162	108	88	59	39	5516627	5383292	5247486	5105164	4626917	3912376	195	342611	5405883	5079953	57.44	57.72	85288	86811	19863	28845	99722.3	106120.5	21	20	70	57	1.0	1.0	70480.0	0.0	0.0	0.0	4.0	39 + 29 part	364818	98.848	1.004	0.0	4.11	0.04	342611.0	5040114.0	85288	86811	10638	24162	98347.6	104657.6	21	20	76	59	KGMAR-2019-1766__chr	spades	Chromosome	spades
KGVET-2020-01-2800-1_SPAdescontigs	131	39	31	30	29	23	5250252	5223592	5200682	5191603	5170721	4952642	45	730641	5227884	5277303	57.57	57.55	227321	227321	101459	97201	327955.7	324884.6	6	6	20	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0 + 0 part	0	99.049	1.0	0.0	0.13	0.06	730641.0	5227884.0	227321	227321	101459	97201	327955.7	324884.6	6	6	20	21	KGVET-2020-01-2800-1__chr	spades	Chromosome	spades
NK_H21_005_SPAdescontigs	371	123	85	70	55	38	5446496	5360312	5269023	5157501	4872315	4314736	167	275249	5388950	5272962	57.36	57.53	103634	103827	25267	29009	118841.6	121455.7	17	16	55	51	2.0	2.0	1324.0	0.0	0.0	0.0	4.0	16 + 23 part	212381	97.961	1.002	0.0	7.65	0.44	275249.0	5175562.0	103491	103827	24957	28554	118267.7	120869.2	17	16	55	51	NK_H21_005__chr	spades	Chromosome	spades
KGVET-2020-01-2959-1_SPAdescontigs	88	22	20	18	17	13	5244890	5220838	5215043	5203654	5182784	5044728	34	977236	5228813	5202254	57.48	57.51	644284	644284	129235	129235	595493.7	598533.8	4	4	9	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6 + 0 part	63258	99.275	1.0	0.0	0.14	0.1	977236.0	5165448.0	644284	644284	129235	129235	594924.7	597961.9	4	4	9	9	KGVET-2020-01-2959-1__chr	spades	Chromosome	spades
KGVET-2020-01-2067-1_SPAdescontigs	1569	114	25	22	21	19	6244246	5441347	5308214	5290794	5274904	5213751	958	782051	5974745	5364693	56.69	57.39	411054	449527	1271	104151	385242.2	429050.5	6	5	57	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	915 + 5 part	650052	99.186	1.0	0.0	1.0	0.09	782049.0	5322691.0	410984	449527	-	104151	385126.8	428921.9	6	5	-	15	KGVET-2020-01-2067-1__chr	spades	Chromosome	spades
KGVET-2020-01-2846-1_SPAdescontigs	144	31	29	28	24	22	5385614	5348499	5342310	5336838	5252149	5191130	41	768478	5355072	5402258	57.35	57.31	303319	303319	99459	99409	333944.7	331027.8	7	7	18	19	1.0	1.0	228533.0	0.0	0.0	0.0	0.0	1 + 0 part	517	99.103	1.0	0.0	0.02	0.0	768478.0	5354555.0	303319	303319	99459	99409	333537.3	330624.0	7	7	18	19	KGVET-2020-01-2846-1__chr	spades	Chromosome	spades
KGVET-2020-01-2318-1_SPAdescontigs	177	32	26	25	24	21	5527583	5471350	5462171	5452825	5432768	5317840	62	853750	5492405	5328021	57.01	57.46	272066	272066	99484	130417	386893.7	398830.4	6	6	17	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29 + 0 part	215887	98.984	1.0	0.0	0.02	0.06	853750.0	5273868.0	271924	271924	75214	99484	379649.7	391363.0	6	6	18	16	KGVET-2020-01-2318-1__chr	spades	Chromosome	spades
2018-01-1584_SPAdescontigs	160	38	30	25	25	21	5350770	5304578	5282794	5255025	5255025	5108188	65	619282	5320747	5228166	57.37	57.57	350377	350377	86620	99675	351191.6	357410.6	6	6	17	16	1.0	1.0	580148.0	1.0	0.0	0.0	0.0	23 + 5 part	135360	99.138	1.0	0.0	0.35	0.14	619282.0	5184786.0	350377	350377	86620	99675	329957.0	335799.9	6	6	18	17	2018-01-1584__chr	spades	Chromosome	spades
KGVET-2019-01-3472-4_SPAdescontigs	154	22	19	16	16	13	5287987	5235939	5229005	5211381	5211381	5117087	50	1693118	5253272	5179523	57.38	57.55	475159	475159	221130	221130	796265.8	807603.5	3	3	9	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24 + 0 part	111439	99.237	1.0	0.0	1.05	0.19	1693045.0	5141669.0	475159	475159	221130	221130	795432.3	806758.1	3	3	9	9	KGVET-2019-01-3472-4__chr	spades	Chromosome	spades
KGVET-2020-01-2677-1_SPAdescontigs	115	36	27	23	23	19	5396380	5370080	5351934	5328309	5328309	5199150	50	920031	5378696	5287320	57.26	57.48	326012	326012	99493	119861	403637.0	410612.7	6	6	15	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12 + 0 part	132332	99.188	1.0	0.0	0.0	0.04	920031.0	5245527.0	326012	326012	99493	119684	402377.9	409331.8	6	6	15	14	KGVET-2020-01-2677-1__chr	spades	Chromosome	spades
KGVETS-2019-01-4639_SPAdescontigs	239	32	26	24	22	18	5479489	5394469	5382094	5368404	5337065	5204595	53	819856	5407170	5250843	57.46	57.65	437333	484919	99529	101504	477634.0	491854.0	5	4	13	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15 + 2 part	192332	99.28	1.0	0.0	0.86	0.08	819856.0	5214224.0	437333	484919	99529	101504	475846.1	490012.9	5	4	13	12	KGVETS-2019-01-4639__chr	spades	Chromosome	spades
2018-01-880_SPAdescontigs	94	27	24	22	21	16	5301056	5279923	5271761	5261143	5237365	5067277	35	913510	5285006	5265240	57.48	57.51	376788	376788	143046	143046	495661.1	497521.8	4	4	13	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3 + 0 part	60402	99.217	1.0	0.0	0.02	0.02	913510.0	5224604.0	376788	376788	143046	143046	495097.3	496955.9	4	4	13	13	2018-01-880__chr	spades	Chromosome	spades
KGVETS-2019-01-4848_SPAdescontigs	125	38	31	27	20	16	5592313	5565105	5549776	5518408	5378472	5245535	47	1165647	5571072	5269972	56.97	57.49	453400	453400	99489	121269	566416.1	598778.3	4	4	14	12	1.0	1.0	453400.0	0.0	0.0	0.0	0.0	18 + 1 part	341804	99.209	1.0	0.0	0.02	0.02	1165647.0	5229268.0	433090	433090	95813	121269	539479.6	570302.8	4	4	16	13	KGVETS-2019-01-4848__chr	spades	Chromosome	spades
KGVETS-2019-01-4937_SPAdescontigs	107	38	30	28	25	19	5447148	5425575	5408272	5395664	5333347	5108182	45	742707	5430225	5219391	57.23	57.55	313242	313242	95830	133536	366995.5	381820.1	6	6	17	15	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5 + 4 part	249975	99.169	1.001	0.0	2.63	0.02	742707.0	5180250.0	313242	313242	94421	99693	362958.6	377620.1	6	6	17	15	KGVETS-2019-01-4937__chr	spades	Chromosome	spades
KGVET-2020-01-236-2_SPAdescontigs	252	26	22	19	17	15	5395734	5307388	5299046	5278277	5245540	5184166	45	1120514	5317673	5329169	57.41	57.4	579974	579974	113217	113217	596463.4	595176.7	4	4	11	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16 + 0 part	28725	99.154	1.0	0.0	1.06	0.11	1120514.0	5285699.0	579974	579974	113217	113217	595727.0	594441.9	4	4	11	11	KGVET-2020-01-236-2__chr	spades	Chromosome	spades
2018-01-2782_SPAdescontigs	101	36	29	29	26	21	5230157	5203831	5191719	5191719	5137314	4963012	56	1082057	5216282	5250366	57.46	57.43	362838	362838	86742	86742	429062.9	426277.5	5	5	18	18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11 + 0 part	6757	99.175	1.0	0.0	0.15	0.08	1082057.0	5208778.0	362838	362838	86742	86742	428997.3	426212.3	5	5	18	18	2018-01-2782__chr	spades	Chromosome	spades
