PlasmidTool	Prediction	SampleID	QueryID	QueryLength	SubjectID	SubjectLength	AlignmentLength	Identity	QCovHSP	SRAssemblerUsed
SRonlyContigs	truth	2018-01-2782	42_length=395_depth=2.08x	395	2018-01-2782__chr	5250366	395	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	43_length=346_depth=1.07x	346	2018-01-2782__chr	5250366	346	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	44_length=346_depth=1.23x	346	2018-01-2782__chr	5250366	346	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	45_length=307_depth=1.56x	307	2018-01-2782__chr	5250366	307	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	46_length=297_depth=1.58x	297	2018-01-2782__chr	5250366	297	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	47_length=296_depth=1.19x	296	2018-01-2782__chr	5250366	296	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	48_length=295_depth=3.25x	295	2018-01-2782__chr	5250366	295	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	49_length=293_depth=1.86x	293	2018-01-2782__chr	5250366	293	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	50_length=283_depth=0.64x	283	2018-01-2782__chr	5250366	283	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	51_length=283_depth=1.54x	283	2018-01-2782__chr	5250366	283	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	52_length=245_depth=2.04x	245	2018-01-2782__chr	5250366	245	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	53_length=237_depth=1.14x	237	2018-01-2782__chr	5250366	237	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	54_length=237_depth=0.87x	237	2018-01-2782__chr	5250366	237	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	55_length=229_depth=0.94x	229	2018-01-2782__chr	5250366	229	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	56_length=228_depth=1.17x	228	2018-01-2782__chr	5250366	228	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	57_length=226_depth=1.23x	226	2018-01-2782__chr	5250366	226	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	58_length=226_depth=1.02x	226	2018-01-2782__chr	5250366	226	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	59_length=226_depth=1.40x	226	2018-01-2782__chr	5250366	226	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	60_length=221_depth=1.17x	221	2018-01-2782__chr	5250366	221	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	61_length=215_depth=2.58x	215	2018-01-2782__chr	5250366	215	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	62_length=212_depth=8.12x	212	2018-01-2782__chr	5250366	212	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	63_length=211_depth=3.91x	211	2018-01-2782__chr	5250366	211	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	64_length=200_depth=1.66x	200	2018-01-2782__chr	5250366	200	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	65_length=185_depth=1.90x	185	2018-01-2782__chr	5250366	185	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	66_length=183_depth=0.74x	183	2018-01-2782__chr	5250366	183	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	67_length=175_depth=4.55x	175	2018-01-2782__chr	5250366	175	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	68_length=167_depth=1.94x	167	2018-01-2782__chr	5250366	167	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	69_length=164_depth=2.03x	164	2018-01-2782__chr	5250366	164	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	70_length=161_depth=1.83x	161	2018-01-2782__chr	5250366	161	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	71_length=161_depth=3.10x	161	2018-01-2782__chr	5250366	161	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	72_length=158_depth=2.59x	158	2018-01-2782__chr	5250366	158	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	73_length=158_depth=1.78x	158	2018-01-2782__chr	5250366	158	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	74_length=156_depth=2.35x	156	2018-01-2782__chr	5250366	156	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	75_length=154_depth=6.58x	154	2018-01-2782__chr	5250366	154	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	76_length=153_depth=1.51x	153	2018-01-2782__chr	5250366	153	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	77_length=152_depth=1.47x	152	2018-01-2782__chr	5250366	152	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	78_length=151_depth=2.45x	151	2018-01-2782__chr	5250366	151	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	79_length=149_depth=2.63x	149	2018-01-2782__chr	5250366	149	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	80_length=147_depth=2.01x	147	2018-01-2782__chr	5250366	147	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	81_length=144_depth=0.77x	144	2018-01-2782__chr	5250366	144	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	82_length=144_depth=0.88x	144	2018-01-2782__chr	5250366	144	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	83_length=143_depth=1.61x	143	2018-01-2782__chr	5250366	143	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	84_length=140_depth=1.50x	140	2018-01-2782__chr	5250366	140	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	85_length=134_depth=2.32x	134	2018-01-2782__chr	5250366	134	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	86_length=130_depth=1.84x	130	2018-01-2782__chr	5250366	130	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	87_length=130_depth=1.44x	130	2018-01-2782__chr	5250366	130	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	88_length=130_depth=7.27x	130	2018-01-2782__chr	5250366	130	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	89_length=129_depth=0.77x	129	2018-01-2782__chr	5250366	129	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	90_length=127_depth=2.38x	127	2018-01-2782__chr	5250366	127	100.0	100	unicycler
SRonlyContigs	truth	2018-01-2782	91_length=109_depth=4.41x	109	2018-01-2782__chr	5250366	109	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	1_length=970382_depth=1.00x	970382	KGVET-2019-01-792__chr	5622595	970382	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	2_length=519217_depth=1.26x	519217	KGVET-2019-01-792__chr	5622595	519217	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	3_length=419430_depth=0.87x	419430	KGVET-2019-01-792__chr	5622595	419430	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	4_length=374261_depth=1.07x	374261	KGVET-2019-01-792__chr	5622595	374261	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	5_length=360803_depth=1.36x	360803	KGVET-2019-01-792__chr	5622595	360803	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	6_length=331885_depth=0.87x	331885	KGVET-2019-01-792__chr	5622595	331885	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	7_length=326200_depth=0.99x	326200	KGVET-2019-01-792__chr	5622595	252151	99.981	77	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	7_length=326200_depth=0.99x	326200	KGVET-2019-01-792__chr	5622595	74722	99.967	23	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	8_length=298003_depth=0.92x	298003	KGVET-2019-01-792__chr	5622595	298003	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	9_length=219995_depth=1.23x	219995	KGVET-2019-01-792__chr	5622595	219995	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	10_length=192159_depth=1.40x	192159	KGVET-2019-01-792__chr	5622595	192159	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	11_length=191492_depth=1.14x	191492	KGVET-2019-01-792__chr	5622595	191492	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	12_length=187832_depth=1.18x	187832	KGVET-2019-01-792__chr	5622595	187832	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	13_length=176952_depth=1.30x	176952	KGVET-2019-01-792__chr	5622595	176952	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	14_length=167874_depth=1.42x	167874	KGVET-2019-01-792__chr	5622595	117770	100.0	70	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	14_length=167874_depth=1.42x	167874	KGVET-2019-01-792__chr	5622595	50104	100.0	30	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	15_length=130442_depth=1.19x	130442	KGVET-2019-01-792__chr	5622595	130442	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	16_length=108661_depth=1.36x	108661	KGVET-2019-01-792__chr	5622595	108661	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	17_length=98318_depth=1.43x	98318	KGVET-2019-01-792__chr	5622595	98318	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	18_length=86301_depth=1.39x	86301	KGVET-2019-01-792__chr	5622595	86301	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	19_length=64833_depth=1.10x	64833	KGVET-2019-01-792__chr	5622595	64833	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	20_length=63825_depth=1.86x	63825	KGVET-2019-01-792__pl_2	100633	63825	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	21_length=56766_depth=1.32x	56766	KGVET-2019-01-792__chr	5622595	56766	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	22_length=53645_depth=0.79x	53645	KGVET-2019-01-792__chr	5622595	53645	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	23_length=43848_depth=0.90x	43848	KGVET-2019-01-792__chr	5622595	43848	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	24_length=37330_depth=1.12x	37330	KGVET-2019-01-792__chr	5622595	37330	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	25_length=36396_depth=1.31x	36396	KGVET-2019-01-792__pl_1	208800	36395	100.0	99	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	26_length=34302_depth=1.33x	34302	KGVET-2019-01-792__chr	5622595	34302	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	27_length=26590_depth=1.32x	26590	KGVET-2019-01-792__pl_1	208800	24108	99.938	91	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	27_length=26590_depth=1.32x	26590	KGVET-2019-01-792__pl_1	208800	3720	95.833	14	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	28_length=26112_depth=1.29x	26112	KGVET-2019-01-792__pl_1	208800	26112	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	29_length=26064_depth=1.23x	26064	KGVET-2019-01-792__chr	5622595	26064	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	30_length=18559_depth=1.18x	18559	KGVET-2019-01-792__chr	5622595	18559	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	31_length=17944_depth=1.22x	17944	KGVET-2019-01-792__chr	5622595	17944	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	32_length=12122_depth=1.39x	12122	KGVET-2019-01-792__chr	5622595	12122	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	33_length=11924_depth=1.75x	11924	KGVET-2019-01-792__pl_2	100633	1074	100.0	9	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	33_length=11924_depth=1.75x	11924	KGVET-2019-01-792__pl_2	100633	10850	100.0	91	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	34_length=11356_depth=1.53x	11356	KGVET-2019-01-792__pl_1	208800	11356	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	35_length=10003_depth=6.21x_circular=true	10003	KGVET-2019-01-792__pl_3	5840	2991	98.73	30	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	35_length=10003_depth=6.21x_circular=true	10003	KGVET-2019-01-792__pl_3	5840	3119	100.0	31	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	35_length=10003_depth=6.21x_circular=true	10003	KGVET-2019-01-792__pl_4	4163	2413	100.0	24	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	35_length=10003_depth=6.21x_circular=true	10003	KGVET-2019-01-792__pl_4	4163	2442	97.993	24	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	36_length=9576_depth=1.40x	9576	KGVET-2019-01-792__pl_1	208800	9576	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	37_length=9482_depth=1.34x	9482	KGVET-2019-01-792__pl_1	208800	9486	98.619	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	38_length=9249_depth=1.29x	9249	KGVET-2019-01-792__pl_1	208800	9249	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	39_length=9041_depth=1.53x	9041	KGVET-2019-01-792__pl_1	208800	9041	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	40_length=7530_depth=1.31x	7530	KGVET-2019-01-792__pl_1	208800	7530	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	41_length=7286_depth=1.40x	7286	KGVET-2019-01-792__pl_1	208800	7286	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	42_length=6590_depth=1.28x	6590	KGVET-2019-01-792__pl_1	208800	6590	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	43_length=6177_depth=1.92x	6177	KGVET-2019-01-792__pl_2	100633	6177	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	44_length=5410_depth=1.26x	5410	KGVET-2019-01-792__chr	5622595	5410	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	45_length=4737_depth=1.94x	4737	KGVET-2019-01-792__pl_2	100633	4737	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	46_length=4310_depth=1.79x	4310	KGVET-2019-01-792__pl_2	100633	4310	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	47_length=4178_depth=1.46x	4178	KGVET-2019-01-792__chr	5622595	4178	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	48_length=3522_depth=1.27x	3522	KGVET-2019-01-792__pl_1	208800	3522	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	49_length=2713_depth=1.20x	2713	KGVET-2019-01-792__chr	5622595	2713	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	50_length=2526_depth=2.69x	2526	KGVET-2019-01-792__chr	5622595	2526	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	51_length=2278_depth=4.14x	2278	KGVET-2019-01-792__chr	5622595	2278	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	52_length=2072_depth=9.81x	2072	KGVET-2019-01-792__chr	5622595	2072	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	53_length=2045_depth=0.84x	2045	KGVET-2019-01-792__chr	5622595	2045	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	54_length=2018_depth=2.45x	2018	KGVET-2019-01-792__chr	5622595	2018	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	55_length=2009_depth=1.16x	2009	KGVET-2019-01-792__pl_1	208800	2009	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	56_length=1863_depth=1.39x	1863	KGVET-2019-01-792__pl_1	208800	1863	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	57_length=1759_depth=1.29x	1759	KGVET-2019-01-792__chr	5622595	1759	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	58_length=1744_depth=1.30x	1744	KGVET-2019-01-792__pl_1	208800	1744	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	59_length=1686_depth=1.47x	1686	KGVET-2019-01-792__pl_1	208800	1686	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	60_length=1578_depth=2.13x	1578	KGVET-2019-01-792__pl_2	100633	1578	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	61_length=1458_depth=1.31x	1458	KGVET-2019-01-792__pl_1	208800	1458	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	62_length=1341_depth=3.83x	1341	KGVET-2019-01-792__pl_1	208800	1341	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	63_length=1334_depth=7.50x	1334	KGVET-2019-01-792__chr	5622595	1334	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	64_length=1256_depth=3.88x	1256	KGVET-2019-01-792__pl_1	208800	1256	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	65_length=1200_depth=2.58x	1200	KGVET-2019-01-792__chr	5622595	1200	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	66_length=1190_depth=1.42x	1190	KGVET-2019-01-792__pl_1	208800	1190	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	67_length=973_depth=1.28x	973	KGVET-2019-01-792__chr	5622595	973	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	68_length=973_depth=1.09x	973	KGVET-2019-01-792__chr	5622595	973	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	69_length=934_depth=3.87x	934	KGVET-2019-01-792__pl_1	208800	934	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	70_length=866_depth=2.17x	866	KGVET-2019-01-792__pl_1	208800	866	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	71_length=782_depth=2.49x	782	KGVET-2019-01-792__pl_1	208800	782	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	72_length=670_depth=1.58x	670	KGVET-2019-01-792__pl_1	208800	670	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	73_length=670_depth=1.16x	670	KGVET-2019-01-792__pl_1	208800	670	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	74_length=637_depth=1.37x	637	KGVET-2019-01-792__pl_1	208800	637	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	75_length=585_depth=1.13x	585	KGVET-2019-01-792__chr	5622595	585	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	76_length=547_depth=10.98x	547	KGVET-2019-01-792__chr	5622595	547	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	77_length=540_depth=9.30x	540	KGVET-2019-01-792__chr	5622595	540	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	78_length=533_depth=9.30x	533	KGVET-2019-01-792__chr	5622595	533	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	79_length=496_depth=1.09x	496	KGVET-2019-01-792__chr	5622595	496	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	80_length=496_depth=0.82x	496	KGVET-2019-01-792__chr	5622595	496	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	81_length=431_depth=2.61x	431	KGVET-2019-01-792__chr	5622595	431	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	82_length=421_depth=1.53x	421	KGVET-2019-01-792__pl_1	208800	421	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	83_length=421_depth=1.50x	421	KGVET-2019-01-792__pl_1	208800	421	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	84_length=417_depth=1.11x	417	KGVET-2019-01-792__chr	5622595	417	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	85_length=417_depth=1.23x	417	KGVET-2019-01-792__chr	5622595	417	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	86_length=416_depth=2.03x	416	KGVET-2019-01-792__chr	5622595	416	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	87_length=390_depth=2.13x	390	KGVET-2019-01-792__pl_1	208800	390	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	88_length=385_depth=1.15x	385	KGVET-2019-01-792__pl_1	208800	385	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	89_length=384_depth=1.08x	384	KGVET-2019-01-792__pl_1	208800	384	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	90_length=372_depth=4.57x	372	KGVET-2019-01-792__pl_1	208800	372	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	91_length=372_depth=1.13x	372	KGVET-2019-01-792__chr	5622595	372	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	92_length=357_depth=1.17x	357	KGVET-2019-01-792__chr	5622595	357	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	93_length=353_depth=2.72x	353	KGVET-2019-01-792__chr	5622595	353	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	94_length=346_depth=3.25x	346	KGVET-2019-01-792__pl_1	208800	346	100.0	100	unicycler
SRonlyContigs	truth	KGVET-2019-01-792	95_length=344_depth=0.88x	344	KGVET-2019-01-792__chr	5622595	344	100.0	100	unicycler
