Prediction	SampleID	QueryID	QueryLength	SubjectID	SubjectLength	AlignmentLength	Identity	QCovHSP	geNomadPrediction	MOBPrediction	PLASMePrediction	PlasmerPrediction	PlasmidHunterPrediction	PlatonPrediction	SRAssemblerUsed
truth	KGVET-2019-01-792	38_length=9249_depth=1.29x	9249	KGVET-2019-01-792__pl_1	208800	9249	100.0	100	plasmid	plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	39_length=9041_depth=1.53x	9041	KGVET-2019-01-792__pl_1	208800	9041	100.0	100	plasmid	plasmid	plasmid	plasmid	plasmid	chromosome	unicycler
truth	KGVET-2019-01-792	40_length=7530_depth=1.31x	7530	KGVET-2019-01-792__pl_1	208800	7530	100.0	100	plasmid	chromosome	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	41_length=7286_depth=1.40x	7286	KGVET-2019-01-792__pl_1	208800	7286	100.0	100	plasmid	plasmid	plasmid	plasmid	plasmid	chromosome	unicycler
truth	KGVET-2019-01-792	42_length=6590_depth=1.28x	6590	KGVET-2019-01-792__pl_1	208800	6590	100.0	100	plasmid	plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	43_length=6177_depth=1.92x	6177	KGVET-2019-01-792__pl_2	100633	6177	100.0	100	plasmid	plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	44_length=5410_depth=1.26x	5410	KGVET-2019-01-792__chr	5622595	5410	100.0	100		chromosome		plasmid	plasmid	chromosome	unicycler
truth	KGVET-2019-01-792	45_length=4737_depth=1.94x	4737	KGVET-2019-01-792__pl_2	100633	4737	100.0	100	plasmid	chromosome	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	46_length=4310_depth=1.79x	4310	KGVET-2019-01-792__pl_2	100633	4310	100.0	100	plasmid	plasmid	plasmid	chromosome	plasmid	chromosome	unicycler
truth	KGVET-2019-01-792	47_length=4178_depth=1.46x	4178	KGVET-2019-01-792__chr	5622595	4178	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	48_length=3522_depth=1.27x	3522	KGVET-2019-01-792__pl_1	208800	3522	100.0	100	plasmid	plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	49_length=2713_depth=1.20x	2713	KGVET-2019-01-792__chr	5622595	2713	100.0	100		chromosome		chromosome	plasmid	chromosome	unicycler
truth	KGVET-2019-01-792	50_length=2526_depth=2.69x	2526	KGVET-2019-01-792__chr	5622595	2526	100.0	100		chromosome	plasmid	plasmid	plasmid	chromosome	unicycler
truth	KGVET-2019-01-792	51_length=2278_depth=4.14x	2278	KGVET-2019-01-792__chr	5622595	2278	100.0	100		plasmid	plasmid	plasmid	plasmid	chromosome	unicycler
truth	KGVET-2019-01-792	52_length=2072_depth=9.81x	2072	KGVET-2019-01-792__chr	5622595	2072	100.0	100		chromosome	plasmid	chromosome		chromosome	unicycler
truth	KGVET-2019-01-792	53_length=2045_depth=0.84x	2045	KGVET-2019-01-792__chr	5622595	2045	100.0	100		chromosome		chromosome	plasmid	chromosome	unicycler
truth	KGVET-2019-01-792	54_length=2018_depth=2.45x	2018	KGVET-2019-01-792__chr	5622595	2018	100.0	100		chromosome		chromosome	chromosome	chromosome	unicycler
truth	KGVET-2019-01-792	55_length=2009_depth=1.16x	2009	KGVET-2019-01-792__pl_1	208800	2009	100.0	100		plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	56_length=1863_depth=1.39x	1863	KGVET-2019-01-792__pl_1	208800	1863	100.0	100		chromosome	plasmid	plasmid	plasmid	chromosome	unicycler
truth	KGVET-2019-01-792	57_length=1759_depth=1.29x	1759	KGVET-2019-01-792__chr	5622595	1759	100.0	100		chromosome		plasmid	plasmid	chromosome	unicycler
truth	KGVET-2019-01-792	58_length=1744_depth=1.30x	1744	KGVET-2019-01-792__pl_1	208800	1744	100.0	100		plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	59_length=1686_depth=1.47x	1686	KGVET-2019-01-792__pl_1	208800	1686	100.0	100		chromosome	plasmid	chromosome	plasmid	chromosome	unicycler
truth	KGVET-2019-01-792	60_length=1578_depth=2.13x	1578	KGVET-2019-01-792__pl_2	100633	1578	100.0	100		chromosome	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	61_length=1458_depth=1.31x	1458	KGVET-2019-01-792__pl_1	208800	1458	100.0	100		plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	62_length=1341_depth=3.83x	1341	KGVET-2019-01-792__pl_1	208800	1341	100.0	100		plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	63_length=1334_depth=7.50x	1334	KGVET-2019-01-792__chr	5622595	1334	100.0	100		plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	64_length=1256_depth=3.88x	1256	KGVET-2019-01-792__pl_1	208800	1256	100.0	100		plasmid	plasmid	plasmid	plasmid	chromosome	unicycler
truth	KGVET-2019-01-792	65_length=1200_depth=2.58x	1200	KGVET-2019-01-792__chr	5622595	1200	100.0	100		plasmid	plasmid	plasmid	plasmid	chromosome	unicycler
truth	KGVET-2019-01-792	66_length=1190_depth=1.42x	1190	KGVET-2019-01-792__pl_1	208800	1190	100.0	100		plasmid	plasmid	plasmid	plasmid	plasmid	unicycler
truth	KGVET-2019-01-792	67_length=973_depth=1.28x	973	KGVET-2019-01-792__chr	5622595	973	100.0	100		chromosome	plasmid	plasmid		chromosome	unicycler
truth	KGVET-2019-01-792	68_length=973_depth=1.09x	973	KGVET-2019-01-792__chr	5622595	973	100.0	100		chromosome	plasmid	plasmid		chromosome	unicycler
truth	KGVET-2019-01-792	69_length=934_depth=3.87x	934	KGVET-2019-01-792__pl_1	208800	934	100.0	100		chromosome	plasmid	plasmid		chromosome	unicycler
truth	KGVET-2019-01-792	70_length=866_depth=2.17x	866	KGVET-2019-01-792__pl_1	208800	866	100.0	100		chromosome	plasmid	plasmid		chromosome	unicycler
truth	KGVET-2019-01-792	71_length=782_depth=2.49x	782	KGVET-2019-01-792__pl_1	208800	782	100.0	100		chromosome	plasmid	plasmid		chromosome	unicycler
truth	KGVET-2019-01-792	72_length=670_depth=1.58x	670	KGVET-2019-01-792__pl_1	208800	670	100.0	100		chromosome	plasmid	plasmid		chromosome	unicycler
truth	KGVET-2019-01-792	73_length=670_depth=1.16x	670	KGVET-2019-01-792__pl_1	208800	670	100.0	100		chromosome	plasmid	plasmid		chromosome	unicycler
truth	KGVET-2019-01-792	74_length=637_depth=1.37x	637	KGVET-2019-01-792__pl_1	208800	637	100.0	100		chromosome	plasmid	plasmid		chromosome	unicycler
truth	KGVET-2019-01-792	75_length=585_depth=1.13x	585	KGVET-2019-01-792__chr	5622595	585	100.0	100		chromosome	plasmid	plasmid		chromosome	unicycler
truth	KGVET-2019-01-792	76_length=547_depth=10.98x	547	KGVET-2019-01-792__chr	5622595	547	100.0	100		chromosome	plasmid	plasmid		chromosome	unicycler
truth	KGVET-2019-01-792	77_length=540_depth=9.30x	540	KGVET-2019-01-792__chr	5622595	540	100.0	100		chromosome	plasmid	chromosome		chromosome	unicycler
truth	KGVET-2019-01-792	78_length=533_depth=9.30x	533	KGVET-2019-01-792__chr	5622595	533	100.0	100		chromosome	plasmid	plasmid		chromosome	unicycler
truth	KGVET-2019-01-792	79_length=496_depth=1.09x	496	KGVET-2019-01-792__chr	5622595	496	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	80_length=496_depth=0.82x	496	KGVET-2019-01-792__chr	5622595	496	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	81_length=431_depth=2.61x	431	KGVET-2019-01-792__chr	5622595	431	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	82_length=421_depth=1.53x	421	KGVET-2019-01-792__pl_1	208800	421	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	83_length=421_depth=1.50x	421	KGVET-2019-01-792__pl_1	208800	421	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	84_length=417_depth=1.11x	417	KGVET-2019-01-792__chr	5622595	417	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	85_length=417_depth=1.23x	417	KGVET-2019-01-792__chr	5622595	417	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	86_length=416_depth=2.03x	416	KGVET-2019-01-792__chr	5622595	416	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	87_length=390_depth=2.13x	390	KGVET-2019-01-792__pl_1	208800	390	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	88_length=385_depth=1.15x	385	KGVET-2019-01-792__pl_1	208800	385	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	89_length=384_depth=1.08x	384	KGVET-2019-01-792__pl_1	208800	384	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	90_length=372_depth=4.57x	372	KGVET-2019-01-792__pl_1	208800	372	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	91_length=372_depth=1.13x	372	KGVET-2019-01-792__chr	5622595	372	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	92_length=357_depth=1.17x	357	KGVET-2019-01-792__chr	5622595	357	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	93_length=353_depth=2.72x	353	KGVET-2019-01-792__chr	5622595	353	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	94_length=346_depth=3.25x	346	KGVET-2019-01-792__pl_1	208800	346	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	95_length=344_depth=0.88x	344	KGVET-2019-01-792__chr	5622595	344	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	96_length=336_depth=2.99x	336	KGVET-2019-01-792__pl_1	208800	336	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	97_length=327_depth=1.73x	327	KGVET-2019-01-792__chr	5622595	327	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	98_length=319_depth=1.17x	319	KGVET-2019-01-792__chr	5622595	319	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	99_length=319_depth=0.70x	319	KGVET-2019-01-792__chr	5622595	319	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	100_length=315_depth=1.19x	315	KGVET-2019-01-792__pl_1	208800	315	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	101_length=296_depth=8.32x	296	KGVET-2019-01-792__chr	5622595	296	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	102_length=295_depth=2.95x	295	KGVET-2019-01-792__pl_1	208800	295	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	103_length=284_depth=2.15x	284	KGVET-2019-01-792__chr	5622595	284	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	104_length=283_depth=0.89x	283	KGVET-2019-01-792__chr	5622595	283	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	105_length=283_depth=1.73x	283	KGVET-2019-01-792__chr	5622595	283	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	106_length=283_depth=1.04x	283	KGVET-2019-01-792__chr	5622595	283	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	107_length=276_depth=1.63x	276	KGVET-2019-01-792__pl_1	208800	276	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	108_length=272_depth=2.93x	272	KGVET-2019-01-792__chr	5622595	272	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	109_length=262_depth=14.61x	262	KGVET-2019-01-792__chr	5622595	262	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	110_length=260_depth=1.26x	260	KGVET-2019-01-792__chr	5622595	260	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	111_length=255_depth=0.54x	255	KGVET-2019-01-792__chr	5622595	255	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	112_length=255_depth=1.16x	255	KGVET-2019-01-792__chr	5622595	255	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	113_length=239_depth=1.41x	239	KGVET-2019-01-792__chr	5622595	239	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	114_length=239_depth=3.13x	239	KGVET-2019-01-792__chr	5622595	239	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	115_length=234_depth=3.04x	234	KGVET-2019-01-792__pl_1	208800	234	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	116_length=223_depth=1.78x	223	KGVET-2019-01-792__chr	5622595	223	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	117_length=222_depth=1.21x	222	KGVET-2019-01-792__chr	5622595	222	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	118_length=222_depth=1.41x	222	KGVET-2019-01-792__chr	5622595	222	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	119_length=221_depth=3.60x	221	KGVET-2019-01-792__pl_1	208800	221	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	120_length=219_depth=2.74x	219	KGVET-2019-01-792__pl_1	208800	219	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	121_length=218_depth=1.22x	218	KGVET-2019-01-792__chr	5622595	218	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	122_length=213_depth=1.95x	213	KGVET-2019-01-792__pl_1	208800	213	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	123_length=212_depth=10.52x	212	KGVET-2019-01-792__chr	5622595	212	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	124_length=208_depth=2.18x	208	KGVET-2019-01-792__chr	5622595	208	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	125_length=204_depth=10.48x	204	KGVET-2019-01-792__chr	5622595	204	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	126_length=202_depth=1.21x	202	KGVET-2019-01-792__chr	5622595	202	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	127_length=202_depth=0.65x	202	KGVET-2019-01-792__chr	5622595	202	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	128_length=197_depth=3.27x	197	KGVET-2019-01-792__chr	5622595	197	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	129_length=192_depth=5.11x	192	KGVET-2019-01-792__chr	5622595	192	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	130_length=189_depth=4.10x	189	KGVET-2019-01-792__pl_1	208800	189	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	131_length=188_depth=3.55x	188	KGVET-2019-01-792__pl_1	208800	188	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	132_length=188_depth=10.59x	188	KGVET-2019-01-792__chr	5622595	188	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	133_length=177_depth=1.19x	177	KGVET-2019-01-792__chr	5622595	177	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	134_length=174_depth=1.83x	174	KGVET-2019-01-792__chr	5622595	174	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	135_length=174_depth=2.90x	174	KGVET-2019-01-792__chr	5622595	174	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	136_length=171_depth=12.71x	171	KGVET-2019-01-792__chr	5622595	171	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	137_length=169_depth=1.96x	169	KGVET-2019-01-792__chr	5622595	169	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	138_length=168_depth=1.28x	168	KGVET-2019-01-792__pl_1	208800	168	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	139_length=168_depth=1.24x	168	KGVET-2019-01-792__pl_1	208800	168	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	140_length=168_depth=6.06x	168	KGVET-2019-01-792__chr	5622595	168	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	141_length=167_depth=2.65x	167	KGVET-2019-01-792__chr	5622595	167	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	142_length=164_depth=1.28x	164	KGVET-2019-01-792__chr	5622595	164	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	143_length=160_depth=2.53x	160	KGVET-2019-01-792__chr	5622595	160	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	144_length=157_depth=1.10x	157	KGVET-2019-01-792__chr	5622595	157	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	145_length=156_depth=2.05x	156	KGVET-2019-01-792__chr	5622595	156	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	146_length=156_depth=11.16x	156	KGVET-2019-01-792__chr	5622595	156	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	147_length=155_depth=1.15x	155	KGVET-2019-01-792__chr	5622595	155	100.0	100		chromosome		shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	148_length=153_depth=1.53x	153	KGVET-2019-01-792__pl_1	208800	153	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
truth	KGVET-2019-01-792	149_length=151_depth=2.12x	151	KGVET-2019-01-792__chr	5622595	151	100.0	100		chromosome	plasmid	shorter_than_500		chromosome	unicycler
