Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90	QuastReferenceSequence	ToolName	QuastType	SRAssemblerUsed
KGVET-2020-01-1661_plasmid	23	21	9	5	3	2	279785	278535	239274	214690	174330	128123	23	75619	279785	5387724	51.7	57.27	46207	-	4675	-	41974.7	2179.7	3	-	12	-	0.0	0.0	0.0	0.0	0.0	0.0	2.0	11 + 10 part	270674	0.16	1.044	0.0	1101.84	22.26	5739.0	8985.0	-	-	-	-	122.6	6.4	-	-	-	-	KGVET-2020-01-1661__chr	PlaScope_reads	Chromosome	unicycler
KGVET-2019-01-792_plasmid	31	28	15	9	3	1	292167	289598	255495	207893	127149	64076	31	64076	292167	5622595	51.41	57.44	24429	-	4521	-	26962.3	1401.0	4	-	17	-	0.0	0.0	0.0	0.0	0.0	0.0	1.0	11 + 20 part	288903	0.029	2.024	0.0	1102.94	0.0	590.0	3264.0	-	-	-	-	2.5	0.1	-	-	-	-	KGVET-2019-01-792__chr	PlaScope_reads	Chromosome	unicycler
2018-01-2640_plasmid	13	12	11	7	4	2	347976	347454	344390	318495	273805	192427	13	109432	347976	5272379	51.14	57.53	82995	-	10752	-	66409.8	4383.0	2	-	7	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12 + 1 part	347683	0.006	1.0	0.0	3412.97	0.0	293.0	293.0	-	-	-	-	0.2	0.0	-	-	-	-	2018-01-2640__chr	PlaScope_reads	Chromosome	unicycler
KGVET-2020-01-236-2_plasmid	4	4	3	0	0	0	22423	22423	20769	0	0	0	4	9421	22423	5329169	50.85	57.4	5758	-	5590	-	6952.4	29.3	2	-	3	-								4 + 0 part	22423			0.0															KGVET-2020-01-236-2__chr	PlaScope_reads	Chromosome	unicycler
KGMAR-2019-1764_plasmid	4	4	2	2	2	1	133914	133914	127034	127034	127034	82286	4	82286	133914	5197806	49.25	57.54	82286	-	44748	-	65697.7	1692.6	1	-	2	-								4 + 0 part	133914			0.0															KGMAR-2019-1764__chr	PlaScope_reads	Chromosome	unicycler
2018-01-4107_plasmid	25	16	5	2	2	0	108074	101715	75745	55237	55237	0	25	29577	108074	5295991	48.81	57.38	25660	-	1602	-	16332.7	333.3	2	-	13	-	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4 + 7 part	85458	0.36	1.185	0.0	1238.06	57.48	4857.0	22616.0	-	-	-	-	414.2	8.5	-	-	-	-	2018-01-4107__chr	PlaScope_reads	Chromosome	unicycler
KGMAR-2016-1198_plasmid	34	29	13	9	2	0	241832	237987	197580	166676	58368	0	34	29976	241832	5245077	52.08	57.4	12754	-	3778	-	16220.6	747.9	6	-	18	-	0.0	0.0	0.0	1.0	0.0	0.0	2.0	11 + 21 part	236429	0.054	1.742	0.0	1946.87	40.56	801.0	4931.0	-	-	-	-	7.5	0.3	-	-	-	-	KGMAR-2016-1198__chr	PlaScope_reads	Chromosome	unicycler
KGMAR-2020-440_plasmid	5	5	3	2	2	1	131168	131168	124460	118945	118945	72442	5	72442	131168	5293138	52.87	57.49	72442	-	46503	-	56899.3	1410.0	1	-	2	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2 + 2 part	127360	0.067	1.071	0.0	0.0	0.0	3554.0	3808.0	-	-	-	-	96.5	2.4	-	-	-	-	KGMAR-2020-440__chr	PlaScope_reads	Chromosome	unicycler
2018-01-714_plasmid	11	11	8	5	1	1	241160	241160	231541	213948	150141	150141	11	150141	241160	5081823	45.06	57.77	150141	-	6396	-	98773.2	4687.3	1	-	6	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9 + 2 part	240906	0.005	1.0	0.0	0.0	0.0	127.0	254.0	-	-	-	-	0.1	0.0	-	-	-	-	2018-01-714__chr	PlaScope_reads	Chromosome	unicycler
KGVETS-2019-01-2116_plasmid	3	2	0	0	0	0	6648	5919	0	0	0	0	3	4718	6648	5571553	58.68	57.43	4718	-	729	-	3645.2	4.3	1	-	3	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1 + 0 part	4718	0.035	1.0	0.0	0.0	0.0	1201.0	1930.0	-	-	-	-	296.9	0.4	-	-	-	-	KGVETS-2019-01-2116__chr	PlaScope_reads	Chromosome	unicycler
KGVET-2019-01-3619_plasmid	55	38	15	11	3	0	304900	293558	244607	214615	93498	0	55	37429	304900	5206778	52.47	57.47	15285	-	2056	-	17464.2	1022.7	6	-	26	-	1.0	1.0	591.0	0.0	0.0	0.0	4.0	36 + 15 part	297406	0.129	1.091	0.0	709.61	27.29	1222.0	7328.0	-	-	-	-	15.9	0.9	-	-	-	-	KGVET-2019-01-3619__chr	PlaScope_reads	Chromosome	unicycler
KGVET-2019-01-3472-4_plasmid	4	4	4	2	2	1	99007	99007	99007	87659	87659	54244	4	54244	99007	5179523	48.39	57.55	54244	-	5758	-	41647.3	796.1	1	-	3	-								4 + 0 part	99007			0.0															KGVET-2019-01-3472-4__chr	PlaScope_reads	Chromosome	unicycler
KGMAR-2016-1400_plasmid	17	15	12	7	2	1	204165	202885	195997	158048	78685	51212	17	51212	204165	5088943	51.5	57.59	18366	-	7299	-	24554.5	985.1	4	-	10	-	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2 + 11 part	182050	0.422	1.03	0.0	189.92	4.52	10109.0	22115.0	-	-	-	-	773.1	31.0	-	-	-	-	KGMAR-2016-1400__chr	PlaScope_reads	Chromosome	unicycler
KGVETS-2019-01-2303_plasmid	8	6	3	2	2	1	156886	155756	148318	143014	143014	95859	8	95859	156886	5222258	52.3	58.08	95859	-	47155	-	73093.0	2195.8	1	-	2	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3 + 3 part	154590	0.042	1.058	0.0	0.0	0.0	1337.0	2296.0	-	-	-	-	13.8	0.4	-	-	-	-	KGVETS-2019-01-2303__chr	PlaScope_reads	Chromosome	unicycler
KGVET-2020-01-2496-3_plasmid	1	1	1	1	1	1	775799	775799	775799	775799	775799	775799	1	775799	775799	5287267	55.04	57.53	775799	-	775799	-	775799.0	113832.7	1	-	1	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0 + 1 part	194853	10.988	1.0	0.0	0.34	0.17	580946.0	580946.0	580946	-	-	-	435033.1	63832.3	1	-	-	-	KGVET-2020-01-2496-3__chr	PlaScope_reads	Chromosome	unicycler
KGVETS-2019-01-2871_plasmid	1	1	1	1	1	1	112182	112182	112182	112182	112182	112182	1	112182	112182	5148545	49.01	57.62	112182	-	112182	-	112182.0	2444.3	1	-	1	-								1 + 0 part	112182			0.0															KGVETS-2019-01-2871__chr	PlaScope_reads	Chromosome	unicycler
KGVETS-2019-01-3187_plasmid	2	2	2	1	1	1	134490	134490	134490	127483	127483	127483	2	127483	134490	5304093	50.48	57.41	127483	-	127483	-	121206.1	3073.3	1	-	1	-								2 + 0 part	134490			0.0															KGVETS-2019-01-3187__chr	PlaScope_reads	Chromosome	unicycler
KGVETS-2019-01-3185_plasmid	17	15	13	9	5	2	491613	489931	484888	458878	401116	307230	17	256387	491613	5336402	52.77	57.49	256387	-	12136	-	147186.2	13559.4	1	-	8	-	2.0	2.0	257290.0	0.0	0.0	0.0	2.0	7 + 7 part	325841	2.985	1.039	0.0	226.57	4.83	148367.0	165515.0	-	-	-	-	44868.6	4133.5	-	-	-	-	KGVETS-2019-01-3185__chr	PlaScope_reads	Chromosome	unicycler
KGVETS-2019-01-3158_plasmid	1	1	0	0	0	0	1196	1196	0	0	0	0	1	1196	1196	5412914	53.76	57.6	1196	-	1196	-	1196.0	0.3	1	-	1	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0 + 0 part	0	0.022	1.0	0.0	0.0	0.0	1196.0	1196.0	1196	-	1196	-	1196.0	0.3	1	-	1	-	KGVETS-2019-01-3158__chr	PlaScope_reads	Chromosome	unicycler
KGVETS-2019-01-3162_plasmid	9	8	7	5	3	3	276088	275512	273775	257662	212111	212111	9	107410	276088	5240090	49.6	57.51	54106	-	21593	-	65927.1	3473.5	2	-	5	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7 + 2 part	275832	0.005	1.0	0.0	0.0	0.0	129.0	256.0	-	-	-	-	0.1	0.0	-	-	-	-	KGVETS-2019-01-3162__chr	PlaScope_reads	Chromosome	unicycler
KGVET-2020-01-2959-1_plasmid	5	3	2	1	1	1	62479	60961	59959	54201	54201	54201	5	54201	62479	5202254	52.17	57.51	54201	-	5758	-	47586.0	571.5	1	-	2	-								5 + 0 part	62479			0.0															KGVET-2020-01-2959-1__chr	PlaScope_reads	Chromosome	unicycler
KGMAR-2016-1200_plasmid	11	10	5	4	2	2	178994	178223	162074	154371	124995	124995	11	71930	178994	5312007	53.03	57.55	53065	-	7703	-	47756.5	1609.2	2	-	5	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7 + 4 part	178015	0.016	1.149	0.0	1021.45	0.0	598.0	979.0	-	-	-	-	2.3	0.1	-	-	-	-	KGMAR-2016-1200__chr	PlaScope_reads	Chromosome	unicycler
2018-01-778_plasmid	3	3	2	2	2	2	132162	132162	129021	129021	129021	129021	3	74316	132162	5234161	52.42	57.55	74316	-	54705	-	64507.0	1628.8	1	-	2	-								3 + 0 part	132162			0.0															2018-01-778__chr	PlaScope_reads	Chromosome	unicycler
KGVET-2020-01-2661_plasmid	12	11	8	6	1	0	127058	126341	120534	103505	31859	0	12	31859	127058	5354829	47.66	57.37	13751	-	7855	-	17986.5	426.8	3	-	8	-	1.0	1.0	1397.0	0.0	0.0	0.0	1.0	2 + 8 part	122980	0.074	1.032	0.0	736.2	49.08	1267.0	4075.0	-	-	-	-	22.1	0.5	-	-	-	-	KGVET-2020-01-2661__chr	PlaScope_reads	Chromosome	unicycler
2018-01-711_plasmid	4	4	1	0	0	0	16325	16325	5758	0	0	0	4	5758	16325	5214509	48.91	57.64	3876	-	3195	-	4325.1	13.5	2	-	4	-								4 + 0 part	16325			0.0															2018-01-711__chr	PlaScope_reads	Chromosome	unicycler
2018-01-4735_plasmid	4	4	3	0	0	0	24328	24328	20769	0	0	0	4	9421	24328	5286513	50.81	57.45	5758	-	3559	-	6816.2	31.4	2	-	4	-								4 + 0 part	24328			0.0															2018-01-4735__chr	PlaScope_reads	Chromosome	unicycler
KGMAR-2019-1497_plasmid	22	21	7	4	2	2	292825	291952	255239	237640	208752	208752	22	110635	292825	5270579	51.7	57.49	98117	-	4243	-	76910.1	4273.0	2	-	9	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12 + 10 part	291275	0.02	1.473	0.0	258.06	0.0	288.0	1550.0	-	-	-	-	0.9	0.1	-	-	-	-	KGMAR-2019-1497__chr	PlaScope_reads	Chromosome	unicycler
KGVETS-2019-01-4637_plasmid	6	6	4	4	2	2	158183	158183	152213	152213	124096	124096	6	65132	158183	5353997	50.29	57.45	58964	-	10204	-	51597.7	1524.4	2	-	4	-								6 + 0 part	158183			0.0															KGVETS-2019-01-4637__chr	PlaScope_reads	Chromosome	unicycler
KGVETS-2019-01-4407_plasmid	7	7	5	5	4	4	316532	316532	310561	310561	287997	287997	7	109435	316532	5261907	49.91	57.39	65359	-	54238	-	73273.9	4407.8	2	-	4	-								7 + 0 part	316532			0.0															KGVETS-2019-01-4407__chr	PlaScope_reads	Chromosome	unicycler
KGVETS-2019-01-4639_plasmid	3	3	3	3	3	3	186533	186533	186533	186533	186533	186533	3	74125	186533	5250843	51.14	57.65	58007	-	54401	-	63360.4	2250.8	2	-	3	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1 + 2 part	186279	0.005	1.0	0.0	0.0	0.0	127.0	254.0	-	-	-	-	0.2	0.0	-	-	-	-	KGVETS-2019-01-4639__chr	PlaScope_reads	Chromosome	unicycler
KGMAR-2016-1178_plasmid	34	28	14	8	1	0	228212	223923	187509	145599	46362	0	34	46362	228212	5235913	51.74	57.59	12196	-	3299	-	17806.3	776.1	6	-	19	-	0.0	0.0	0.0	0.0	0.0	0.0	1.0	14 + 12 part	200355	0.525	1.009	0.0	237.85	0.0	14629.0	27749.0	-	-	-	-	1018.4	44.4	-	-	-	-	KGMAR-2016-1178__chr	PlaScope_reads	Chromosome	unicycler
KGMAR-2020-428_plasmid	34	32	18	11	2	1	375187	373691	341132	284968	133577	103222	34	103222	375187	5180779	50.97	57.54	20348	-	5123	-	39706.7	2875.5	5	-	18	-	0.0	0.0	0.0	0.0	0.0	0.0	5.0	9 + 22 part	362738	0.219	1.098	0.0	891.64	8.03	3181.0	12449.0	-	-	-	-	44.5	3.2	-	-	-	-	KGMAR-2020-428__chr	PlaScope_reads	Chromosome	unicycler
2018-01-2085_plasmid	7	6	5	2	2	2	128421	127653	123825	105588	105588	105588	7	53202	128421	5299008	49.0	57.51	52386	-	5758	-	44399.7	1076.0	2	-	4	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4 + 2 part	127316	0.021	1.001	0.0	90.5	90.5	768.0	1105.0	-	-	-	-	5.1	0.1	-	-	-	-	2018-01-2085__chr	PlaScope_reads	Chromosome	unicycler
KP_NORM_BLD_70_plasmid	16	15	9	6	4	0	193525	193001	174197	154877	121743	0	16	32980	193525	5267487	52.35	57.59	25866	-	5411	-	23195.0	852.2	4	-	9	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10 + 6 part	192575	0.013	1.437	0.0	1263.16	315.79	218.0	950.0	-	-	-	-	0.8	0.0	-	-	-	-	KP_NORM_BLD_70__chr	PlaScope_reads	Chromosome	unicycler
2018-01-3465_plasmid	11	10	7	5	1	0	121088	120272	111789	97828	34086	0	11	34086	121088	5241774	51.37	57.53	15611	-	5758	-	19430.4	448.9	3	-	7	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6 + 5 part	120453	0.012	1.0	0.0	0.0	0.0	127.0	635.0	-	-	-	-	0.7	0.0	-	-	-	-	2018-01-3465__chr	PlaScope_reads	Chromosome	unicycler
KGVET-2020-01-2677-1_plasmid	6	5	4	2	2	2	128111	127540	124852	113041	113041	113041	6	58068	128111	5287320	47.33	57.48	54973	-	6221	-	50514.2	1224.0	2	-	3	-								6 + 0 part	128111			0.0															KGVET-2020-01-2677-1__chr	PlaScope_reads	Chromosome	unicycler
2018-01-2860_plasmid	4	4	3	1	1	1	68740	68740	65244	54276	54276	54276	4	54276	68740	5223344	51.92	57.47	54276	-	5378	-	43908.6	577.8	1	-	3	-								4 + 0 part	68740			0.0															2018-01-2860__chr	PlaScope_reads	Chromosome	unicycler
KGVET-2020-01-2318-1_plasmid	2	2	1	1	1	1	196853	196853	195594	195594	195594	195594	2	195594	196853	5328021	44.75	57.46	195594	-	195594	-	194351.1	7180.6	1	-	1	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1 + 0 part	195594	0.024	1.0	0.0	0.0	0.0	1259.0	1259.0	-	-	-	-	8.1	0.3	-	-	-	-	KGVET-2020-01-2318-1__chr	PlaScope_reads	Chromosome	unicycler
KGMAR-2019-1792_plasmid	26	22	9	6	2	1	228805	225765	200699	176782	108398	67325	26	67325	228805	5303093	52.61	57.51	21251	-	3124	-	33621.1	1450.6	3	-	11	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15 + 8 part	223313	0.092	1.078	0.0	417.93	0.0	1631.0	5264.0	-	-	-	-	22.0	0.9	-	-	-	-	KGMAR-2019-1792__chr	PlaScope_reads	Chromosome	unicycler
KGVETS-2019-01-4908_plasmid	11	9	4	2	1	1	155660	153922	138192	124742	106326	106326	11	106326	155660	5215663	47.61	57.48	106326	-	4832	-	75803.0	2262.3	1	-	5	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6 + 0 part	126366	0.559	1.004	0.0	95.66	0.0	18412.0	29269.0	-	-	-	-	2611.1	77.9	-	-	-	-	KGVETS-2019-01-4908__chr	PlaScope_reads	Chromosome	unicycler
2018-01-707_plasmid	19	17	12	8	2	1	224387	223115	213304	187407	90483	61092	19	61092	224387	5315792	49.41	57.32	22738	-	5758	-	28903.0	1220.0	3	-	10	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9 + 8 part	219634	0.08	1.117	0.0	1409.64	0.0	1873.0	4753.0	-	-	-	-	25.3	1.1	-	-	-	-	2018-01-707__chr	PlaScope_reads	Chromosome	unicycler
KGVET-2020-01-2067-1_plasmid	32	18	0	0	0	0	48328	39106	0	0	0	0	32	4099	48328	5364693	51.75	57.39	2586	-	613	-	2238.5	20.2	8	-	24	-								32 + 0 part	48328			0.0															KGVET-2020-01-2067-1__chr	PlaScope_reads	Chromosome	unicycler
KGVETS-2019-01-5108_plasmid	11	10	6	4	2	0	140231	139643	131491	115202	74210	0	11	42789	140231	5190342	49.69	57.59	31421	-	7831	-	27178.8	734.3	2	-	6	-								11 + 0 part	140231			0.0															KGVETS-2019-01-5108__chr	PlaScope_reads	Chromosome	unicycler
KGVETS-2019-01-604_plasmid	1	1	1	1	1	1	110605	110605	110605	110605	110605	110605	1	110605	110605	5258435	48.83	57.48	110605	-	110605	-	110605.0	2326.4	1	-	1	-								1 + 0 part	110605			0.0															KGVETS-2019-01-604__chr	PlaScope_reads	Chromosome	unicycler
KGVETS-2019-01-901_plasmid	5	5	4	3	2	2	139967	139967	136869	131008	115390	115390	5	63727	139967	5190271	49.43	57.63	51663	-	15618	-	50140.9	1352.2	2	-	3	-								5 + 0 part	139967			0.0															KGVETS-2019-01-901__chr	PlaScope_reads	Chromosome	unicycler
KGMAR-2016-319_plasmid	10	10	6	5	5	2	413232	413232	398457	390647	390647	288914	10	237027	413232	5273997	55.16	57.5	237027	-	31119	-	151144.1	11842.6	1	-	5	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5 + 5 part	199061	4.036	1.006	0.0	17.28	0.47	212731.0	214171.0	212731	-	-	-	109516.3	8580.9	1	-	-	-	KGMAR-2016-319__chr	PlaScope_reads	Chromosome	unicycler
KP_NORM_BLD_111588_plasmid	12	10	6	3	2	2	169867	168313	155458	133380	116600	116600	12	65379	169867	5265303	52.91	57.56	51221	-	7009	-	43509.4	1403.7	2	-	6	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10 + 2 part	169142	0.014	1.0	0.0	1379.31	0.0	598.0	725.0	-	-	-	-	2.2	0.1	-	-	-	-	KP_NORM_BLD_111588__chr	PlaScope_reads	Chromosome	unicycler
2018-01-3723_plasmid	7	7	4	3	2	2	214944	214944	205683	200534	182560	182560	7	93144	214944	5411208	51.92	57.35	89416	-	17974	-	79329.7	3151.1	2	-	3	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4 + 2 part	125223	1.656	1.001	0.0	1.11	0.0	89416.0	89721.0	-	-	-	-	37197.0	1477.5	-	-	-	-	2018-01-3723__chr	PlaScope_reads	Chromosome	unicycler
2018-01-2730_plasmid	17	16	14	8	3	2	334638	334116	326655	284324	213606	186406	17	109585	334638	5239870	50.88	57.56	76821	-	7475	-	59768.8	3817.1	2	-	11	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16 + 1 part	334345	0.006	1.0	0.0	3412.97	0.0	293.0	293.0	-	-	-	-	0.3	0.0	-	-	-	-	2018-01-2730__chr	PlaScope_reads	Chromosome	unicycler
2018-01-2353_plasmid	4	4	3	3	3	2	201184	201184	198995	198995	198995	165738	4	101688	201184	5254528	44.78	57.63	101688	-	33257	-	77310.7	2960.1	1	-	3	-								4 + 0 part	201184			0.0															2018-01-2353__chr	PlaScope_reads	Chromosome	unicycler
KP_NORM_BLD_112590_plasmid	23	21	13	8	2	0	238935	237746	218007	177642	76969	0	23	46928	238935	5208626	53.02	57.48	16573	-	5579	-	22000.4	1009.2	5	-	13	-	0.0	0.0	0.0	0.0	0.0	0.0	7.0	4 + 16 part	224381	0.277	1.008	0.0	1428.87	20.61	3181.0	14557.0	-	-	-	-	91.2	4.2	-	-	-	-	KP_NORM_BLD_112590__chr	PlaScope_reads	Chromosome	unicycler
KP_NORM_BLD_111598_plasmid	29	27	17	7	2	1	318960	317255	293814	217187	148916	107867	29	107867	318960	5426082	51.36	57.57	15876	-	5967	-	46861.6	2754.7	3	-	16	-	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4 + 25 part	314464	0.062	1.331	0.0	155.69	0.0	333.0	4496.0	-	-	-	-	2.3	0.1	-	-	-	-	KP_NORM_BLD_111598__chr	PlaScope_reads	Chromosome	unicycler
KP_NORM_BLD_112596_plasmid	9	7	5	5	3	1	191015	189680	183440	183440	146151	63247	9	63247	191015	5216146	51.05	57.59	42150	-	14622	-	42880.5	1570.3	2	-	5	-	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1 + 7 part	188761	0.036	1.203	0.0	1197.87	0.0	522.0	2254.0	-	-	-	-	3.7	0.1	-	-	-	-	KP_NORM_BLD_112596__chr	PlaScope_reads	Chromosome	unicycler
NK_H24_016_plasmid	1	1	1	1	1	1	111583	111583	111583	111583	111583	111583	1	111583	111583	5248128	48.99	57.68	111583	-	111583	-	111583.0	2372.4	1	-	1	-	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0 + 1 part	110960	0.011	1.101	0.0	1605.14	0.0	361.0	623.0	-	-	-	-	1.8	0.0	-	-	-	-	NK_H24_016__chr	PlaScope_reads	Chromosome	unicycler
KP_NORM_BLD_112603_plasmid	17	14	11	8	3	1	263555	261642	252595	229153	143929	88756	17	88756	263555	5385730	53.68	57.47	27418	-	9752	-	42230.9	2066.6	3	-	9	-	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7 + 8 part	166874	1.795	1.0	0.0	94.12	1.03	88756.0	96681.0	-	-	-	-	29936.5	1465.0	-	-	-	-	KP_NORM_BLD_112603__chr	PlaScope_reads	Chromosome	unicycler
