ToolName,tag,duration,total_seconds,total_minutes,peak_rss,peak_rss_gb
HyAsP,NK_H23_014,8m 54s,534,8.9,1.3 GB,1.3
HyAsP,KGVET-2020-01-3775-3,8m 57s,537,8.95,1.4 GB,1.4
SPAdes,KGMAR-2016-1400,12m 17s,737,12.283333333333333,4.6 GB,4.6
HyAsP,KGVET-2020-01-4188-1,8m 53s,533,8.883333333333333,1.4 GB,1.4
PlaScope (reads),2018-01-880,37m 6s,2226,37.1,5.2 GB,5.2
HyAsP,KGMAR-2016-1400,8m 40s,520,8.666666666666666,1.4 GB,1.4
plasmidSPAdes,2018-01-2640,20m 21s,1221,20.35,5.1 GB,5.1
PlaScope (reads),KGMAR-2016-733,29m 41s,1781,29.683333333333334,5.1 GB,5.1
SPAdes,KGVET-2020-01-2496-3,27m 38s,1658,27.633333333333333,5 GB,5
PlaScope (reads),2018-01-4639,33m 27s,2007,33.45,5 GB,5
plasmidSPAdes,2018-01-880,30m 21s,1821,30.35,4.9 GB,4.9
PlaScope (reads),2018-01-1584,33m 53s,2033,33.88333333333333,5.3 GB,5.3
PlaScope (reads),KGMAR-2019-1434,29m 18s,1758,29.3,5.3 GB,5.3
SPAdes,KGMAR-2016-319,24m 12s,1452,24.2,4.7 GB,4.7
SPAdes,2018-01-2640,26m 36s,1596,26.6,5 GB,5
SPAdes,KGMAR-2016-1198,26m 59s,1619,26.983333333333334,5 GB,5
SPAdes,KGMAR-2016-1397,18m 50s,1130,18.833333333333332,4.8 GB,4.8
PlaScope (reads),KGVET-2020-01-1661,21m 53s,1313,21.883333333333333,5.2 GB,5.2
PlaScope (reads),KGVET-2019-01-792,24m,1440,24,5.5 GB,5.5
SPAdes,KGVET-2018-04-44577,17m,1020,17,5.1 GB,5.1
plasmidSPAdes,KGVET-2020-01-3043-2,33m 42s,2022,33.7,5.9 GB,5.9
plasmidSPAdes,KGVET-2020-01-4249-1,26m 40s,1600,26.666666666666668,5.1 GB,5.1
SPAdes,2018-01-778,31m 30s,1890,31.5,4.9 GB,4.9
PlaScope (reads),2018-01-2640,28m 23s,1703,28.383333333333333,4.9 GB,4.9
plasmidSPAdes,KGVET-2020-01-236-2,39m 14s,2354,39.233333333333334,6.5 GB,6.5
plasmidSPAdes,KGMAR-2019-604,18m 51s,1131,18.85,5 GB,5
plasmidSPAdes,KGMAR-2016-1198,31m 47s,1907,31.783333333333335,5.1 GB,5.1
plasmidSPAdes,KGMAR-2016-1200,26m 45s,1605,26.75,5.1 GB,5.1
plasmidSPAdes,KGVET-2020-01-2209-1,31m 55s,1915,31.916666666666668,5.6 GB,5.6
PlaScope (reads),KGVET-2020-01-236-2,52m 37s,3157,52.61666666666667,6.6 GB,6.6
SPAdes,2018-01-4735,32m 40s,1960,32.666666666666664,5 GB,5
plasmidSPAdes,KGVET-2019-01-2264,23m 53s,1433,23.883333333333333,5 GB,5
plasmidSPAdes,KGVET-2020-01-2800-1,19m 27s,1167,19.45,5.1 GB,5.1
plasmidSPAdes,KGMAR-2019-1497,15m 45s,945,15.75,5 GB,5
PlaScope (reads),KGVET-2020-01-2846-1,57m 38s,3458,57.63333333333333,5.2 GB,5.2
plasmidSPAdes,KGMAR-2019-400-2,15m 29s,929,15.483333333333333,4.9 GB,4.9
plasmidSPAdes,KGVET-2020-01-202-1,23m 50s,1430,23.833333333333332,4.9 GB,4.9
SPAdes,KGVET-2020-01-2328-1,22m,1320,22,4.7 GB,4.7
SPAdes,KGVETS-2019-01-1761,18m 2s,1082,18.033333333333335,4.7 GB,4.7
SPAdes,KGMAR-2019-2186,29m 34s,1774,29.566666666666666,5 GB,5
PlaScope (reads),KGMAR-2019-1764,27m 15s,1635,27.25,5.3 GB,5.3
plasmidSPAdes,KGVETS-2019-01-1844,16m 14s,974,16.233333333333334,5.1 GB,5.1
plasmidSPAdes,2018-01-1584,25m 59s,1559,25.983333333333334,4.8 GB,4.8
plasmidSPAdes,KGVETS-2019-01-1961,16m 28s,988,16.466666666666665,5 GB,5
SPAdes,KGMAR-2019-1792,23m 57s,1437,23.95,4.9 GB,4.9
PlaScope (reads),2018-01-4107,36m 41s,2201,36.68333333333333,5.1 GB,5.1
SPAdes,KGMAR-2016-733,22m 16s,1336,22.266666666666666,4.5 GB,4.5
plasmidSPAdes,KGVET-2020-01-2846-1,43m 50s,2630,43.833333333333336,5.1 GB,5.1
SPAdes,KGMAR-2019-1459,20m 10s,1210,20.166666666666668,5 GB,5
PlaScope (reads),KGVET-2018-01-3794,30m 27s,1827,30.45,5.2 GB,5.2
SPAdes,2018-01-710,35m 21s,2121,35.35,5 GB,5
SPAdes,KGMAR-2016-1396,26m 19s,1579,26.316666666666666,5 GB,5
SPAdes,2018-01-2860,27m 49s,1669,27.816666666666666,5.1 GB,5.1
plasmidSPAdes,KGVET-2019-01-3472-4,31m 31s,1891,31.516666666666666,5.1 GB,5.1
SPAdes,KGVET-2020-01-3514,25m 29s,1529,25.483333333333334,4.6 GB,4.6
SPAdes,2018-01-2353,1h 1m 20s,3680,61.333333333333336,6.4 GB,6.4
plasmidSPAdes,2018-01-711,1h 2m 23s,3743,62.38333333333333,5.3 GB,5.3
plasmidSPAdes,2018-01-1001,39m 55s,2395,39.916666666666664,5.1 GB,5.1
SPAdes,KGVET-2020-01-3721-3,26m 44s,1604,26.733333333333334,4.7 GB,4.7
SPAdes,KGVETS-2019-01-2870,24m 36s,1476,24.6,4.9 GB,4.9
plasmidSPAdes,KGVET-2020-01-4188-1,28m 3s,1683,28.05,5.1 GB,5.1
plasmidSPAdes,KGVETS-2019-01-2116,15m 46s,946,15.766666666666667,4.5 GB,4.5
plasmidSPAdes,KGVET-2020-01-2677-1,35m 31s,2131,35.516666666666666,5 GB,5
plasmidSPAdes,2018-01-3094,22m 35s,1355,22.583333333333332,4.9 GB,4.9
PlaScope (reads),KGMAR-2016-1198,45m 1s,2701,45.016666666666666,5.3 GB,5.3
plasmidSPAdes,KGMAR-2019-1764,19m 20s,1160,19.333333333333332,5 GB,5
PlaScope (reads),KGMAR-2020-440,41m 23s,2483,41.38333333333333,5.2 GB,5.2
plasmidSPAdes,KGVETS-2019-01-2871,28m 56s,1736,28.933333333333334,5.1 GB,5.1
SPAdes,KGVETS-2019-01-3127,13m 13s,793,13.216666666666667,4.9 GB,4.9
PlaScope (reads),2018-01-714,1h 30m 27s,5427,90.45,5.4 GB,5.4
plasmidSPAdes,KGVETS-2019-01-3127,16m 17s,977,16.283333333333335,4.8 GB,4.8
plasmidSPAdes,2018-01-2734,2h 37m 25s,9445,157.41666666666666,9.3 GB,9.3
PlaScope (reads),2018-01-2782,26m 58s,1618,26.966666666666665,5.2 GB,5.2
PlaScope (reads),KGVET-2019-01-3619,45m 36s,2736,45.6,5.5 GB,5.5
plasmidSPAdes,KGVET-2018-04-44577,20m 17s,1217,20.283333333333335,4.9 GB,4.9
PlaScope (reads),KGVETS-2019-01-2116,19m 25s,1165,19.416666666666668,5.2 GB,5.2
plasmidSPAdes,KGVETS-2019-01-3158,21m 48s,1308,21.8,5.1 GB,5.1
plasmidSPAdes,KGVETS-2019-01-3185,14m 12s,852,14.2,5 GB,5
SPAdes,KGMAR-2016-1200,19m 49s,1189,19.816666666666666,4.9 GB,4.9
PlaScope (reads),KGVET-2019-01-3472-4,37m 15s,2235,37.25,5.2 GB,5.2
SPAdes,KGMAR-2019-1417-2,18m 34s,1114,18.566666666666666,4.6 GB,4.6
plasmidSPAdes,KGVET-2020-01-2067-1,18m 41s,1121,18.683333333333334,4.9 GB,4.9
PlaScope (reads),KGMAR-2016-1400,16m 48s,1008,16.8,4.6 GB,4.6
plasmidSPAdes,KGVETS-2019-01-326,21m 16s,1276,21.266666666666666,5.1 GB,5.1
SPAdes,KGVET-2019-01-3619,36m 22s,2182,36.36666666666667,4.9 GB,4.9
SPAdes,KGVET-2020-01-2158-1,36m 7s,2167,36.11666666666667,5.1 GB,5.1
PlaScope (reads),KGVETS-2019-01-2303,21m 17s,1277,21.283333333333335,5.7 GB,5.7
PlaScope (reads),KGVET-2020-01-2496-3,37m 15s,2235,37.25,5.7 GB,5.7
PlaScope (reads),KGMAR-2019-2186,36m 50s,2210,36.833333333333336,5.3 GB,5.3
plasmidSPAdes,KGVET-2020-01-2661,26m 59s,1619,26.983333333333334,5.2 GB,5.2
plasmidSPAdes,KGVETS-2019-01-3793,27m 28s,1648,27.466666666666665,5 GB,5
SPAdes,2018-01-3218,26m 6s,1566,26.1,5.1 GB,5.1
SPAdes,KGVETS-2019-01-4118,15m 17s,917,15.283333333333333,5 GB,5
SPAdes,KGMAR-2016-1076,21m 11s,1271,21.183333333333334,4.8 GB,4.8
SPAdes,KGMAR-2019-1766,13m 19s,799,13.316666666666666,5.1 GB,5.1
plasmidSPAdes,KGMAR-2016-1076,30m 8s,1808,30.133333333333333,4.9 GB,4.9
PlaScope (reads),KGVETS-2019-01-3185,19m 33s,1173,19.55,5.3 GB,5.3
PlaScope (reads),KGVETS-2019-01-2871,41m 25s,2485,41.416666666666664,5.2 GB,5.2
PlaScope (reads),KGVETS-2019-01-3187,20m 58s,1258,20.966666666666665,5.8 GB,5.8
PlaScope (reads),KGVETS-2019-01-3158,29m 1s,1741,29.016666666666666,5.1 GB,5.1
plasmidSPAdes,KGMAR-2016-1400,11m 49s,709,11.816666666666666,4.5 GB,4.5
PlaScope (reads),KGVETS-2019-01-3162,30m 19s,1819,30.316666666666666,5.7 GB,5.7
SPAdes,KGVET-2020-01-2800-1,16m 12s,972,16.2,5.1 GB,5.1
plasmidSPAdes,KGVETS-2019-01-476,19m 23s,1163,19.383333333333333,4.8 GB,4.8
plasmidSPAdes,2018-01-707,1h 3m 10s,3790,63.166666666666664,5.5 GB,5.5
plasmidSPAdes,KGVET-2020-01-2318-1,19m 47s,1187,19.783333333333335,4.5 GB,4.5
PlaScope (reads),KGVET-2020-01-2959-1,22m 38s,1358,22.633333333333333,5.8 GB,5.8
plasmidSPAdes,KGVETS-2019-01-4639,39m 50s,2390,39.833333333333336,6 GB,6
plasmidSPAdes,2018-01-4639,28m 20s,1700,28.333333333333332,4.6 GB,4.6
plasmidSPAdes,2018-01-2860,28m 15s,1695,28.25,5.1 GB,5.1
plasmidSPAdes,KGVETS-2019-01-4908,20m 8s,1208,20.133333333333333,5.1 GB,5.1
SPAdes,NK_H21_005,22m 22s,1342,22.366666666666667,5 GB,5
plasmidSPAdes,KGMAR-2016-1178,33m 34s,2014,33.56666666666667,5.1 GB,5.1
plasmidSPAdes,2018-01-778,53m 15s,3195,53.25,5.1 GB,5.1
SPAdes,KGVET-2020-01-2959-1,14m 42s,882,14.7,4.5 GB,4.5
PlaScope (reads),KGMAR-2016-1200,33m 20s,2000,33.333333333333336,5.3 GB,5.3
SPAdes,KGVET-2020-01-2067-1,16m 52s,1012,16.866666666666667,4.9 GB,4.9
SPAdes,KGVET-2020-01-2318-1,21m 29s,1289,21.483333333333334,5.1 GB,5.1
SPAdes,KGVET-2020-01-2846-1,35m 24s,2124,35.4,5 GB,5
SPAdes,2018-01-1584,23m 21s,1401,23.35,5 GB,5
plasmidSPAdes,KGMAR-2016-733,25m 13s,1513,25.216666666666665,4.6 GB,4.6
SPAdes,KGVET-2019-01-3472-4,36m 48s,2208,36.8,5 GB,5
SPAdes,KGVET-2020-01-2677-1,28m 44s,1724,28.733333333333334,4.7 GB,4.7
plasmidSPAdes,KGMAR-2019-1459,26m 29s,1589,26.483333333333334,5 GB,5
PlaScope (reads),2018-01-778,1h 4m 48s,3888,64.8,5.3 GB,5.3
PlaScope (reads),KGVET-2020-01-2661,38m 41s,2321,38.68333333333333,5.1 GB,5.1
PlaScope (reads),2018-01-711,1h 17m 21s,4641,77.35,5.4 GB,5.4
plasmidSPAdes,KGVETS-2019-01-897,23m 2s,1382,23.033333333333335,4.8 GB,4.8
SPAdes,KGVETS-2019-01-4639,46m 54s,2814,46.9,4.8 GB,4.8
SPAdes,2018-01-880,25m 48s,1548,25.8,4.9 GB,4.9
PlaScope (reads),2018-01-4203,26m 49s,1609,26.816666666666666,5.5 GB,5.5
plasmidSPAdes,KGMAR-2019-1766,17m 45s,1065,17.75,5 GB,5
plasmidSPAdes,KP_NORM_BLD_110772,17m 20s,1040,17.333333333333332,4.2 GB,4.2
plasmidSPAdes,KGVET-2020-01-2959-1,20m 23s,1223,20.383333333333333,5.1 GB,5.1
plasmidSPAdes,KGVETS-2019-01-902,26m 50s,1610,26.833333333333332,5.1 GB,5.1
PlaScope (reads),2018-01-4735,48m 21s,2901,48.35,5.5 GB,5.5
SPAdes,KGVETS-2019-01-4848,18m 47s,1127,18.783333333333335,4.9 GB,4.9
PlaScope (reads),KGMAR-2019-1497,27m 16s,1636,27.266666666666666,4.8 GB,4.8
SPAdes,KGVETS-2019-01-4937,26m 59s,1619,26.983333333333334,4.9 GB,4.9
plasmidSPAdes,2018-01-4203,22m 19s,1339,22.316666666666666,5 GB,5
plasmidSPAdes,KGVETS-2019-01-4548,28m 33s,1713,28.55,5.1 GB,5.1
PlaScope (reads),KGVETS-2019-01-4637,42m 49s,2569,42.81666666666667,5.4 GB,5.4
PlaScope (reads),KGVETS-2019-01-4407,24m 41s,1481,24.683333333333334,4.7 GB,4.7
plasmidSPAdes,KP_NORM_BLD_111588,25m 3s,1503,25.05,3.9 GB,3.9
PlaScope (reads),KGVETS-2019-01-4639,52m 14s,3134,52.233333333333334,6.1 GB,6.1
PlaScope (reads),KGMAR-2016-1178,44m 29s,2669,44.483333333333334,5.2 GB,5.2
PlaScope (reads),KGMAR-2020-428,41m 38s,2498,41.63333333333333,5.3 GB,5.3
SPAdes,KGVET-2020-01-236-2,48m 23s,2903,48.38333333333333,4.6 GB,4.6
PlaScope (reads),2018-01-2085,3h 21m 45s,12105,201.75,9.7 GB,9.7
PlaScope (reads),KP_NORM_BLD_70,37m 45s,2265,37.75,5.7 GB,5.7
plasmidSPAdes,KP_NORM_BLD_111598,9m 12s,552,9.2,2.9 GB,2.9
PlaScope (reads),2018-01-3465,18m 24s,1104,18.4,4.1 GB,4.1
PlaScope (reads),KGVET-2020-01-2677-1,38m 39s,2319,38.65,5.4 GB,5.4
SPAdes,KGVETS-2019-01-587,16m 59s,1019,16.983333333333334,5.1 GB,5.1
plasmidSPAdes,2018-01-2353,3h 24m 4s,12244,204.06666666666666,10.2 GB,10.2
SPAdes,2018-01-2782,19m 56s,1196,19.933333333333334,5.1 GB,5.1
PlaScope (reads),KGVET-2020-01-126,21m 17s,1277,21.283333333333335,5.6 GB,5.6
SPAdes,2018-01-714,40m 7s,2407,40.11666666666667,4.9 GB,4.9
PlaScope (reads),2018-01-2860,31m 17s,1877,31.283333333333335,5.3 GB,5.3
plasmidSPAdes,KGVET-2020-01-2158-1,30m 20s,1820,30.333333333333332,5 GB,5
SPAdes,KGVETS-2019-01-897,17m 5s,1025,17.083333333333332,4.9 GB,4.9
plasmidSPAdes,2018-01-2085,3h 38s,10838,180.63333333333333,9.6 GB,9.6
PlaScope (reads),KGVET-2020-01-2318-1,23m 55s,1435,23.916666666666668,5.2 GB,5.2
PlaScope (reads),KGMAR-2019-1792,31m 8s,1868,31.133333333333333,5.4 GB,5.4
plasmidSPAdes,2018-01-3723,15m 42s,942,15.7,5 GB,5
plasmidSPAdes,KGVET-2020-01-126,18m 26s,1106,18.433333333333334,4.6 GB,4.6
plasmidSPAdes,KP_NORM_BLD_112603,13m 9s,789,13.15,4.1 GB,4.1
SPAdes,KGVETS-2019-01-902,20m 28s,1228,20.466666666666665,5 GB,5
PlaScope (reads),KGVETS-2019-01-4908,24m 8s,1448,24.133333333333333,4.9 GB,4.9
plasmidSPAdes,KP_NORM_BLD_112904,18m 43s,1123,18.716666666666665,4.4 GB,4.4
PlaScope (reads),2018-01-707,1h 13m 57s,4437,73.95,5.6 GB,5.6
SPAdes,KGVETS-2019-01-604,12m 25s,745,12.416666666666666,4.7 GB,4.7
plasmidSPAdes,KP_NORM_BLD_112908,20m 51s,1251,20.85,4.4 GB,4.4
SPAdes,2018-01-3465,12m 27s,747,12.45,4.4 GB,4.4
PlaScope (reads),KGVET-2020-01-2067-1,23m 16s,1396,23.266666666666666,5.4 GB,5.4
PlaScope (reads),KGVETS-2019-01-5108,23m 47s,1427,23.783333333333335,5.1 GB,5.1
PlaScope (reads),KGVETS-2019-01-604,21m 31s,1291,21.516666666666666,4.8 GB,4.8
SPAdes,2018-01-2734,53m 39s,3219,53.65,5.9 GB,5.9
plasmidSPAdes,KP_NORM_BLD_112922,28m 35s,1715,28.583333333333332,4.4 GB,4.4
plasmidSPAdes,2018-01-3218,25m 39s,1539,25.65,4.9 GB,4.9
plasmidSPAdes,KGVET-2020-01-2496-3,35m 43s,2143,35.71666666666667,5.1 GB,5.1
SPAdes,KP_NORM_BLD_110772,15m 29s,929,15.483333333333333,3.5 GB,3.5
PlaScope (reads),KGVETS-2019-01-901,28m 34s,1714,28.566666666666666,4.7 GB,4.7
SPAdes,KGMAR-2019-1764,19m 25s,1165,19.416666666666668,4.9 GB,4.9
plasmidSPAdes,2018-01-4107,33m 49s,2029,33.81666666666667,5.1 GB,5.1
plasmidSPAdes,2018-01-2782,27m 34s,1654,27.566666666666666,5.1 GB,5.1
SPAdes,KP_NORM_BLD_111588,21m 9s,1269,21.15,4.3 GB,4.3
SPAdes,KGVET-2020-01-126,20m 34s,1234,20.566666666666666,5.1 GB,5.1
SPAdes,2018-01-4107,25m 19s,1519,25.316666666666666,5.1 GB,5.1
SPAdes,KGVET-2020-01-3421-1,20m 5s,1205,20.083333333333332,5.1 GB,5.1
plasmidSPAdes,2018-01-714,1h 28m 53s,5333,88.88333333333334,5.4 GB,5.4
SPAdes,KP_NORM_URN_106487,14m 18s,858,14.3,4.2 GB,4.2
SPAdes,KGVET-2019-01-792,22m 33s,1353,22.55,4.8 GB,4.8
plasmidSPAdes,KGMAR-2020-440,41m 16s,2476,41.266666666666666,5.1 GB,5.1
plasmidSPAdes,KP_NORM_BLD_113315,28m,1680,28,4.9 GB,4.9
PlaScope (reads),KGVET-2020-01-3043-2,52m 19s,3139,52.31666666666667,5.9 GB,5.9
PlaScope (reads),KGMAR-2016-319,41m 49s,2509,41.81666666666667,5.9 GB,5.9
SPAdes,KP_NORM_BLD_111598,6m 53s,413,6.883333333333334,2.9 GB,2.9
plasmidSPAdes,KGMAR-2020-428,36m 13s,2173,36.21666666666667,5.1 GB,5.1
SPAdes,KP_NORM_BLD_112596,11m 50s,710,11.833333333333334,4.5 GB,4.5
PlaScope (reads),KP_NORM_BLD_111588,25m 58s,1558,25.966666666666665,4.2 GB,4.2
PlaScope (reads),KGVET-2020-01-3514,37m 46s,2266,37.766666666666666,5.5 GB,5.5
PlaScope (reads),2018-01-2730,3h 17m 10s,11830,197.16666666666666,9.2 GB,9.2
PlaScope (reads),2018-01-3723,19m 22s,1162,19.366666666666667,4.8 GB,4.8
SPAdes,2018-01-711,36m 41s,2201,36.68333333333333,5 GB,5
PlaScope (reads),2018-01-2353,3h 49m 50s,13790,229.83333333333334,10.3 GB,10.3
plasmidSPAdes,2018-01-2485,17m 56s,1076,17.933333333333334,5 GB,5
SPAdes,2018-01-2085,51m 59s,3119,51.983333333333334,5.8 GB,5.8
PlaScope (reads),KP_NORM_BLD_112590,19m 15s,1155,19.25,4.8 GB,4.8
PlaScope (reads),KP_NORM_BLD_111598,12m 35s,755,12.583333333333334,3.1 GB,3.1
PlaScope (reads),KP_NORM_BLD_112596,19m 11s,1151,19.183333333333334,4.4 GB,4.4
plasmidSPAdes,KGMAR-2016-319,27m 25s,1645,27.416666666666668,5 GB,5
PlaScope (reads),2018-01-389,2h 57m,10620,177,6.2 GB,6.2
PlaScope (reads),NK_H24_016,2h 43m 45s,9825,163.75,6.5 GB,6.5
SPAdes,KP_NORM_BLD_112603,10m 53s,653,10.883333333333333,4.4 GB,4.4
plasmidSPAdes,KGMAR-2016-563,24m 34s,1474,24.566666666666666,5.1 GB,5.1
PlaScope (reads),KP_NORM_BLD_112603,17m 48s,1068,17.8,4.4 GB,4.4
PlaScope (reads),KP_NORM_BLD_112904,23m 30s,1410,23.5,5.1 GB,5.1
SPAdes,2018-01-389,42m 58s,2578,42.96666666666667,6.2 GB,6.2
plasmidSPAdes,KP_NORM_BLD_113768,18m 4s,1084,18.066666666666666,3.8 GB,3.8
PlaScope (reads),KGMAR-2019-1766,16m 49s,1009,16.816666666666666,5.5 GB,5.5
SPAdes,2018-01-2485,15m 28s,928,15.466666666666667,5 GB,5
plasmidSPAdes,KP_NORM_BLD_113888,13m,780,13,5 GB,5
SPAdes,KP_NORM_BLD_112904,17m 51s,1071,17.85,4.4 GB,4.4
PlaScope (reads),KP_NORM_BLD_112908,23m 45s,1425,23.75,4.5 GB,4.5
plasmidSPAdes,KP_NORM_BLD_114309,20m 27s,1227,20.45,5.1 GB,5.1
SPAdes,KP_NORM_BLD_112911,17m 42s,1062,17.7,4.8 GB,4.8
SPAdes,2018-01-4203,14m 40s,880,14.666666666666666,5 GB,5
plasmidSPAdes,KP_NORM_BLD_114453,20m 10s,1210,20.166666666666668,3.9 GB,3.9
PlaScope (reads),KP_NORM_BLD_112911,27m 44s,1664,27.733333333333334,5.1 GB,5.1
plasmidSPAdes,KGVET-2018-01-3794,21m 46s,1306,21.766666666666666,5 GB,5
PlaScope (reads),KGMAR-2016-563,29m 49s,1789,29.816666666666666,5.3 GB,5.3
PlaScope (reads),KGMAR-2019-400-2,16m 35s,995,16.583333333333332,5.2 GB,5.2
SPAdes,KP_NORM_BLD_112908,18m 29s,1109,18.483333333333334,4.7 GB,4.7
PlaScope (reads),KGVET-2019-01-2264,32m 4s,1924,32.06666666666667,4.9 GB,4.9
SPAdes,KGVET-2019-01-2264,23m 58s,1438,23.966666666666665,5 GB,5
PlaScope (reads),KGVETS-2019-01-1760,20m 41s,1241,20.683333333333334,5 GB,5
plasmidSPAdes,KP_NORM_BLD_114458,44m 15s,2655,44.25,7.2 GB,7.2
plasmidSPAdes,KGVET-2020-04-18146,29m 29s,1769,29.483333333333334,5.2 GB,5.2
PlaScope (reads),KP_NORM_BLD_112916,31m 46s,1906,31.766666666666666,5.2 GB,5.2
SPAdes,KP_NORM_BLD_112916,20m 57s,1257,20.95,4.9 GB,4.9
plasmidSPAdes,KGVETS-2019-01-1380,19m 57s,1197,19.95,4.8 GB,4.8
plasmidSPAdes,KGVETS-2019-01-1336,22m 44s,1364,22.733333333333334,4.9 GB,4.9
plasmidSPAdes,KGVETS-2019-01-1760,14m 37s,877,14.616666666666667,4.7 GB,4.7
plasmidSPAdes,KGVETS-2019-01-1378,14m 52s,892,14.866666666666667,4.7 GB,4.7
SPAdes,KGMAR-2020-440,24m 26s,1466,24.433333333333334,4.7 GB,4.7
SPAdes,KGMAR-2019-1497,13m 44s,824,13.733333333333333,5.1 GB,5.1
SPAdes,KGVET-2018-01-3794,20m 55s,1255,20.916666666666668,5.1 GB,5.1
plasmidSPAdes,KGMAR-2019-2186,29m 5s,1745,29.083333333333332,5 GB,5
PlaScope (reads),KP_NORM_BLD_116566,16m 52s,1012,16.866666666666667,4 GB,4
PlaScope (reads),KGVET-2018-04-44577,23m 9s,1389,23.15,5.2 GB,5.2
plasmidSPAdes,KGVET-2019-01-792,19m 25s,1165,19.416666666666668,4.9 GB,4.9
plasmidSPAdes,KGVET-2020-01-3421-1,23m 27s,1407,23.45,5 GB,5
SPAdes,2018-01-3723,14m 27s,867,14.45,4.6 GB,4.6
SPAdes,2018-01-4639,24m 3s,1443,24.05,4.9 GB,4.9
SPAdes,KGVET-2020-01-1661,18m 51s,1131,18.85,4.9 GB,4.9
PlaScope (reads),KP_NORM_BLD_112922,33m 6s,1986,33.1,4.5 GB,4.5
PlaScope (reads),2018-01-3094,24m 54s,1494,24.9,4.8 GB,4.8
PlaScope (reads),KGMAR-2016-1397,24m 12s,1452,24.2,4.8 GB,4.8
plasmidSPAdes,KGMAR-2016-1397,21m 40s,1300,21.666666666666668,4.8 GB,4.8
plasmidSPAdes,KGMAR-2019-1417-2,24m 18s,1458,24.3,5.1 GB,5.1
PlaScope (reads),KP_NORM_BLD_112925,15m 26s,926,15.433333333333334,3.6 GB,3.6
PlaScope (reads),KGVET-2020-01-3515,19m 33s,1173,19.55,5.4 GB,5.4
plasmidSPAdes,KP_NORM_BLD_114482,48m 40s,2920,48.666666666666664,7.8 GB,7.8
PlaScope (reads),KP_NORM_BLD_113315,31m 18s,1878,31.3,5.3 GB,5.3
plasmidSPAdes,KP_NORM_BLD_115332,29m 42s,1782,29.7,5 GB,5
SPAdes,KGMAR-2020-428,24m 54s,1494,24.9,4.5 GB,4.5
PlaScope (reads),KGVET-2020-01-4327,18m 12s,1092,18.2,5.4 GB,5.4
plasmidSPAdes,2018-01-4735,41m 18s,2478,41.3,5.3 GB,5.3
plasmidSPAdes,KP_NORM_BLD_114473,57m 35s,3455,57.583333333333336,7.7 GB,7.7
plasmidSPAdes,NK_H14_063,18m 53s,1133,18.883333333333333,5.1 GB,5.1
SPAdes,2018-01-2730,51m 32s,3092,51.53333333333333,6.1 GB,6.1
SPAdes,KGMAR-2016-563,21m 1s,1261,21.016666666666666,4.8 GB,4.8
SPAdes,KP_NORM_BLD_112925,9m 24s,564,9.4,4 GB,4
plasmidSPAdes,KGVET-2020-01-1661,16m 42s,1002,16.7,5 GB,5
PlaScope (reads),KGMAR-2016-1076,31m 15s,1875,31.25,5.5 GB,5.5
